Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,62|60|6|1|2|7|61|57|3|59|58|5|64|8|63|4,-6.366899490356445,-5.937211990356445,-6.366899490356445,-5.937211990356445
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,4|58|6|60|1|3|2|5|57|62|59|61|8|64|63|7,-5.96965217590332,-5.67277717590332,-5.96965217590332,-5.67277717590332
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,62|60|4|64|63|1|61|58|7|2|8|5|6|59|3|57,-6.054201126098633,-5.640138626098633,-6.054201126098633,-5.640138626098633
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,61|64|57|8|5|1|3|6|2|58|59|62|4|60|7|63,-6.18070125579834,-5.86820125579834,-6.18070125579834,-5.86820125579834
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,5|3|63|59|57|61|8|6|4|64|58|2|1|62|7|60,-6.149896621704102,-5.829584121704102,-6.149896621704102,-5.829584121704102
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,7|5|62|57|3|61|60|2|6|8|64|58|59|4|1|63,-6.308598041534424,-5.949223041534424,-6.308598041534424,-5.949223041534424
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,7|1|6|5|4|62|63|61|60|57|2|59|3|58|8|64,-6.27640962600708,-5.86234712600708,-6.27640962600708,-5.86234712600708
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,5|7|6|2|3|57|58|62|8|4|59|63|1|61|64|60,-6.200447082519531,-5.903572082519531,-6.200447082519531,-5.903572082519531
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,2|63|60|4|64|61|57|6|5|62|1|59|7|58|8|3,-6.349218845367432,-5.935156345367432,-6.349218845367432,-5.935156345367432
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,3|59|4|8|62|61|5|58|64|63|1|2|6|57|7|60,-6.37941837310791,-5.92629337310791,-6.37941837310791,-5.92629337310791
