Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,4|6|57|60|64|61|63|8|59|3|58|2|5|7|1|62,-0.272216796875,-1.5537109375,-0.272216796875,-1.5537109375
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,62|3|2|5|8|64|59|58|1|61|6|57|63|7|60|4,-0.3193359375,-1.4130859375,-0.3193359375,-1.4130859375
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,61|60|5|8|7|64|58|57|62|4|1|59|6|2|63|3,-0.36279296875,-1.25390625,-0.36279296875,-1.25390625
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,62|8|2|7|58|63|1|5|59|3|64|4|6|57|61|60,-0.8857421875,-0.5888671875,-0.8857421875,-0.5888671875
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,61|63|60|64|7|58|1|57|2|5|3|59|8|4|6|62,-0.6572265625,-0.7822265625,-0.6572265625,-0.7822265625
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,8|2|7|62|63|59|5|58|1|64|57|3|60|6|4|61,-0.323486328125,-1.3857421875,-0.323486328125,-1.3857421875
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,6|58|5|62|63|1|60|64|7|59|57|2|4|61|8|3,-0.43994140625,-1.1123046875,-0.43994140625,-1.1123046875
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,58|62|6|63|61|7|57|64|59|60|2|3|8|5|1|4,-0.62939453125,-0.81689453125,-0.62939453125,-0.81689453125
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,2|64|58|60|4|5|61|62|8|3|63|7|1|57|6|59,-0.609375,-0.828125,-0.609375,-0.828125
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,58|8|62|3|6|63|2|7|59|1|61|64|60|57|4|5,-0.382568359375,-1.2421875,-0.382568359375,-1.2421875
