Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_6,25,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,5|10|2|14|7|18|1|15|4|11|23|8|9|13|16|24|20|3|12|21|22|6|17|19,-0.9718778729438782,-0.7062528729438782,-0.9718778729438782,-0.7062528729438782
Martyetal_2022,Exp_6,26,Test,Low,Positive,FC,Good,Sam,It is possible that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,9|12|10|20|16|24|17|13|6|5|22|8|21|1|3|11|2|19|7|14|23|18|15|4,-0.8578989505767822,-0.9203989505767822,-0.8578989505767822,-0.9203989505767822
Martyetal_2022,Exp_6,27,Test,Low,Positive,SI,Good,Mia,It is possible that the mystery box contains a green ball.,A-D-C,a green ball,a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,5|18|23|11|9|22|10|20|13|19|14|3|17|16|1|15|6|4|12|24|2|8|7|21,-0.6321064829826355,-0.8977314829826355,-0.6321064829826355,-0.8977314829826355
Martyetal_2022,Exp_6,28,Test,Low,Positive,DIST,Bad,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,5|23|14|10|24|15|21|13|17|12|19|16|9|22|1|3|7|8|20|18|2|4|6|11,-0.8701685070991516,-0.9639185070991516,-0.8701685070991516,-0.9639185070991516
Martyetal_2022,Exp_6,29,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a grey ball or it contains a blue ball.,D-C-D,a green ball,a yellow ball,a green ball,grey,blue,yellow,green,Bad,Good,1|15|19|4|7|24|3|10|12|6|14|20|23|11|2|8|9|22|17|16|18|21|5|13,-0.8059406876564026,-0.8840656876564026,-0.8059406876564026,-0.8840656876564026
Martyetal_2022,Exp_6,30,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a blue ball.,A-A-A,a green ball,a green ball,a green ball,green,blue,yellow,grey,Bad,Good,8|20|10|6|21|11|23|9|1|13|19|5|16|2|4|12|14|17|7|24|22|3|15|18,-0.8506143093109131,-0.7568643093109131,-0.8506143093109131,-0.7568643093109131
Martyetal_2022,Exp_6,31,Test,Low,Negative,DIST,Bad,Sam,It is certain that either the mystery box does not contain a blue ball or it does not contain a yellow ball.,A-AB-B,a blue ball,a blue ball and a yellow ball,a yellow ball,blue,yellow,green,grey,Bad,Good,13|3|7|8|6|9|19|17|24|22|18|15|20|23|5|4|10|21|14|16|12|1|2|11,-0.8076719045639038,-1.0264219045639038,-0.8076719045639038,-1.0264219045639038
Martyetal_2022,Exp_6,32,Test,Low,Negative,DIST,Good,Mia,It is certain that either the mystery box does not contain a green ball or it does not contain a blue ball.,A-B-A,a green ball,a blue ball,a green ball,green,blue,yellow,grey,Bad,Good,2|4|8|6|10|24|12|17|14|23|20|1|18|15|22|3|9|5|16|13|11|21|7|19,-0.8516169786453247,-0.9297419786453247,-0.8516169786453247,-0.9297419786453247
Martyetal_2022,Exp_6,33,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a blue ball or it contains a yellow ball.,D-C-D,a grey ball,a green ball,a grey ball,blue,yellow,green,grey,Bad,Good,14|15|4|8|18|2|17|12|13|1|23|11|6|3|19|21|7|22|16|24|5|20|9|10,-0.6856818199157715,-0.9513068199157715,-0.6856818199157715,-0.9513068199157715
Martyetal_2022,Exp_6,34,Test,Low,Negative,II,Good,Mia,Either the mystery box does not contain a grey ball or it does not contain a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,7|14|10|9|16|5|12|19|21|24|2|4|3|15|23|17|18|1|13|20|6|22|11|8,-0.8860814571380615,-0.8079564571380615,-0.8860814571380615,-0.8079564571380615
Martyetal_2022,Exp_6,35,Test,Low,Positive,DIST,Target,Mia,It is certain that either the mystery box contains a yellow ball or it contains a blue ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,blue,green,grey,Bad,Good,24|5|1|10|4|22|23|15|14|13|19|17|8|2|21|9|11|7|6|20|16|3|18|12,-0.8917336463928223,-1.0011086463928223,-0.8917336463928223,-1.0011086463928223
Martyetal_2022,Exp_6,36,Test,Low,Negative,DIST,Target,Sam,It is certain that either the mystery box does not contain a yellow ball or it does not contain a green ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,blue,grey,Bad,Good,4|12|16|8|17|15|9|7|18|5|3|1|24|22|21|2|14|20|23|19|10|6|11|13,-1.1201035976409912,-0.7138535976409912,-1.1201035976409912,-0.7138535976409912
Martyetal_2022,Exp_6,37,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a blue ball or it contains a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,grey,yellow,Bad,Good,22|8|10|1|20|19|23|3|14|2|15|6|18|21|17|4|16|7|12|11|9|13|5|24,-0.9005752801895142,-0.6974502801895142,-0.9005752801895142,-0.6974502801895142
Martyetal_2022,Exp_6,38,Test,Low,Positive,SI,Bad,Sam,It is possible that the mystery box contains a yellow ball.,D-D-D,a blue ball,a blue ball,a blue ball,yellow,green,grey,blue,Bad,Good,6|3|12|24|7|20|4|9|22|16|8|21|17|18|14|23|1|15|10|13|2|11|5|19,-1.0524308681488037,-0.6149308681488037,-1.0524308681488037,-0.6149308681488037
Martyetal_2022,Exp_6,39,Test,Low,Negative,II,Bad,Mia,Either the mystery box does not contain a green ball or it does not contain a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,19|23|12|17|22|11|16|24|2|7|5|14|15|3|8|13|4|10|9|20|21|1|18|6,-0.92755526304245,-0.77130526304245,-0.92755526304245,-0.77130526304245
Martyetal_2022,Exp_6,40,Test,Low,Positive,SI,Bad,Sam,It is possible that the mystery box contains a blue ball.,D-D-D,a green ball,a green ball,a green ball,blue,grey,yellow,green,Bad,Good,9|8|13|18|2|3|16|4|22|10|6|24|12|5|20|14|7|11|21|19|15|23|1|17,-0.8617373704910278,-0.9398623704910278,-0.8617373704910278,-0.9398623704910278
