Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_1,9,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-A,a blue ball,a blue ball and a grey ball,a blue ball,blue,grey,green,yellow,Bad,Good,2|3|4|7|6|5|8|1,-5.064055442810059,-6.329680442810059,-5.064055442810059,-6.329680442810059
Deganoetal_2024,Exp_1,10,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a blue ball.',A-AC-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,blue,grey,green,Bad,Good,7|5|6|3|1|2|8|4,-5.519703388214111,-5.832203388214111,-5.519703388214111,-5.832203388214111
Deganoetal_2024,Exp_1,11,Test,Test,Target_2,Mia,`The mystery box contains a grey ball or a blue ball.',A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good,2|3|1|5|6|4|7|8,-5.4230875968933105,-6.1105875968933105,-5.4230875968933105,-6.1105875968933105
Deganoetal_2024,Exp_1,12,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a blue ball.',A-AC-AC,a green ball and a yellow ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good,5|1|6|2|3|4|8|7,-5.074165344238281,-5.667915344238281,-5.074165344238281,-5.667915344238281
Deganoetal_2024,Exp_1,13,Test,Control_2,Bad,Mia,`The mystery box does not contain a yellow ball.',A-CD-A,a yellow ball,a yellow ball,a grey ball and a green ball,yellow,blue,grey,green,Bad,Good,6|7|3|1|5|4|8|2,-5.727651119232178,-5.844838619232178,-5.727651119232178,-5.844838619232178
Deganoetal_2024,Exp_1,14,Test,Control_4,Bad,Sam,`The mystery box does not contain a grey ball or a blue ball.',A-CD-A,a grey ball,a yellow and a green ball,a grey ball,grey,blue,yellow,green,Bad,Good,5|4|1|8|6|3|7|2,-5.0666351318359375,-5.8088226318359375,-5.0666351318359375,-5.8088226318359375
Deganoetal_2024,Exp_1,15,Test,Control_1,Good,Sam,`The mystery box contains a grey ball.',A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,green,yellow,Bad,Good,2|3|8|6|1|4|5|7,-4.623815059661865,-6.420690059661865,-4.623815059661865,-6.420690059661865
Deganoetal_2024,Exp_1,16,Test,Control_1,Good,Sam,`The mystery box contains a yellow ball.',A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,1|5|7|2|3|4|6|8,-4.7115678787231445,-6.6568803787231445,-4.7115678787231445,-6.6568803787231445
Deganoetal_2024,Exp_1,17,Test,Test,Target_2,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AC-AD,a blue ball and a grey ball,a blue ball,a blue ball and a green ball,blue,yellow,green,grey,Bad,Good,1|4|2|5|7|3|6|8,-5.319699287414551,-5.827511787414551,-5.319699287414551,-5.827511787414551
Deganoetal_2024,Exp_1,18,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AB-B,a blue ball,a yellow ball,a blue ball and a yellow ball,blue,yellow,green,grey,Bad,Good,8|2|4|6|1|3|5|7,-5.333713531494141,-5.919651031494141,-5.333713531494141,-5.919651031494141
Deganoetal_2024,Exp_1,19,Test,Test,Good,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AC-B,a yellow ball,a blue ball and a green ball,a blue ball,blue,yellow,green,grey,Bad,Good,1|7|4|5|2|3|8|6,-5.720959663391113,-6.291272163391113,-5.720959663391113,-6.291272163391113
Deganoetal_2024,Exp_1,20,Test,Test,Bad,Sam,`The mystery box contains a grey ball or a yellow ball.',A-CD-C,a grey ball,a green ball and a blue ball,a green ball,grey,yellow,green,blue,Bad,Good,3|4|2|7|6|1|5|8,-5.442259788513184,-6.004759788513184,-5.442259788513184,-6.004759788513184
Deganoetal_2024,Exp_1,21,Test,Control_4,Good,Mia,`The mystery box does not contain a blue ball or a yellow ball.',C-CD-C,a grey ball and a green ball,a grey ball,a grey ball,blue,yellow,grey,green,Bad,Good,5|4|1|3|6|2|7|8,-5.031497955322266,-6.687747955322266,-5.031497955322266,-6.687747955322266
Deganoetal_2024,Exp_1,22,Test,Test,Target_2,Sam,`The mystery box contains a blue ball or a grey ball.',A-AC-A,a blue ball,a blue ball,a blue ball and a green ball,blue,grey,green,yellow,Bad,Good,4|1|6|5|3|7|8|2,-5.248181343078613,-6.013806343078613,-5.248181343078613,-6.013806343078613
Deganoetal_2024,Exp_1,23,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-AB,a blue ball,a blue ball and a grey ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,4|7|8|5|3|2|1|6,-5.369478702545166,-7.088228702545166,-5.369478702545166,-7.088228702545166
Deganoetal_2024,Exp_1,24,Test,Control_2,Bad,Sam,`The mystery box does not contain a blue ball.',A-CD-A,a blue ball,a blue ball,a grey ball and a yellow ball,blue,green,grey,yellow,Bad,Good,6|4|1|8|2|5|7|3,-5.4934868812561035,-5.4387993812561035,-5.4934868812561035,-5.4387993812561035
Deganoetal_2024,Exp_1,25,Test,Control_3,Good,Mia,`The mystery box contains a yellow ball and a blue ball.',AB-AB-AB,a yellow ball and a blue ball,a yellow ball and a blue ball,a yellow ball and a blue ball,yellow,blue,green,grey,Bad,Good,5|7|1|2|8|4|3|6,-5.689682960510254,-6.986557960510254,-5.689682960510254,-6.986557960510254
Deganoetal_2024,Exp_1,26,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a green ball.',A-AB-AB,a blue ball and a green ball,a blue ball,a blue ball and a green ball,blue,green,yellow,grey,Bad,Good,1|7|2|5|3|6|8|4,-5.278879642486572,-6.403879642486572,-5.278879642486572,-6.403879642486572
