Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_2,Deontic,9,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a yellow ball or a green ball.,A-CD-C,a grey ball and a blue ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,8|7|61|5|58|62|4|60|63|64|3|6|1|2|59|57,-58.204044342041016,-26.99315643310547,-58.204044342041016,-26.99315643310547
Martyetal_2023,Exp_2,Deontic,10,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a green ball or a grey ball.,A-CD-A,a green ball,a yellow ball and a blue ball,a green ball,green,grey,yellow,blue,Bad,Good,6|58|64|57|4|5|8|60|59|62|3|2|7|1|61|63,-70.9378662109375,-65.48702239990234,-70.9378662109375,-65.48702239990234
Martyetal_2023,Exp_2,Deontic,11,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a yellow ball or a grey ball.,A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,green,blue,Bad,Good,61|64|62|59|8|63|58|7|5|57|1|60|3|6|4|2,-39.95372772216797,-68.8762435913086,-39.95372772216797,-68.8762435913086
Martyetal_2023,Exp_2,Deontic,12,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a green ball or a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,yellow,blue,Bad,Good,8|5|62|63|57|64|59|61|6|60|58|2|7|1|4|3,-11.824262619018555,-81.3125,-11.824262619018555,-81.3125
Martyetal_2023,Exp_2,Deontic,13,Test,Block_A,Nominal,Test,Target_2,Sam,Every box contains a grey ball or a green ball.,A-AC-AC,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball,grey,green,yellow,blue,Bad,Good,2|58|57|61|3|60|7|64|5|4|63|62|8|6|1|59,-71.44560241699219,-68.453125,-71.44560241699219,-68.453125
Martyetal_2023,Exp_2,Deontic,14,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a green ball or a blue ball.,A-CD-C,a grey ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,62|58|1|2|5|64|63|7|59|57|4|3|61|8|6|60,-48.21063995361328,-50.82857894897461,-48.21063995361328,-50.82857894897461
Martyetal_2023,Exp_2,Deontic,15,Test,Block_A,Nominal,Control_2,Good,Mia,Every box contains a grey ball and a yellow ball.,AB-AB-AB,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball and a yellow ball,grey,yellow,blue,green,Bad,Good,60|4|64|1|7|58|61|5|8|2|59|6|62|3|63|57,-30.921480178833008,-71.1773681640625,-30.921480178833008,-71.1773681640625
Martyetal_2023,Exp_2,Deontic,16,Test,Block_A,Nominal,Control_4,Good,Mia,No box contains a blue ball or a yellow ball.,C-CD-C,a green ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,61|63|60|6|2|3|62|4|1|58|59|64|57|5|8|7,-16.03606605529785,-73.89082336425781,-16.03606605529785,-73.89082336425781
Martyetal_2023,Exp_2,Deontic,17,Test,Block_A,Nominal,Control_2,Bad,Mia,Every box contains a grey ball and a green ball.,AB-CD-C,a grey ball and a green ball,a blue ball,a blue ball and a yellow ball,grey,green,blue,yellow,Bad,Good,61|58|60|7|8|2|1|4|5|57|3|59|62|63|64|6,-63.893795013427734,-63.29914093017578,-63.893795013427734,-63.29914093017578
Martyetal_2023,Exp_2,Deontic,18,Test,Block_A,Nominal,Control_3,Bad,Mia,No box contains a grey ball.,A-CD-A,a yellow ball and a blue ball,a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,2|58|6|60|62|7|57|61|59|4|64|1|8|63|3|5,-64.60958862304688,-48.03219223022461,-64.60958862304688,-48.03219223022461
