Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_3,9,Test,Test,Good,Sam,`The mystery box contains a grey ball or a green ball.',A-AA-B,a green ball,a green ball and a green ball,a grey ball,green,grey,yellow,blue,Bad,Good,1|2|7|6|5|8|4|3,-76.06920623779297,-77.82823944091797,-76.06920623779297,-77.82823944091797
Deganoetal_2024,Exp_3,10,Test,Control_4,Bad,Sam,`The mystery box does not contain a grey ball or a blue ball.',A-CD-B,a green ball and a yellow ball,a grey ball,a blue ball,grey,blue,green,yellow,Bad,Good,6|8|2|3|1|5|4|7,-77.40914916992188,-77.16934967041016,-77.40914916992188,-77.16934967041016
Deganoetal_2024,Exp_3,11,Test,Test,Good-Excl,Mia,`The mystery box contains a yellow ball or a grey ball.',A-AB-B,a yellow ball,a grey ball and a yellow ball,a grey ball,grey,yellow,green,blue,Bad,Good,6|7|8|1|3|5|2|4,-76.86129760742188,-78.19707489013672,-76.86129760742188,-78.19707489013672
Deganoetal_2024,Exp_3,12,Test,Test,Target_1,Mia,`The mystery box contains a grey ball or a green ball.',A-AB-AB,a green ball and a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,2|1|4|8|5|7|3|6,-80.9537582397461,-78.98116302490234,-80.9537582397461,-78.98116302490234
Deganoetal_2024,Exp_3,13,Test,Control_4,Good,Sam,`The mystery box does not contain a blue ball or a grey ball.',C-CD-C,a yellow ball,a yellow ball,a yellow and a green ball,blue,grey,yellow,green,Bad,Good,1|6|2|7|3|5|4|8,-75.26017761230469,-79.52837371826172,-75.26017761230469,-79.52837371826172
Deganoetal_2024,Exp_3,14,Test,Control_1,Bad,Sam,`The mystery box contains a green ball.',A-CD-C,a green ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,4|2|3|7|1|6|5|8,-75.7165298461914,-77.49722290039062,-75.7165298461914,-77.49722290039062
Deganoetal_2024,Exp_3,15,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a grey ball.',A-AA-A,a grey ball,a grey ball and a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,6|3|1|4|8|2|5|7,-79.95549774169922,-75.89664459228516,-79.95549774169922,-75.89664459228516
Deganoetal_2024,Exp_3,16,Test,Control_3,Good,Sam,`The mystery box contains a grey ball and a green ball.',AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,blue,yellow,Bad,Good,3|6|7|2|4|8|1|5,-82.8125228881836,-80.87129974365234,-82.8125228881836,-80.87129974365234
Deganoetal_2024,Exp_3,17,Test,Control_2,Good,Mia,`The mystery box does not contain a blue ball.',C-CD-C,a green ball,a green ball and a yellow ball,a green ball,blue,grey,green,yellow,Bad,Good,5|4|2|6|1|7|3|8,-74.9958267211914,-76.3125228881836,-74.9958267211914,-76.3125228881836
Deganoetal_2024,Exp_3,18,Test,Control_4,Bad,Mia,`The mystery box does not contain a blue ball or a grey ball.',A-CD-B,a blue ball,a grey ball,a green ball and a yellow ball,blue,grey,green,yellow,Bad,Good,3|1|5|7|2|4|8|6,-77.49616241455078,-76.93219757080078,-77.49616241455078,-76.93219757080078
Deganoetal_2024,Exp_3,19,Test,Test,Good-Excl,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,blue,green,Bad,Good,8|5|6|4|3|1|7|2,-74.29368591308594,-73.83467864990234,-74.29368591308594,-73.83467864990234
Deganoetal_2024,Exp_3,20,Test,Control_3,Good,Mia,`The mystery box contains a grey ball and a green ball.',AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,blue,yellow,Bad,Good,1|4|2|8|3|6|5|7,-82.90628051757812,-78.82427215576172,-82.90628051757812,-78.82427215576172
Deganoetal_2024,Exp_3,21,Test,Control_1,Bad,Mia,`The mystery box contains a blue ball.',A-CD-C,a yellow and a green ball,a yellow ball,a blue ball,blue,grey,yellow,green,Bad,Good,6|7|2|1|5|3|4|8,-76.23468780517578,-70.54125213623047,-76.23468780517578,-70.54125213623047
Deganoetal_2024,Exp_3,22,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AB-A,a yellow ball,a yellow ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,6|4|1|3|7|2|8|5,-73.474853515625,-74.8298110961914,-73.474853515625,-74.8298110961914
Deganoetal_2024,Exp_3,23,Test,Test,Good-Excl,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-B,a yellow ball and a grey ball,a grey ball,a yellow ball,yellow,grey,green,blue,Bad,Good,4|5|6|3|2|1|8|7,-75.27609252929688,-75.20762634277344,-75.27609252929688,-75.20762634277344
Deganoetal_2024,Exp_3,24,Test,Test,Bad,Mia,`The mystery box contains a green ball or a blue ball.',A-CD-B,a green ball,a grey ball and a yellow ball,a blue ball,blue,green,grey,yellow,Bad,Good,6|7|8|4|3|5|2|1,-77.34925842285156,-75.10426330566406,-77.34925842285156,-75.10426330566406
Deganoetal_2024,Exp_3,25,Test,Control_2,Bad,Mia,`The mystery box does not contain a blue ball.',A-CD-A,a blue ball,a blue ball,a grey ball and a green ball,blue,yellow,grey,green,Bad,Good,8|2|6|3|1|7|4|5,-77.17225646972656,-80.10366821289062,-77.17225646972656,-80.10366821289062
Deganoetal_2024,Exp_3,26,Test,Control_1,Good,Sam,`The mystery box contains a blue ball.',A-A-A,a blue ball,a blue ball,a blue ball,blue,grey,green,yellow,Bad,Good,8|6|2|5|3|7|1|4,-77.70164489746094,-80.91259002685547,-77.70164489746094,-80.91259002685547
Deganoetal_2024,Exp_3,27,Test,Test,Target_1,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,green,blue,Bad,Good,4|7|8|2|6|3|5|1,-77.00176239013672,-81.26378631591797,-77.00176239013672,-81.26378631591797
Deganoetal_2024,Exp_3,28,Test,Test,Target_2,Mia,`The mystery box contains a grey ball or a green ball.',A-AA-AA,a green ball and a green ball,a green ball,a green ball and a green ball,green,grey,blue,yellow,Bad,Good,2|3|8|4|7|1|6|5,-78.51414489746094,-73.18234252929688,-78.51414489746094,-73.18234252929688
Deganoetal_2024,Exp_3,29,Test,Test,Good,Mia,`The mystery box contains a grey ball or a blue ball.',A-AA-B,a blue ball,a blue ball and a blue ball,a grey ball,blue,grey,green,yellow,Bad,Good,7|2|1|5|6|8|4|3,-76.31381225585938,-81.69524383544922,-76.31381225585938,-81.69524383544922
Deganoetal_2024,Exp_3,30,Test,Test,Target_1,Sam,`The mystery box contains a yellow ball or a green ball.',A-AB-AB,a green ball and a yellow ball,a green ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,4|5|7|8|2|3|6|1,-77.85668182373047,-75.62696075439453,-77.85668182373047,-75.62696075439453
