Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_6,25,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,24|19|12|7|8|22|1|14|2|20|6|18|15|3|5|4|16|9|21|23|11|13|10|17,-13.702121,-0.018999236,-13.702121,-0.018999236
Martyetal_2022,Exp_6,26,Test,Low,Positive,FC,Good,Sam,It is possible that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,21|5|9|19|14|24|17|1|8|22|23|10|15|3|4|7|12|11|2|18|16|13|20|6,-0.045483015,-6.8766847,-0.045483015,-6.8766847
Martyetal_2022,Exp_6,27,Test,Low,Positive,SI,Good,Mia,It is possible that the mystery box contains a green ball.,A-D-C,a green ball,a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,21|1|13|7|6|16|10|9|5|2|22|17|11|20|18|15|3|12|19|4|14|24|8|23,-0.19174707,-9.883899,-0.19174707,-9.883899
Martyetal_2022,Exp_6,28,Test,Low,Positive,DIST,Bad,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,24|11|18|17|16|6|19|9|22|4|10|12|21|23|1|5|8|3|14|15|7|2|20|13,-3.2741306,-0.05636035,-3.2741306,-0.05636035
Martyetal_2022,Exp_6,29,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a grey ball or it contains a blue ball.,D-C-D,a green ball,a yellow ball,a green ball,grey,blue,yellow,green,Bad,Good,3|17|8|21|4|12|19|2|6|9|11|20|7|13|14|16|24|18|1|5|22|15|23|10,-8.18103,-0.02265666,-8.18103,-0.02265666
Martyetal_2022,Exp_6,30,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a blue ball.,A-A-A,a green ball,a green ball,a green ball,green,blue,yellow,grey,Bad,Good,10|11|5|22|21|8|17|13|7|9|18|2|23|24|4|3|14|1|19|15|20|12|16|6,-3.1026602,-0.08214093,-3.1026602,-0.08214093
Martyetal_2022,Exp_6,31,Test,Low,Negative,DIST,Bad,Sam,It is certain that either the mystery box does not contain a blue ball or it does not contain a yellow ball.,A-AB-B,a blue ball,a blue ball and a yellow ball,a yellow ball,blue,yellow,green,grey,Bad,Good,5|3|24|7|13|23|19|16|18|8|9|10|21|15|4|11|1|2|6|20|22|14|17|12,-0.209366,-1.820064,-0.209366,-1.820064
Martyetal_2022,Exp_6,32,Test,Low,Negative,DIST,Good,Mia,It is certain that either the mystery box does not contain a green ball or it does not contain a blue ball.,A-B-A,a green ball,a blue ball,a green ball,green,blue,yellow,grey,Bad,Good,7|16|5|18|17|3|12|8|1|10|13|14|21|20|15|11|4|6|2|23|19|9|22|24,-0.0529656,-4.7868075,-0.0529656,-4.7868075
Martyetal_2022,Exp_6,33,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a blue ball or it contains a yellow ball.,D-C-D,a grey ball,a green ball,a grey ball,blue,yellow,green,grey,Bad,Good,9|16|10|17|6|5|13|1|15|2|22|24|14|20|21|4|11|8|19|18|12|7|3|23,-6.7233915,-0.010253208,-6.7233915,-0.010253208
Martyetal_2022,Exp_6,34,Test,Low,Negative,II,Good,Mia,Either the mystery box does not contain a grey ball or it does not contain a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,21|1|20|10|7|24|19|6|2|11|22|12|3|9|14|5|13|18|23|16|4|17|8|15,-0.20992577,-2.5721955,-0.20992577,-2.5721955
Martyetal_2022,Exp_6,35,Test,Low,Positive,DIST,Target,Mia,It is certain that either the mystery box contains a yellow ball or it contains a blue ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,blue,green,grey,Bad,Good,13|9|11|5|6|4|1|8|15|12|18|3|16|20|14|21|7|2|10|17|23|22|19|24,-3.5676825,-0.057662018,-3.5676825,-0.057662018
Martyetal_2022,Exp_6,36,Test,Low,Negative,DIST,Target,Sam,It is certain that either the mystery box does not contain a yellow ball or it does not contain a green ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,blue,grey,Bad,Good,17|9|12|2|1|11|13|23|18|22|19|10|24|20|6|7|21|15|5|8|4|3|14|16,-3.812285,-0.048886996,-3.812285,-0.048886996
Martyetal_2022,Exp_6,37,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a blue ball or it contains a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,grey,yellow,Bad,Good,22|8|23|13|4|17|3|9|16|5|7|6|11|1|18|10|20|21|15|19|14|12|24|2,-2.969993,-0.07811634,-2.969993,-0.07811634
Martyetal_2022,Exp_6,38,Test,Low,Positive,SI,Bad,Sam,It is possible that the mystery box contains a yellow ball.,D-D-D,a blue ball,a blue ball,a blue ball,yellow,green,grey,blue,Bad,Good,11|22|5|16|19|23|6|10|7|13|18|24|9|20|12|2|17|4|21|3|14|8|1|15,-12.338821,-0.065771244,-12.338821,-0.065771244
Martyetal_2022,Exp_6,39,Test,Low,Negative,II,Bad,Mia,Either the mystery box does not contain a green ball or it does not contain a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,2|17|24|21|7|13|16|8|12|22|18|1|9|5|10|11|19|14|23|6|20|15|3|4,-3.2053363,-0.08283808,-3.2053363,-0.08283808
Martyetal_2022,Exp_6,40,Test,Low,Positive,SI,Bad,Sam,It is possible that the mystery box contains a blue ball.,D-D-D,a green ball,a green ball,a green ball,blue,grey,yellow,green,Bad,Good,3|17|18|22|4|14|20|7|23|6|1|13|9|2|16|10|11|19|15|5|8|21|24|12,-11.058932,-0.01989328,-11.058932,-0.01989328
Martyetal_2022,Exp_6,41,Test,Low,Positive,DIST,Target,Mia,It is certain that either the mystery box contains a blue ball or it contains a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,grey,yellow,Bad,Good,4|18|14|17|20|10|13|12|21|9|5|16|8|7|15|1|22|6|3|11|19|24|23|2,-4.6691375,-0.02776472,-4.6691375,-0.02776472
Martyetal_2022,Exp_6,42,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a yellow ball.,A-A-A,a green ball,a green ball,a green ball,green,yellow,grey,blue,Bad,Good,13|1|24|8|6|12|3|20|9|4|19|18|10|23|11|16|21|15|2|5|22|7|14|17,-3.301848,-0.07846997,-3.301848,-0.07846997
Martyetal_2022,Exp_6,43,Test,Low,Positive,II,Good,Mia,Either the mystery box contains a green ball or it contains a grey ball.,A-B-A,a green ball,a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,18|20|24|16|5|10|9|7|2|21|12|15|22|23|11|19|6|3|1|8|14|17|13|4,-0.068699375,-9.58756,-0.068699375,-9.58756
Martyetal_2022,Exp_6,44,Test,Low,Negative,FC,Target,Sam,It is possible that either the mystery box does not contain a yellow ball or it does not contain a blue ball.,A-AB-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,1|22|14|21|9|16|4|15|11|6|17|13|20|24|10|3|18|7|5|19|12|2|23|8,-0.07355388,-6.2054253,-0.07355388,-6.2054253
Martyetal_2022,Exp_6,45,Test,Low,Positive,DIST,Good,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-AB-B,a green ball,a green ball and a yellow ball,a yellow ball,green,yellow,grey,blue,Bad,Good,22|7|4|21|15|17|3|1|16|20|19|9|13|10|18|14|8|24|23|12|2|11|5|6,-0.1559389,-8.903936,-0.1559389,-8.903936
Martyetal_2022,Exp_6,46,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,blue,grey,green,Bad,Good,13|20|2|24|16|15|12|22|6|23|21|10|8|7|5|3|11|14|19|4|17|9|18|1,-12.470323,-0.06844469,-12.470323,-0.06844469
Martyetal_2022,Exp_6,47,Test,Low,Positive,SI,Target,Sam,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,yellow,blue,Bad,Good,20|21|2|10|3|9|17|24|14|13|15|6|19|7|11|1|23|16|12|8|22|18|5|4,-0.31980538,-2.0311532,-0.31980538,-2.0311532
Martyetal_2022,Exp_6,48,Test,Low,Negative,II,Target,Sam,Either the mystery box does not contain a yellow ball or it does not contain a grey ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,16|10|2|13|17|5|15|22|24|3|7|23|14|21|12|11|4|20|9|18|8|1|19|6,-0.35882974,-1.8824165,-0.35882974,-1.8824165
Martyetal_2022,Exp_6,49,Test,Low,Positive,II,Bad,Sam,Either the mystery box contains a green ball or it contains a yellow ball.,D-C-D,a blue ball,a grey ball,a blue ball,green,yellow,grey,blue,Bad,Good,18|23|10|14|11|7|20|15|21|24|8|6|4|16|12|17|2|5|13|22|19|3|1|9,-8.970787,-0.012252035,-8.970787,-0.012252035
Martyetal_2022,Exp_6,50,Test,Low,Negative,DIST,Bad,Sam,It is certain that either the mystery box does not contain a blue ball or it does not contain a green ball.,A-AB-B,a blue ball,a blue ball and a green ball,a green ball,blue,green,yellow,grey,Bad,Good,23|4|15|24|7|10|21|5|16|6|19|8|2|14|20|3|13|12|17|22|18|11|9|1,-2.8295765,-0.07718341,-2.8295765,-0.07718341
Martyetal_2022,Exp_6,51,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,grey,green,yellow,Bad,Good,6|4|21|15|10|5|14|8|24|19|20|23|11|2|1|17|7|13|16|9|3|22|12|18,-11.578047,-0.024339026,-11.578047,-0.024339026
Martyetal_2022,Exp_6,52,Test,Low,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a blue ball.,D-D-D,a green ball,a green ball,a green ball,blue,grey,yellow,green,Bad,Good,24|3|15|1|21|13|7|17|18|12|11|22|16|10|6|2|19|14|20|9|5|4|8|23,-0.086244516,-6.3657746,-0.086244516,-6.3657746
Martyetal_2022,Exp_6,53,Test,Low,Positive,FC,Bad,Mia,It is possible that either the mystery box contains a blue ball or it contains a grey ball.,D-C-D,a green ball,a yellow ball,a green ball,blue,grey,yellow,green,Bad,Good,1|11|8|17|2|22|13|14|4|19|9|23|15|21|18|24|16|5|3|7|20|6|12|10,-3.920998,-0.05100795,-3.920998,-0.05100795
Martyetal_2022,Exp_6,54,Test,Low,Positive,II,Good,Mia,Either the mystery box contains a green ball or it contains a blue ball.,A-B-A,a green ball,a blue ball,a green ball,green,blue,grey,yellow,Bad,Good,5|10|24|21|15|13|14|2|18|4|9|1|3|7|22|19|23|17|20|8|16|11|12|6,-0.13541232,-9.534756,-0.13541232,-9.534756
Martyetal_2022,Exp_6,55,Test,Low,Positive,FC,Good,Mia,It is possible that either the mystery box contains a grey ball or it contains a green ball.,A-C-B,a grey ball,a yellow ball,a green ball,grey,green,yellow,blue,Bad,Good,13|14|16|12|11|24|19|23|4|20|6|3|15|2|10|7|22|17|8|21|9|5|1|18,-0.041318834,-9.609208,-0.041318834,-9.609208
Martyetal_2022,Exp_6,56,Test,Low,Positive,DIST,Bad,Mia,It is certain that either the mystery box contains a yellow ball or it contains a green ball.,A-C-B,a yellow ball,a grey ball,a green ball,yellow,green,grey,blue,Bad,Good,10|8|11|17|1|19|15|20|2|6|18|7|22|9|16|5|3|14|13|23|12|24|21|4,-0.065009475,-3.7642822,-0.065009475,-3.7642822
Martyetal_2022,Exp_6,57,Test,Low,Positive,FC,Target,Sam,It is possible that either the mystery box contains a green ball or it contains a yellow ball.,A-C-A,a green ball,a blue ball,a green ball,green,yellow,blue,grey,Bad,Good,23|5|15|19|6|24|4|13|10|20|22|21|1|17|7|11|18|12|14|2|3|16|9|8,-0.03443645,-6.889216,-0.03443645,-6.889216
Martyetal_2022,Exp_6,58,Test,Low,Negative,II,Bad,Mia,Either the mystery box does not contain a yellow ball or it does not contain a blue ball.,AB-AB-AB,a yellow ball and a blue ball,a yellow ball and a blue ball,a yellow ball and a blue ball,yellow,blue,green,grey,Bad,Good,18|8|9|13|10|24|19|17|3|6|12|22|11|16|2|23|5|7|1|21|4|14|20|15,-1.6235247,-0.15777631,-1.6235247,-0.15777631
Martyetal_2022,Exp_6,59,Test,Low,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a yellow ball.,A-D-A,a yellow ball,a grey ball,a yellow ball,yellow,green,blue,grey,Bad,Good,24|12|22|7|14|10|5|17|19|16|23|3|2|11|4|20|18|21|1|9|15|13|8|6,-0.25901493,-2.6680787,-0.25901493,-2.6680787
Martyetal_2022,Exp_6,60,Test,Low,Negative,II,Bad,Mia,Either the mystery box does not contain a yellow ball or it does not contain a grey ball.,AB-AB-AB,a yellow ball and a grey ball,a yellow ball and a grey ball,a yellow ball and a grey ball,yellow,grey,green,blue,Bad,Good,5|19|16|4|15|22|24|7|14|20|17|11|8|23|21|12|2|6|13|1|10|18|9|3,-3.3769531,-0.049465448,-3.3769531,-0.049465448
Martyetal_2022,Exp_6,61,Test,Low,Positive,DIST,Target,Mia,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-A-A,a green ball,a green ball,a green ball,green,yellow,blue,grey,Bad,Good,7|13|14|4|23|21|19|16|10|22|8|17|3|18|1|20|24|9|2|6|11|15|5|12,-4.968854,-0.04354064,-4.968854,-0.04354064
Martyetal_2022,Exp_6,62,Test,Low,Negative,DIST,Target,Mia,It is certain that either the mystery box does not contain a yellow ball or it does not contain a grey ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,13|6|11|2|17|7|3|16|18|20|19|24|21|23|8|10|5|4|15|1|9|12|22|14,-2.1840694,-0.13008691,-2.1840694,-0.13008691
Martyetal_2022,Exp_6,63,Test,Low,Positive,SI,Target,Mia,It is possible that the mystery box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,blue,grey,Bad,Good,11|4|19|6|18|3|24|17|21|14|2|9|13|5|7|10|23|1|16|20|12|15|8|22,-0.9970001,-10.556829,-0.9970001,-10.556829
