Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,59|8|62|57|61|7|6|5|58|4|1|64|3|2|60|63,-27.345720291137695,-28.617204666137695,-27.345720291137695,-28.617204666137695
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,58|3|59|1|4|6|64|8|5|62|61|7|57|60|63|2,-27.86526870727539,-27.54788589477539,-27.86526870727539,-27.54788589477539
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,5|3|58|59|4|8|57|7|63|61|6|64|62|60|2|1,-27.46391487121582,-27.60746955871582,-27.46391487121582,-27.60746955871582
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,7|59|60|4|58|62|61|6|57|1|3|8|2|63|5|64,-27.654335021972656,-27.035194396972656,-27.654335021972656,-27.035194396972656
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,64|5|61|3|4|58|60|2|59|57|8|7|63|6|62|1,-27.28425407409668,-26.33015251159668,-27.28425407409668,-26.33015251159668
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,2|57|64|63|59|58|7|4|1|6|60|8|62|3|61|5,-27.81447410583496,-28.46877098083496,-27.81447410583496,-28.46877098083496
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,4|2|61|59|8|62|64|57|5|58|3|7|1|60|6|63,-27.916038513183594,-28.375022888183594,-27.916038513183594,-28.375022888183594
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,2|7|8|1|59|61|57|5|58|64|62|4|63|3|6|60,-27.78126335144043,-28.46583366394043,-27.78126335144043,-28.46583366394043
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,6|3|62|57|8|58|2|64|61|63|59|5|1|60|4|7,-28.014663696289062,-28.731460571289062,-28.014663696289062,-28.731460571289062
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,62|2|6|64|63|7|59|3|60|58|4|8|5|1|61|57,-27.844751358032227,-28.283227920532227,-27.844751358032227,-28.283227920532227
Martyetal_2023,Exp_1,Epistemic,19,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,6|8|61|2|5|64|4|7|62|1|3|63|58|60|59|57,-27.314476013183594,-27.625022888183594,-27.314476013183594,-27.625022888183594
Martyetal_2023,Exp_1,Epistemic,20,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a yellow ball.,A-AB-B,a green ball,a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,5|6|4|62|60|7|61|58|59|8|64|3|1|63|57|2,-27.721710205078125,-27.482452392578125,-27.721710205078125,-27.482452392578125
Martyetal_2023,Exp_1,Epistemic,21,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball and a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,2|62|59|63|60|1|58|6|61|7|57|64|3|4|8|5,-28.038114547729492,-27.576200485229492,-28.038114547729492,-27.576200485229492
Martyetal_2023,Exp_1,Epistemic,22,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a green ball or a yellow ball.,A-AB-A,a green ball,a green ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good,7|59|3|1|5|61|57|2|8|62|60|64|4|58|6|63,-27.664079666137695,-28.461931228637695,-27.664079666137695,-28.461931228637695
Martyetal_2023,Exp_1,Epistemic,23,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a blue ball.,A-CD-A,a grey ball,a green ball and a yellow ball,a grey ball,grey,blue,green,yellow,Bad,Good,3|57|60|5|59|2|61|63|64|1|7|4|58|62|6|8,-28.112342834472656,-27.754920959472656,-28.112342834472656,-27.754920959472656
Martyetal_2023,Exp_1,Epistemic,24,Test,Block_A,Nominal,Control_2,Bad,Mia,Every visible box contains a green ball and a blue ball.,AB-CD-C,a yellow ball,a yellow ball and a grey ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,58|64|59|62|63|61|7|1|5|3|6|57|8|60|4|2,-27.352596282958984,-27.544979095458984,-27.352596282958984,-27.544979095458984
Martyetal_2023,Exp_1,Epistemic,25,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a yellow ball or a green ball.,A-AC-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,green,blue,grey,Bad,Good,4|61|57|6|5|63|3|8|7|64|60|1|58|59|2|62,-27.80569839477539,-27.03128433227539,-27.80569839477539,-27.03128433227539
Martyetal_2023,Exp_1,Epistemic,26,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a grey ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,59|3|57|61|5|60|2|4|8|64|1|62|63|7|6|58,-27.340885162353516,-26.459049224853516,-27.340885162353516,-26.459049224853516
Martyetal_2023,Exp_1,Epistemic,27,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a blue ball or a grey ball.,A-AB-AB,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,4|8|63|1|64|59|6|2|5|61|3|7|62|57|60|58,-27.96779441833496,-28.56838035583496,-27.96779441833496,-28.56838035583496
Martyetal_2023,Exp_1,Epistemic,28,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a green ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,7|62|59|8|58|3|64|61|2|4|5|63|1|57|6|60,-27.980497360229492,-27.787137985229492,-27.980497360229492,-27.787137985229492
Martyetal_2023,Exp_1,Epistemic,29,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a green ball or a grey ball.,A-CD-C,a blue ball,a blue ball and a yellow ball,a green ball,green,grey,blue,yellow,Bad,Good,2|8|57|64|1|7|6|63|3|59|60|58|62|5|61|4,-27.81645965576172,-27.09575653076172,-27.81645965576172,-27.09575653076172
Martyetal_2023,Exp_1,Epistemic,30,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a green ball or a blue ball.,A-AC-A,a green ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good,6|4|58|61|60|8|57|5|1|3|59|63|2|62|64|7,-27.873069763183594,-28.429710388183594,-27.873069763183594,-28.429710388183594
Martyetal_2023,Exp_1,Epistemic,31,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a blue ball or a grey ball.,A-AB-B,a blue ball and a grey ball,a grey ball,a blue ball,blue,grey,yellow,green,Bad,Good,57|1|8|61|64|7|5|4|3|6|60|59|62|58|2|63,-27.73246192932129,-27.33988380432129,-27.73246192932129,-27.33988380432129
Martyetal_2023,Exp_1,Epistemic,32,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a grey ball or a blue ball.,A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good,63|57|61|7|3|64|60|62|2|59|6|58|8|1|5|4,-28.038108825683594,-28.543968200683594,-28.038108825683594,-28.543968200683594
Martyetal_2023,Exp_1,Epistemic,33,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-B,a green ball,a yellow and a green ball,a yellow ball,yellow,green,blue,grey,Bad,Good,63|62|6|4|8|61|59|7|5|57|3|64|1|58|2|60,-27.80765724182129,-27.47269630432129,-27.80765724182129,-27.47269630432129
Martyetal_2023,Exp_1,Epistemic,34,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a green ball.,A-AC-AC,a blue ball,a blue ball and a yellow ball,a blue ball and a yellow ball,blue,green,yellow,grey,Bad,Good,62|64|61|5|4|6|63|7|3|1|2|57|60|59|8|58,-27.87601089477539,-27.07229995727539,-27.87601089477539,-27.07229995727539
Martyetal_2023,Exp_1,Epistemic,35,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a grey ball or a blue ball.,A-CD-C,a yellow and a green ball,a grey ball,a yellow ball,grey,blue,yellow,green,Bad,Good,1|2|4|6|63|8|58|57|5|59|7|3|64|60|62|61,-28.043973922729492,-28.608915328979492,-28.043973922729492,-28.608915328979492
Martyetal_2023,Exp_1,Epistemic,36,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,7|1|61|62|60|58|3|64|8|63|4|5|59|2|57|6,-27.77150535583496,-27.63088035583496,-27.77150535583496,-27.63088035583496
Martyetal_2023,Exp_1,Epistemic,37,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a blue ball.,A-AB-B,a green ball,a green ball and a blue ball,a blue ball,green,blue,grey,yellow,Bad,Good,7|4|61|3|64|60|57|58|59|5|2|6|1|62|63|8,-27.868188858032227,-28.738794326782227,-27.868188858032227,-28.738794326782227
Martyetal_2023,Exp_1,Epistemic,38,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a yellow ball.,A-AC-AC,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,yellow,grey,green,Bad,Good,60|64|7|6|5|58|62|63|3|57|61|59|8|1|2|4,-27.981468200683594,-28.551780700683594,-27.981468200683594,-28.551780700683594
Martyetal_2023,Exp_1,Epistemic,39,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,4|8|60|1|7|5|61|59|62|63|58|57|64|2|6|3,-27.629907608032227,-28.427759170532227,-27.629907608032227,-28.427759170532227
Martyetal_2023,Exp_1,Epistemic,40,Test,Block_A,Nominal,Control_1,Good,Sam,Every visible box contains a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,64|3|62|61|5|7|58|63|8|4|59|1|2|6|60|57,-27.468767166137695,-28.703630447387695,-27.468767166137695,-28.703630447387695
