Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_6,25,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,12|9|20|3|8|2|18|19|6|24|22|4|16|14|10|11|5|1|17|23|21|7|13|15,-26.946584701538086,-24.586088180541992,-26.946584701538086,-24.586088180541992
Martyetal_2022,Exp_6,26,Test,Low,Positive,FC,Good,Sam,It is possible that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,22|23|8|2|18|24|11|16|14|4|1|12|20|7|17|21|10|9|19|5|15|3|13|6,-26.870893478393555,-25.385908126831055,-26.870893478393555,-25.385908126831055
Martyetal_2022,Exp_6,27,Test,Low,Positive,SI,Good,Mia,It is possible that the mystery box contains a green ball.,A-D-C,a green ball,a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,16|15|12|24|21|5|17|4|13|9|20|19|10|7|11|22|6|14|18|2|8|1|3|23,-27.18362808227539,-25.76382827758789,-27.18362808227539,-25.76382827758789
Martyetal_2022,Exp_6,28,Test,Low,Positive,DIST,Bad,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,12|8|10|15|4|6|13|14|18|22|21|16|11|5|17|23|2|1|19|9|20|24|7|3,-27.03677749633789,-25.85367202758789,-27.03677749633789,-25.85367202758789
Martyetal_2022,Exp_6,29,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a grey ball or it contains a blue ball.,D-C-D,a green ball,a yellow ball,a green ball,grey,blue,yellow,green,Bad,Good,12|10|1|13|21|20|24|9|4|18|15|3|11|22|5|8|2|6|17|23|16|14|7|19,-26.5826473236084,-25.4024715423584,-26.5826473236084,-25.4024715423584
Martyetal_2022,Exp_6,30,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a blue ball.,A-A-A,a green ball,a green ball,a green ball,green,blue,yellow,grey,Bad,Good,16|22|1|11|23|15|10|9|5|4|2|18|8|7|17|6|19|24|21|12|3|13|14|20,-26.774166107177734,-25.241329193115234,-26.774166107177734,-25.241329193115234
Martyetal_2022,Exp_6,31,Test,Low,Negative,DIST,Bad,Sam,It is certain that either the mystery box does not contain a blue ball or it does not contain a yellow ball.,A-AB-B,a blue ball,a blue ball and a yellow ball,a yellow ball,blue,yellow,green,grey,Bad,Good,4|17|20|1|5|8|14|3|6|18|10|12|19|13|2|21|11|7|15|16|24|9|23|22,-26.917552947998047,-25.722728729248047,-26.917552947998047,-25.722728729248047
Martyetal_2022,Exp_6,32,Test,Low,Negative,DIST,Good,Mia,It is certain that either the mystery box does not contain a green ball or it does not contain a blue ball.,A-B-A,a green ball,a blue ball,a green ball,green,blue,yellow,grey,Bad,Good,13|6|4|12|9|16|15|18|1|20|8|10|22|2|17|21|3|5|7|24|14|19|23|11,-27.356550216674805,-26.072370529174805,-27.356550216674805,-26.072370529174805
Martyetal_2022,Exp_6,33,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a blue ball or it contains a yellow ball.,D-C-D,a grey ball,a green ball,a grey ball,blue,yellow,green,grey,Bad,Good,24|22|4|13|15|23|11|7|10|12|8|19|21|6|17|14|20|9|2|5|3|1|16|18,-26.330982208251953,-24.914234161376953,-26.330982208251953,-24.914234161376953
Martyetal_2022,Exp_6,34,Test,Low,Negative,II,Good,Mia,Either the mystery box does not contain a grey ball or it does not contain a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,6|16|12|18|24|9|19|17|4|8|21|1|13|7|23|2|3|5|11|10|22|15|14|20,-26.817039489746094,-25.568504333496094,-26.817039489746094,-25.568504333496094
