Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_4,25,Test,High,Negative,SI,Bad,Mia,It is not certain that the mystery box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good,1|13|22|23|10|19|5|20|8|17|6|2|12|21|4|16|15|9|18|7|11|3|24|14,-0.6533203125,-1.138671875,-0.6533203125,-1.138671875
Martyetal_2022,Exp_4,26,Test,High,Positive,DIST,Good,Mia,It is certain that the mystery box contains either a grey ball or a blue ball.,A-AB-B,a grey ball,a grey ball and a blue ball,a blue ball,grey,blue,green,yellow,Bad,Good,15|23|14|17|1|10|4|7|11|9|19|5|8|13|18|6|12|24|2|21|22|3|16|20,-1.2724609375,-0.7177734375,-1.2724609375,-0.7177734375
Martyetal_2022,Exp_4,27,Test,High,Negative,FC,Target,Mia,It is not certain that the mystery box contains both a yellow ball and a green ball.,A-AB-A,a yellow ball,a yellow and a green ball,a yellow ball,yellow,green,grey,blue,Bad,Good,15|1|3|21|9|23|18|20|14|17|24|11|22|4|13|19|6|16|5|12|10|8|2|7,-0.8232421875,-0.97314453125,-0.8232421875,-0.97314453125
Martyetal_2022,Exp_4,28,Test,High,Negative,DIST,Good,Sam,It is not possible that the mystery box contains both a blue ball and a yellow ball.,A-B-A,a blue ball,a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,17|5|22|6|7|23|8|20|18|10|3|15|19|1|11|14|16|2|12|13|21|4|24|9,-0.88232421875,-1.1923828125,-0.88232421875,-1.1923828125
Martyetal_2022,Exp_4,29,Test,High,Positive,II,Good,Sam,The mystery box contains either a grey ball or a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,15|17|22|5|12|10|23|7|13|6|20|1|18|4|2|3|21|16|24|19|8|14|11|9,-0.94384765625,-0.9462890625,-0.94384765625,-0.9462890625
Martyetal_2022,Exp_4,30,Test,High,Positive,FC,Target,Mia,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a yellow ball,a grey ball,grey,blue,yellow,green,Bad,Good,1|10|8|11|23|15|19|5|7|3|14|6|4|18|17|16|2|24|13|9|20|21|12|22,-0.76220703125,-1.2236328125,-0.76220703125,-1.2236328125
Martyetal_2022,Exp_4,31,Test,High,Positive,II,Target,Sam,The mystery box contains either a grey ball or a green ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,17|14|8|1|9|7|11|20|2|18|13|16|6|12|3|24|23|4|10|19|22|5|21|15,-0.96630859375,-0.80419921875,-0.96630859375,-0.80419921875
Martyetal_2022,Exp_4,32,Test,High,Negative,II,Good,Mia,The mystery box does not contain both a grey ball and a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,blue,yellow,Bad,Good,9|14|24|17|23|22|11|8|3|10|12|2|15|6|4|13|1|20|19|21|5|16|18|7,-1.1806640625,-1.0029296875,-1.1806640625,-1.0029296875
Martyetal_2022,Exp_4,33,Test,High,Positive,FC,Target,Sam,It is possible that the mystery box contains either a yellow ball or a green ball.,A-C-A,a yellow ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,2|5|7|11|3|18|4|6|9|16|13|19|1|20|23|10|14|12|17|24|21|8|15|22,-1.7255859375,-0.78564453125,-1.7255859375,-0.78564453125
Martyetal_2022,Exp_4,34,Test,High,Positive,SI,Bad,Mia,It is possible that the mystery box contains a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,9|15|6|16|14|17|7|10|11|2|21|13|1|4|24|22|3|23|19|8|20|18|5|12,-0.8203125,-0.9697265625,-0.8203125,-0.9697265625
Martyetal_2022,Exp_4,35,Test,High,Positive,SI,Good,Sam,It is possible that the mystery box contains a green ball.,A-D-C,a green ball,a yellow ball,a grey ball,green,blue,grey,yellow,Bad,Good,15|2|20|16|3|10|23|17|24|18|9|5|4|14|13|21|1|12|22|6|11|19|7|8,-1.6318359375,-0.483154296875,-1.6318359375,-0.483154296875
Martyetal_2022,Exp_4,36,Test,High,Negative,FC,Target,Sam,It is not certain that the mystery box contains both a green ball and a blue ball.,A-AB-A,a green ball,a green ball and a blue ball,a green ball,green,blue,grey,yellow,Bad,Good,1|18|24|4|23|8|10|7|2|15|5|17|19|12|14|21|13|16|6|9|22|11|3|20,-1.1484375,-0.7919921875,-1.1484375,-0.7919921875
Martyetal_2022,Exp_4,37,Test,High,Negative,FC,Bad,Sam,It is not certain that the mystery box contains both a blue ball and a grey ball.,AB-AB-AB,a blue ball and a grey ball,a blue ball and a grey ball,a blue ball and a grey ball,blue,grey,yellow,green,Bad,Good,5|12|24|14|3|8|16|11|19|2|23|18|10|17|13|9|4|15|21|22|7|20|1|6,-2.0390625,-0.5654296875,-2.0390625,-0.5654296875
Martyetal_2022,Exp_4,38,Test,High,Positive,DIST,Target,Mia,It is certain that the mystery box contains either a green ball or a grey ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,12|7|1|13|18|8|5|9|14|22|24|15|3|17|11|16|21|6|23|2|19|20|4|10,-1.6015625,-0.625,-1.6015625,-0.625
Martyetal_2022,Exp_4,39,Test,High,Negative,DIST,Good,Sam,It is not possible that the mystery box contains both a blue ball and a grey ball.,A-B-A,a blue ball,a grey ball,a blue ball,blue,grey,yellow,green,Bad,Good,18|2|19|11|9|14|17|8|3|23|12|21|1|6|16|22|13|4|15|7|10|20|24|5,-1.578125,-0.55859375,-1.578125,-0.55859375
Martyetal_2022,Exp_4,40,Test,High,Negative,DIST,Target,Sam,It is not possible that the mystery box contains both a yellow ball and a green ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good,22|23|18|20|14|12|16|9|11|5|24|13|1|4|8|21|15|2|6|19|17|10|7|3,-1.60546875,-0.5439453125,-1.60546875,-0.5439453125
Martyetal_2022,Exp_4,41,Test,High,Positive,DIST,Bad,Sam,It is certain that the mystery box contains either a green ball or a grey ball.,A-C-B,a green ball,a blue ball,a grey ball,green,grey,blue,yellow,Bad,Good,22|10|5|3|1|7|12|21|11|20|18|17|19|24|14|23|2|8|6|15|16|13|9|4,-1.33984375,-0.90478515625,-1.33984375,-0.90478515625
Martyetal_2022,Exp_4,42,Test,High,Positive,DIST,Target,Mia,It is certain that the mystery box contains either a yellow ball or a blue ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,blue,green,grey,Bad,Good,24|3|14|4|21|5|12|9|23|2|20|13|11|16|7|15|1|22|17|10|19|8|18|6,-1.310546875,-0.673828125,-1.310546875,-0.673828125
