Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,62|59|60|5|7|64|8|6|58|2|4|61|1|57|3|63,-0.17483121156692505,-1.8779561519622803,-0.17483121156692505,-1.8779561519622803
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,6|3|4|2|7|62|58|61|60|5|64|1|59|57|8|63,-0.7242684364318848,-0.6930184364318848,-0.7242684364318848,-0.6930184364318848
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,64|58|8|1|59|62|3|4|60|61|57|63|5|7|6|2,-1.5990095138549805,-0.23963451385498047,-1.5990095138549805,-0.23963451385498047
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,61|58|2|57|4|7|60|63|64|59|8|62|6|5|1|3,-0.30785995721817017,-1.3547348976135254,-0.30785995721817017,-1.3547348976135254
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,1|8|60|59|64|2|57|5|4|62|63|7|61|6|58|3,-1.2998369932174683,-0.33108702301979065,-1.2998369932174683,-0.33108702301979065
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,62|60|59|2|4|57|7|3|58|6|5|63|61|64|8|1,-0.7828896045684814,-0.6266396045684814,-0.7828896045684814,-0.6266396045684814
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,61|5|3|4|8|64|6|1|2|57|62|59|63|58|7|60,-0.9513657093048096,-0.5138657093048096,-0.9513657093048096,-0.5138657093048096
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,4|60|8|59|6|1|61|57|64|58|62|63|2|5|7|3,-0.5682591199874878,-0.8651341199874878,-0.5682591199874878,-0.8651341199874878
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,8|59|64|6|63|57|4|62|3|60|2|61|58|5|1|7,-0.22945551574230194,-1.6513304710388184,-0.22945551574230194,-1.6513304710388184
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,61|64|62|59|60|8|6|3|2|58|7|63|4|57|5|1,-0.9089045524597168,-0.5339045524597168,-0.9089045524597168,-0.5339045524597168
Martyetal_2023,Exp_1,Epistemic,19,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,64|58|62|63|5|7|4|1|2|60|59|57|61|3|8|6,-0.10224036872386932,-2.4147403240203857,-0.10224036872386932,-2.4147403240203857
Martyetal_2023,Exp_1,Epistemic,20,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a yellow ball.,A-AB-B,a green ball,a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,7|57|62|6|64|61|1|58|60|59|4|63|3|8|5|2,-0.6047608256340027,-0.8078858256340027,-0.6047608256340027,-0.8078858256340027
Martyetal_2023,Exp_1,Epistemic,21,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball and a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,60|5|4|57|8|59|62|64|1|63|61|2|6|58|7|3,-0.2353626936674118,-1.6259876489639282,-0.2353626936674118,-1.6259876489639282
Martyetal_2023,Exp_1,Epistemic,22,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a green ball or a yellow ball.,A-AB-A,a green ball,a green ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good,57|59|62|64|1|3|63|4|60|61|2|7|5|58|6|8,-0.9086498022079468,-0.5336498022079468,-0.9086498022079468,-0.5336498022079468
Martyetal_2023,Exp_1,Epistemic,23,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a blue ball.,A-CD-A,a grey ball,a green ball and a yellow ball,a grey ball,grey,blue,green,yellow,Bad,Good,57|1|61|63|64|4|2|6|5|60|7|58|62|8|59|3,-0.8543875813484192,-0.5731375813484192,-0.8543875813484192,-0.5731375813484192
Martyetal_2023,Exp_1,Epistemic,24,Test,Block_A,Nominal,Control_2,Bad,Mia,Every visible box contains a green ball and a blue ball.,AB-CD-C,a yellow ball,a yellow ball and a grey ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,8|62|1|2|5|57|58|59|7|60|4|63|64|61|6|3,-1.5500414371490479,-0.2531664967536926,-1.5500414371490479,-0.2531664967536926
Martyetal_2023,Exp_1,Epistemic,25,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a yellow ball or a green ball.,A-AC-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,green,blue,grey,Bad,Good,64|2|59|57|5|7|58|4|1|60|63|8|61|6|62|3,-0.806828498840332,-0.619328498840332,-0.806828498840332,-0.619328498840332
Martyetal_2023,Exp_1,Epistemic,26,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a grey ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,58|62|2|7|59|1|61|64|5|4|60|8|3|63|57|6,-0.8634809255599976,-0.5666059255599976,-0.8634809255599976,-0.5666059255599976
Martyetal_2023,Exp_1,Epistemic,27,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a blue ball or a grey ball.,A-AB-AB,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,62|4|3|6|5|59|57|63|7|64|1|8|61|58|2|60,-0.7212062478065491,-0.6899562478065491,-0.7212062478065491,-0.6899562478065491
Martyetal_2023,Exp_1,Epistemic,28,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a green ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,6|57|4|64|62|60|3|5|2|1|7|63|8|61|59|58,-0.6917448043823242,-0.7229948043823242,-0.6917448043823242,-0.7229948043823242
Martyetal_2023,Exp_1,Epistemic,29,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a green ball or a grey ball.,A-CD-C,a blue ball,a blue ball and a yellow ball,a green ball,green,grey,blue,yellow,Bad,Good,2|59|61|8|6|5|60|63|7|57|64|58|1|62|4|3,-0.9669389128684998,-0.49818891286849976,-0.9669389128684998,-0.49818891286849976
Martyetal_2023,Exp_1,Epistemic,30,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a green ball or a blue ball.,A-AC-A,a green ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good,4|5|3|2|64|60|1|62|63|6|61|8|57|59|58|7,-0.8266910314559937,-0.6079410314559937,-0.8266910314559937,-0.6079410314559937
Martyetal_2023,Exp_1,Epistemic,31,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a blue ball or a grey ball.,A-AB-B,a blue ball and a grey ball,a grey ball,a blue ball,blue,grey,yellow,green,Bad,Good,62|57|64|60|59|4|2|8|63|5|6|61|1|3|7|58,-0.7297008633613586,-0.6828258633613586,-0.7297008633613586,-0.6828258633613586
Martyetal_2023,Exp_1,Epistemic,32,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a grey ball or a blue ball.,A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good,59|62|4|5|6|8|64|1|58|3|63|61|2|60|7|57,-0.8565332889556885,-0.5752832889556885,-0.8565332889556885,-0.5752832889556885
Martyetal_2023,Exp_1,Epistemic,33,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-B,a green ball,a yellow and a green ball,a yellow ball,yellow,green,blue,grey,Bad,Good,62|63|60|5|57|1|64|61|7|58|59|6|8|4|3|2,-0.8246568441390991,-0.6059068441390991,-0.8246568441390991,-0.6059068441390991
Martyetal_2023,Exp_1,Epistemic,34,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a green ball.,A-AC-AC,a blue ball,a blue ball and a yellow ball,a blue ball and a yellow ball,blue,green,yellow,grey,Bad,Good,58|4|64|60|5|6|1|63|7|2|62|59|8|57|3|61,-1.0814063549041748,-0.4407813251018524,-1.0814063549041748,-0.4407813251018524
Martyetal_2023,Exp_1,Epistemic,35,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a grey ball or a blue ball.,A-CD-C,a yellow and a green ball,a grey ball,a yellow ball,grey,blue,yellow,green,Bad,Good,57|64|61|1|60|7|3|2|6|59|62|58|5|4|63|8,-1.0487053394317627,-0.45495539903640747,-1.0487053394317627,-0.45495539903640747
Martyetal_2023,Exp_1,Epistemic,36,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,8|7|60|6|61|5|2|3|59|4|57|64|1|62|63|58,-0.37430715560913086,-1.2180571556091309,-0.37430715560913086,-1.2180571556091309
Martyetal_2023,Exp_1,Epistemic,37,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a blue ball.,A-AB-B,a green ball,a green ball and a blue ball,a blue ball,green,blue,grey,yellow,Bad,Good,63|5|61|58|3|64|2|4|7|60|8|6|57|59|62|1,-0.5783272385597229,-0.8439522385597229,-0.5783272385597229,-0.8439522385597229
Martyetal_2023,Exp_1,Epistemic,38,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a yellow ball.,A-AC-AC,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,yellow,grey,green,Bad,Good,7|62|2|4|63|5|8|64|58|57|60|61|1|6|3|59,-1.046459436416626,-0.4683343768119812,-1.046459436416626,-0.4683343768119812
Martyetal_2023,Exp_1,Epistemic,39,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,60|59|58|5|64|7|4|8|6|1|2|3|63|61|62|57,-0.24187597632408142,-1.5700010061264038,-0.24187597632408142,-1.5700010061264038
Martyetal_2023,Exp_1,Epistemic,40,Test,Block_A,Nominal,Control_1,Good,Sam,Every visible box contains a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,8|61|58|4|63|7|3|1|60|2|5|62|59|57|6|64,-0.15253910422325134,-2.027539014816284,-0.15253910422325134,-2.027539014816284
