Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_5,25,Test,Intermediate,Negative,SI,Bad,Mia,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,21|20|12|7|14|8|9|5|24|10|4|3|16|13|11|1|23|18|19|17|15|6|2|22,-5.618119716644287,-4.946244716644287,-5.618119716644287,-4.946244716644287
Martyetal_2022,Exp_5,26,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a grey ball.,A-C-B,a blue ball,a green ball,a grey ball,blue,grey,green,yellow,Bad,Good,20|3|10|9|13|21|5|4|11|1|15|18|17|19|6|23|2|12|24|14|22|7|16|8,-5.5629777908325195,-5.0161027908325195,-5.5629777908325195,-5.0161027908325195
Martyetal_2022,Exp_5,27,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a yellow ball or a blue ball.,A-B-A,a yellow ball,a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,1|6|7|23|18|15|9|2|12|24|3|19|16|22|11|8|14|17|10|4|20|13|5|21,-5.580090522766113,-5.142590522766113,-5.580090522766113,-5.142590522766113
Martyetal_2022,Exp_5,28,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,14|7|6|19|4|21|1|13|8|22|11|12|3|2|16|20|18|17|9|23|5|10|15|24,-4.818354606628418,-5.341792106628418,-4.818354606628418,-5.341792106628418
Martyetal_2022,Exp_5,29,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,24|23|3|16|17|20|15|22|19|5|6|21|4|2|11|14|13|12|8|10|9|18|1|7,-5.569954872131348,-5.007454872131348,-5.569954872131348,-5.007454872131348
Martyetal_2022,Exp_5,30,Test,Intermediate,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a grey ball.,A-D-A,a grey ball,a blue ball,a grey ball,grey,green,yellow,blue,Bad,Good,11|15|12|21|7|18|5|10|20|2|19|24|9|23|1|17|16|8|22|3|14|4|6|13,-5.074252128601074,-5.535189628601074,-5.074252128601074,-5.535189628601074
Martyetal_2022,Exp_5,31,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,9|21|15|7|13|17|2|3|16|22|1|11|10|5|19|18|8|4|24|20|14|6|23|12,-5.4430084228515625,-4.8258209228515625,-5.4430084228515625,-4.8258209228515625
Martyetal_2022,Exp_5,32,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a yellow ball.,A-AB-B,a grey ball,a grey ball and a yellow ball,a yellow ball,grey,yellow,blue,green,Bad,Good,17|15|21|22|18|24|5|8|10|23|4|13|3|6|11|19|9|2|1|16|7|14|20|12,-5.377195358276367,-4.861570358276367,-5.377195358276367,-4.861570358276367
Martyetal_2022,Exp_5,33,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a blue ball.,A-D-C,a blue ball,a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,1|14|11|6|8|15|10|18|12|17|20|3|21|9|2|19|7|16|5|24|22|13|23|4,-5.6368913650512695,-5.1212663650512695,-5.6368913650512695,-5.1212663650512695
Martyetal_2022,Exp_5,34,Test,Intermediate,Positive,SI,Target,Mia,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,21|2|20|12|11|1|7|15|23|13|4|17|8|10|19|18|16|6|24|3|5|14|22|9,-5.625993728637695,-5.125993728637695,-5.625993728637695,-5.125993728637695
