Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad,model,chosen_response
Deganoetal_2024,Exp_1,9,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-A,a blue ball,a blue ball and a grey ball,a blue ball,blue,grey,green,yellow,Bad,Good,1|5|3|6|7|2|8|4,-0.8527225852012634,-0.5870975852012634,-0.8527225852012634,-0.5870975852012634,Llama-2-13b-hf,bad
Deganoetal_2024,Exp_1,10,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a blue ball.',A-AC-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,blue,grey,green,Bad,Good,2|5|8|3|1|4|6|7,-0.8860437870025635,-0.5579187870025635,-0.8860437870025635,-0.5579187870025635,Llama-2-13b-hf,bad
Deganoetal_2024,Exp_1,11,Test,Test,Target_2,Mia,`The mystery box contains a grey ball or a blue ball.',A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good,6|2|3|1|7|5|8|4,-1.2168564796447754,-0.373106449842453,-1.2168564796447754,-0.373106449842453,Llama-2-13b-hf,bad
Deganoetal_2024,Exp_1,12,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a blue ball.',A-AC-AC,a green ball and a yellow ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good,4|3|7|2|6|8|1|5,-1.1404573917388916,-0.4060823321342468,-1.1404573917388916,-0.4060823321342468,Llama-2-13b-hf,bad
Deganoetal_2024,Exp_1,13,Test,Control_2,Bad,Mia,`The mystery box does not contain a yellow ball.',A-CD-A,a yellow ball,a yellow ball,a grey ball and a green ball,yellow,blue,grey,green,Bad,Good,5|8|3|1|6|7|2|4,-0.893172562122345,-0.596297562122345,-0.893172562122345,-0.596297562122345,Llama-2-13b-hf,bad
Deganoetal_2024,Exp_1,14,Test,Control_4,Bad,Sam,`The mystery box does not contain a grey ball or a blue ball.',A-CD-A,a grey ball,a yellow and a green ball,a grey ball,grey,blue,yellow,green,Bad,Good,4|8|2|1|7|3|6|5,-0.7706547379493713,-0.6769047379493713,-0.7706547379493713,-0.6769047379493713,Llama-2-13b-hf,bad
Deganoetal_2024,Exp_1,15,Test,Control_1,Good,Sam,`The mystery box contains a grey ball.',A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,green,yellow,Bad,Good,7|1|6|4|8|2|3|5,-0.5773711800575256,-0.8898711800575256,-0.5773711800575256,-0.8898711800575256,Llama-2-13b-hf,good
Deganoetal_2024,Exp_1,16,Test,Control_1,Good,Sam,`The mystery box contains a yellow ball.',A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,6|3|8|7|4|2|1|5,-0.5455480217933655,-1.0611729621887207,-0.5455480217933655,-1.0611729621887207,Llama-2-13b-hf,good
Deganoetal_2024,Exp_1,17,Test,Test,Target_2,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AC-AD,a blue ball and a grey ball,a blue ball,a blue ball and a green ball,blue,yellow,green,grey,Bad,Good,7|4|1|2|3|6|5|8,-1.4816702604293823,-0.2785452902317047,-1.4816702604293823,-0.2785452902317047,Llama-2-13b-hf,bad
Deganoetal_2024,Exp_1,18,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AB-B,a blue ball,a yellow ball,a blue ball and a yellow ball,blue,yellow,green,grey,Bad,Good,8|4|2|3|1|5|6|7,-1.0133947134017944,-0.4821447134017944,-1.0133947134017944,-0.4821447134017944,Llama-2-13b-hf,bad
