Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_4,25,Test,High,Negative,SI,Bad,Mia,It is not certain that the mystery box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good,10|16|19|6|3|1|8|20|5|18|7|11|23|14|4|9|15|13|21|17|22|2|12|24,-14.121601104736328,-55.39766311645508,-14.121601104736328,-55.39766311645508
Martyetal_2022,Exp_4,26,Test,High,Positive,DIST,Good,Mia,It is certain that the mystery box contains either a grey ball or a blue ball.,A-AB-B,a grey ball,a grey ball and a blue ball,a blue ball,grey,blue,green,yellow,Bad,Good,13|6|1|10|14|16|24|17|19|11|7|18|15|4|9|3|8|20|12|23|22|5|2|21,-20.707233428955078,-66.30020904541016,-20.707233428955078,-66.30020904541016
Martyetal_2022,Exp_4,27,Test,High,Negative,FC,Target,Mia,It is not certain that the mystery box contains both a yellow ball and a green ball.,A-AB-A,a yellow ball,a yellow and a green ball,a yellow ball,yellow,green,grey,blue,Bad,Good,6|7|5|18|3|13|19|14|10|11|12|24|23|2|17|21|4|9|15|16|22|1|20|8,-34.06715393066406,-65.73792266845703,-34.06715393066406,-65.73792266845703
Martyetal_2022,Exp_4,28,Test,High,Negative,DIST,Good,Sam,It is not possible that the mystery box contains both a blue ball and a yellow ball.,A-B-A,a blue ball,a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,7|14|15|23|8|4|9|21|20|19|2|13|24|17|1|5|6|11|10|18|16|3|22|12,-14.352762222290039,-66.25053405761719,-14.352762222290039,-66.25053405761719
Martyetal_2022,Exp_4,29,Test,High,Positive,II,Good,Sam,The mystery box contains either a grey ball or a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,17|21|11|5|1|10|23|19|3|20|6|16|18|15|14|13|12|2|7|4|9|8|24|22,-20.100505828857422,-69.44001770019531,-20.100505828857422,-69.44001770019531
Martyetal_2022,Exp_4,30,Test,High,Positive,FC,Target,Mia,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a yellow ball,a grey ball,grey,blue,yellow,green,Bad,Good,23|5|4|20|10|12|14|21|1|19|9|15|16|8|18|2|22|7|17|3|24|13|6|11,-27.00922203063965,-59.609840393066406,-27.00922203063965,-59.609840393066406
Martyetal_2022,Exp_4,31,Test,High,Positive,II,Target,Sam,The mystery box contains either a grey ball or a green ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,4|17|18|1|22|10|11|24|8|16|13|5|23|14|15|3|19|2|6|12|9|7|21|20,-52.461368560791016,-51.44681167602539,-52.461368560791016,-51.44681167602539
Martyetal_2022,Exp_4,32,Test,High,Negative,II,Good,Mia,The mystery box does not contain both a grey ball and a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,blue,yellow,Bad,Good,17|20|24|16|22|2|1|6|23|19|14|3|15|8|18|12|4|9|11|10|13|7|21|5,-19.22513198852539,-64.89280700683594,-19.22513198852539,-64.89280700683594
Martyetal_2022,Exp_4,33,Test,High,Positive,FC,Target,Sam,It is possible that the mystery box contains either a yellow ball or a green ball.,A-C-A,a yellow ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,17|3|24|15|2|10|19|16|12|8|23|6|22|18|13|1|9|5|20|21|7|4|14|11,-43.28950119018555,-52.53656768798828,-43.28950119018555,-52.53656768798828
Martyetal_2022,Exp_4,34,Test,High,Positive,SI,Bad,Mia,It is possible that the mystery box contains a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,4|5|15|23|10|22|6|17|7|14|16|3|21|2|1|20|9|8|24|13|11|19|12|18,-59.56062698364258,-27.27733039855957,-59.56062698364258,-27.27733039855957
