Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_6,25,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,1|11|8|17|10|7|23|18|14|20|12|21|22|4|6|9|16|15|13|3|2|24|19|5,,,0.0,0.0
Martyetal_2022,Exp_6,26,Test,Low,Positive,FC,Good,Sam,It is possible that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,15|8|5|21|7|12|10|4|17|13|16|2|24|14|19|23|9|11|3|18|20|6|22|1,,,0.0,0.0
Martyetal_2022,Exp_6,27,Test,Low,Positive,SI,Good,Mia,It is possible that the mystery box contains a green ball.,A-D-C,a green ball,a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,1|19|4|6|5|24|7|12|14|16|15|20|17|23|18|2|3|8|9|11|21|13|10|22,,,0.0,0.0
Martyetal_2022,Exp_6,28,Test,Low,Positive,DIST,Bad,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,8|16|15|13|14|18|9|6|20|2|23|21|11|7|4|3|1|12|24|5|22|17|10|19,,,0.0,0.0
Martyetal_2022,Exp_6,29,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a grey ball or it contains a blue ball.,D-C-D,a green ball,a yellow ball,a green ball,grey,blue,yellow,green,Bad,Good,17|2|15|8|7|16|20|10|4|21|5|22|23|12|14|18|11|13|9|6|19|24|3|1,,,0.0,0.0
Martyetal_2022,Exp_6,30,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a blue ball.,A-A-A,a green ball,a green ball,a green ball,green,blue,yellow,grey,Bad,Good,4|3|1|11|6|16|2|21|7|18|8|9|5|22|23|15|14|19|13|10|17|12|20|24,,,0.0,0.0
Martyetal_2022,Exp_6,31,Test,Low,Negative,DIST,Bad,Sam,It is certain that either the mystery box does not contain a blue ball or it does not contain a yellow ball.,A-AB-B,a blue ball,a blue ball and a yellow ball,a yellow ball,blue,yellow,green,grey,Bad,Good,22|19|6|21|10|2|8|9|7|20|13|4|11|15|24|1|5|14|23|16|18|12|3|17,,,0.0,0.0
Martyetal_2022,Exp_6,32,Test,Low,Negative,DIST,Good,Mia,It is certain that either the mystery box does not contain a green ball or it does not contain a blue ball.,A-B-A,a green ball,a blue ball,a green ball,green,blue,yellow,grey,Bad,Good,24|15|6|22|3|19|1|5|16|2|12|4|20|10|14|18|23|8|13|21|11|17|7|9,,,0.0,0.0
Martyetal_2022,Exp_6,33,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a blue ball or it contains a yellow ball.,D-C-D,a grey ball,a green ball,a grey ball,blue,yellow,green,grey,Bad,Good,2|24|11|6|19|9|14|23|18|7|8|1|10|15|22|3|5|12|17|4|13|21|16|20,,,0.0,0.0
Martyetal_2022,Exp_6,34,Test,Low,Negative,II,Good,Mia,Either the mystery box does not contain a grey ball or it does not contain a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,9|17|16|11|7|8|1|19|14|10|6|13|21|22|18|3|4|5|20|23|15|12|24|2,,,0.0,0.0
