Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_4,25,Test,High,Negative,SI,Bad,Mia,It is not certain that the mystery box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good,3|20|15|17|9|18|21|7|8|11|23|16|5|14|6|24|1|13|22|2|19|12|10|4,-25.57294273376465,-25.1381893157959,-25.57294273376465,-25.1381893157959
Martyetal_2022,Exp_4,26,Test,High,Positive,DIST,Good,Mia,It is certain that the mystery box contains either a grey ball or a blue ball.,A-AB-B,a grey ball,a grey ball and a blue ball,a blue ball,grey,blue,green,yellow,Bad,Good,15|24|7|1|16|4|3|17|11|18|8|20|6|14|19|9|5|13|2|12|10|22|23|21,-25.6250057220459,-25.3496150970459,-25.6250057220459,-25.3496150970459
Martyetal_2022,Exp_4,27,Test,High,Negative,FC,Target,Mia,It is not certain that the mystery box contains both a yellow ball and a green ball.,A-AB-A,a yellow ball,a yellow and a green ball,a yellow ball,yellow,green,grey,blue,Bad,Good,24|1|14|4|13|9|12|10|3|23|15|6|2|16|21|20|7|22|19|5|8|18|17|11,-25.5205135345459,-25.2675838470459,-25.5205135345459,-25.2675838470459
Martyetal_2022,Exp_4,28,Test,High,Negative,DIST,Good,Sam,It is not possible that the mystery box contains both a blue ball and a yellow ball.,A-B-A,a blue ball,a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,7|11|22|8|21|2|20|13|1|9|24|10|5|17|19|15|14|18|16|4|12|23|6|3,-25.442874908447266,-25.178226470947266,-25.442874908447266,-25.178226470947266
Martyetal_2022,Exp_4,29,Test,High,Positive,II,Good,Sam,The mystery box contains either a grey ball or a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,19|14|12|9|21|10|24|2|22|15|16|6|4|18|5|17|23|8|11|13|1|7|3|20,-25.3042049407959,-25.3300838470459,-25.3042049407959,-25.3300838470459
Martyetal_2022,Exp_4,30,Test,High,Positive,FC,Target,Mia,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a yellow ball,a grey ball,grey,blue,yellow,green,Bad,Good,3|22|1|21|18|9|19|10|8|11|14|6|7|20|17|4|16|13|2|15|23|12|5|24,-25.419437408447266,-25.292972564697266,-25.419437408447266,-25.292972564697266
Martyetal_2022,Exp_4,31,Test,High,Positive,II,Target,Sam,The mystery box contains either a grey ball or a green ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,7|5|18|9|3|21|11|1|6|16|23|2|8|17|24|19|15|22|14|12|4|20|10|13,-25.159183502197266,-24.527347564697266,-25.159183502197266,-24.527347564697266
Martyetal_2022,Exp_4,32,Test,High,Negative,II,Good,Mia,The mystery box does not contain both a grey ball and a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,blue,yellow,Bad,Good,20|14|3|18|4|2|6|21|1|24|7|17|10|8|16|22|12|11|9|15|5|13|23|19,-25.0151424407959,-25.2442684173584,-25.0151424407959,-25.2442684173584
Martyetal_2022,Exp_4,33,Test,High,Positive,FC,Target,Sam,It is possible that the mystery box contains either a yellow ball or a green ball.,A-C-A,a yellow ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,18|23|17|24|6|19|21|7|20|5|8|4|10|15|12|11|2|9|16|22|3|1|13|14,-25.365726470947266,-24.799808502197266,-25.365726470947266,-24.799808502197266
Martyetal_2022,Exp_4,34,Test,High,Positive,SI,Bad,Mia,It is possible that the mystery box contains a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,17|23|11|19|3|13|14|8|6|20|15|24|4|12|5|7|9|18|22|1|10|16|21|2,-24.9609432220459,-25.1164608001709,-24.9609432220459,-25.1164608001709
