Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_4,25,Test,High,Negative,SI,Bad,Mia,It is not certain that the mystery box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good,8|2|15|10|1|7|17|5|20|11|9|21|19|13|24|4|14|16|6|18|23|3|22|12,-7.658565044403076,-10.314815521240234,-7.658565044403076,-10.314815521240234
Martyetal_2022,Exp_4,26,Test,High,Positive,DIST,Good,Mia,It is certain that the mystery box contains either a grey ball or a blue ball.,A-AB-B,a grey ball,a grey ball and a blue ball,a blue ball,grey,blue,green,yellow,Bad,Good,12|1|14|24|20|18|3|11|17|15|13|19|22|7|6|23|16|2|4|10|8|9|5|21,-8.429539680480957,-11.167820930480957,-8.429539680480957,-11.167820930480957
Martyetal_2022,Exp_4,27,Test,High,Negative,FC,Target,Mia,It is not certain that the mystery box contains both a yellow ball and a green ball.,A-AB-A,a yellow ball,a yellow and a green ball,a yellow ball,yellow,green,grey,blue,Bad,Good,6|7|20|12|15|16|13|5|14|4|21|18|1|10|8|17|24|3|9|22|23|19|2|11,-8.119359970092773,-10.869359970092773,-8.119359970092773,-10.869359970092773
Martyetal_2022,Exp_4,28,Test,High,Negative,DIST,Good,Sam,It is not possible that the mystery box contains both a blue ball and a yellow ball.,A-B-A,a blue ball,a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,15|12|10|24|6|13|2|4|7|20|11|9|22|1|19|14|16|5|21|17|3|18|23|8,-8.422196388244629,-10.984696388244629,-8.422196388244629,-10.984696388244629
Martyetal_2022,Exp_4,29,Test,High,Positive,II,Good,Sam,The mystery box contains either a grey ball or a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,9|6|2|17|23|5|16|15|21|4|1|3|20|12|22|7|8|11|24|18|19|13|10|14,-7.485577583312988,-10.657452583312988,-7.485577583312988,-10.657452583312988
Martyetal_2022,Exp_4,30,Test,High,Positive,FC,Target,Mia,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a yellow ball,a grey ball,grey,blue,yellow,green,Bad,Good,6|2|12|18|1|22|20|7|17|11|14|8|24|9|4|10|5|21|3|23|13|19|16|15,-8.352632522583008,-10.758882522583008,-8.352632522583008,-10.758882522583008
Martyetal_2022,Exp_4,31,Test,High,Positive,II,Target,Sam,The mystery box contains either a grey ball or a green ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,24|11|8|16|3|1|2|17|18|12|10|6|4|5|15|20|21|7|19|9|23|22|13|14,-7.660035610198975,-10.812379837036133,-7.660035610198975,-10.812379837036133
Martyetal_2022,Exp_4,32,Test,High,Negative,II,Good,Mia,The mystery box does not contain both a grey ball and a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,blue,yellow,Bad,Good,6|15|4|17|22|10|8|14|23|20|5|7|19|12|1|24|3|9|2|18|13|11|21|16,-8.065465927124023,-10.499059677124023,-8.065465927124023,-10.499059677124023
Martyetal_2022,Exp_4,33,Test,High,Positive,FC,Target,Sam,It is possible that the mystery box contains either a yellow ball or a green ball.,A-C-A,a yellow ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,5|10|11|1|7|23|18|6|20|15|8|16|13|24|9|19|2|14|4|12|3|22|21|17,-8.295501708984375,-10.459564208984375,-8.295501708984375,-10.459564208984375
Martyetal_2022,Exp_4,34,Test,High,Positive,SI,Bad,Mia,It is possible that the mystery box contains a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,1|20|8|3|16|23|12|19|6|11|2|21|7|17|5|15|10|24|9|4|14|22|13|18,-7.537618637084961,-10.779806137084961,-7.537618637084961,-10.779806137084961
