Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_4,25,Test,High,Negative,SI,Bad,Mia,It is not certain that the mystery box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good,24|13|18|19|15|23|10|21|12|9|4|7|2|11|17|1|16|8|6|22|20|14|3|5,-5.238648414611816,-5.535523414611816,-5.238648414611816,-5.535523414611816
Martyetal_2022,Exp_4,26,Test,High,Positive,DIST,Good,Mia,It is certain that the mystery box contains either a grey ball or a blue ball.,A-AB-B,a grey ball,a grey ball and a blue ball,a blue ball,grey,blue,green,yellow,Bad,Good,11|7|6|24|5|10|1|8|12|13|23|17|22|21|18|3|2|15|20|16|19|4|14|9,-5.546281337738037,-5.061906337738037,-5.546281337738037,-5.061906337738037
Martyetal_2022,Exp_4,27,Test,High,Negative,FC,Target,Mia,It is not certain that the mystery box contains both a yellow ball and a green ball.,A-AB-A,a yellow ball,a yellow and a green ball,a yellow ball,yellow,green,grey,blue,Bad,Good,19|14|20|8|18|22|10|12|21|1|5|23|13|15|11|16|24|7|3|2|9|4|6|17,-5.062970161437988,-5.594220161437988,-5.062970161437988,-5.594220161437988
Martyetal_2022,Exp_4,28,Test,High,Negative,DIST,Good,Sam,It is not possible that the mystery box contains both a blue ball and a yellow ball.,A-B-A,a blue ball,a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,11|4|15|17|9|19|24|22|5|18|21|20|2|23|8|10|16|14|3|7|6|1|13|12,-4.936948776245117,-5.522886276245117,-4.936948776245117,-5.522886276245117
Martyetal_2022,Exp_4,29,Test,High,Positive,II,Good,Sam,The mystery box contains either a grey ball or a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,21|7|4|3|24|19|13|6|11|23|9|18|10|20|14|8|17|22|15|5|16|2|12|1,-5.440265655517578,-5.041828155517578,-5.440265655517578,-5.041828155517578
Martyetal_2022,Exp_4,30,Test,High,Positive,FC,Target,Mia,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a yellow ball,a grey ball,grey,blue,yellow,green,Bad,Good,12|14|10|6|4|1|3|20|7|8|16|17|11|9|5|21|18|2|24|22|13|23|15|19,-4.957575798034668,-5.488825798034668,-4.957575798034668,-5.488825798034668
Martyetal_2022,Exp_4,31,Test,High,Positive,II,Target,Sam,The mystery box contains either a grey ball or a green ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,10|14|12|24|5|7|21|11|20|23|15|1|6|9|17|8|2|22|3|18|13|4|16|19,-5.457913398742676,-4.950100898742676,-5.457913398742676,-4.950100898742676
Martyetal_2022,Exp_4,32,Test,High,Negative,II,Good,Mia,The mystery box does not contain both a grey ball and a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,blue,yellow,Bad,Good,8|18|16|22|4|3|24|7|12|21|9|1|20|6|11|23|2|13|10|14|15|17|19|5,-5.02561616897583,-5.92405366897583,-5.02561616897583,-5.92405366897583
Martyetal_2022,Exp_4,33,Test,High,Positive,FC,Target,Sam,It is possible that the mystery box contains either a yellow ball or a green ball.,A-C-A,a yellow ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,17|2|1|11|18|15|12|21|3|20|4|9|7|13|10|22|24|14|19|16|23|6|8|5,-4.820344924926758,-5.320344924926758,-4.820344924926758,-5.320344924926758
Martyetal_2022,Exp_4,34,Test,High,Positive,SI,Bad,Mia,It is possible that the mystery box contains a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,20|15|12|3|17|11|9|2|22|21|5|1|14|19|4|8|23|24|16|10|6|7|13|18,-5.034704208374023,-5.542516708374023,-5.034704208374023,-5.542516708374023
Martyetal_2022,Exp_4,35,Test,High,Positive,SI,Good,Sam,It is possible that the mystery box contains a green ball.,A-D-C,a green ball,a yellow ball,a grey ball,green,blue,grey,yellow,Bad,Good,20|21|24|13|11|7|5|23|22|14|9|19|15|17|8|1|2|4|16|3|18|6|10|12,-5.493941307067871,-5.009566307067871,-5.493941307067871,-5.009566307067871
Martyetal_2022,Exp_4,36,Test,High,Negative,FC,Target,Sam,It is not certain that the mystery box contains both a green ball and a blue ball.,A-AB-A,a green ball,a green ball and a blue ball,a green ball,green,blue,grey,yellow,Bad,Good,10|2|18|17|12|5|24|9|8|22|3|6|7|21|4|19|13|20|11|15|1|16|14|23,-5.0165839195251465,-5.4228339195251465,-5.0165839195251465,-5.4228339195251465
Martyetal_2022,Exp_4,37,Test,High,Negative,FC,Bad,Sam,It is not certain that the mystery box contains both a blue ball and a grey ball.,AB-AB-AB,a blue ball and a grey ball,a blue ball and a grey ball,a blue ball and a grey ball,blue,grey,yellow,green,Bad,Good,12|9|20|18|13|14|19|1|22|16|17|5|7|23|3|2|10|8|11|15|21|6|4|24,-5.054903030395508,-5.453340530395508,-5.054903030395508,-5.453340530395508
