Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_2,Deontic,9,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a yellow ball or a green ball.,A-CD-C,a grey ball and a blue ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,57|2|61|8|62|64|5|1|6|59|3|4|63|58|7|60,-22.453142166137695,-25.214860916137695,-22.453142166137695,-25.214860916137695
Martyetal_2023,Exp_2,Deontic,10,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a green ball or a grey ball.,A-CD-A,a green ball,a yellow ball and a blue ball,a green ball,green,grey,yellow,blue,Bad,Good,6|7|63|60|3|58|57|61|59|2|5|4|1|8|64|62,-22.644548416137695,-23.925798416137695,-22.644548416137695,-23.925798416137695
Martyetal_2023,Exp_2,Deontic,11,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a yellow ball or a grey ball.,A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,green,blue,Bad,Good,6|2|5|7|4|61|57|8|59|60|58|3|63|64|1|62,-22.648454666137695,-23.777360916137695,-22.648454666137695,-23.777360916137695
Martyetal_2023,Exp_2,Deontic,12,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a green ball or a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,yellow,blue,Bad,Good,1|62|63|60|64|6|58|7|5|4|59|2|61|3|8|57,-22.578140258789062,-23.742202758789062,-22.578140258789062,-23.742202758789062
Martyetal_2023,Exp_2,Deontic,13,Test,Block_A,Nominal,Test,Target_2,Sam,Every box contains a grey ball or a green ball.,A-AC-AC,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball,grey,green,yellow,blue,Bad,Good,64|2|58|61|63|6|62|8|7|5|3|4|1|57|59|60,-22.414081573486328,-25.183612823486328,-22.414081573486328,-25.183612823486328
Martyetal_2023,Exp_2,Deontic,14,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a green ball or a blue ball.,A-CD-C,a grey ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,1|5|63|59|8|60|57|7|64|58|62|3|6|61|2|4,-22.38673973083496,-25.08986473083496,-22.38673973083496,-25.08986473083496
Martyetal_2023,Exp_2,Deontic,15,Test,Block_A,Nominal,Control_2,Good,Mia,Every box contains a grey ball and a yellow ball.,AB-AB-AB,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball and a yellow ball,grey,yellow,blue,green,Bad,Good,2|3|59|63|60|5|58|8|6|7|62|4|57|64|1|61,-22.695341110229492,-23.828153610229492,-22.695341110229492,-23.828153610229492
Martyetal_2023,Exp_2,Deontic,16,Test,Block_A,Nominal,Control_4,Good,Mia,No box contains a blue ball or a yellow ball.,C-CD-C,a green ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,5|64|57|63|7|1|4|6|3|61|2|59|58|62|8|60,-22.660171508789062,-23.785171508789062,-22.660171508789062,-23.785171508789062
Martyetal_2023,Exp_2,Deontic,17,Test,Block_A,Nominal,Control_2,Bad,Mia,Every box contains a grey ball and a green ball.,AB-CD-C,a grey ball and a green ball,a blue ball,a blue ball and a yellow ball,grey,green,blue,yellow,Bad,Good,1|57|7|8|6|59|64|4|2|3|62|60|63|58|5|61,-22.800796508789062,-24.015640258789062,-22.800796508789062,-24.015640258789062
Martyetal_2023,Exp_2,Deontic,18,Test,Block_A,Nominal,Control_3,Bad,Mia,No box contains a grey ball.,A-CD-A,a yellow ball and a blue ball,a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,64|60|57|62|61|8|59|3|58|2|63|4|7|5|6|1,-22.921890258789062,-24.074234008789062,-22.921890258789062,-24.074234008789062
