Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,5|60|4|7|6|59|64|2|62|8|1|3|61|63|57|58,-29.2719783782959,-28.2724666595459,-29.2719783782959,-28.2724666595459
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,1|63|5|8|4|61|64|58|2|59|62|3|57|6|7|60,-28.6137752532959,-27.4355525970459,-28.6137752532959,-27.4355525970459
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,7|58|1|2|8|3|62|4|57|6|61|63|5|64|60|59,-29.504552841186523,-27.8710994720459,-29.504552841186523,-27.8710994720459
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,63|4|6|1|2|60|8|61|3|59|5|7|62|58|57|64,-29.031986236572266,-27.675785064697266,-29.031986236572266,-27.675785064697266
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,8|58|59|1|57|7|4|6|60|3|5|61|63|2|62|64,-28.7058162689209,-27.4990291595459,-28.7058162689209,-27.4990291595459
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,59|7|58|1|2|5|8|3|61|62|63|60|6|57|4|64,-28.761234283447266,-27.465824127197266,-28.761234283447266,-27.465824127197266
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,6|59|64|5|63|58|8|60|7|3|57|61|4|1|2|62,-29.075931549072266,-27.383792877197266,-29.075931549072266,-27.383792877197266
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,7|64|62|63|60|8|1|4|6|2|59|58|5|61|57|3,-28.7670955657959,-27.7900447845459,-28.7670955657959,-27.7900447845459
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,7|5|63|60|62|57|58|64|1|3|2|61|6|59|8|4,-29.457401275634766,-28.159183502197266,-29.457401275634766,-28.159183502197266
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,2|62|64|5|8|7|6|4|59|1|61|58|63|3|57|60,-29.1435604095459,-27.7197322845459,-29.1435604095459,-27.7197322845459
Martyetal_2023,Exp_1,Epistemic,19,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,2|60|5|61|59|7|6|4|64|1|62|3|58|63|8|57,-28.0380916595459,-26.9472713470459,-28.0380916595459,-26.9472713470459
Martyetal_2023,Exp_1,Epistemic,20,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a yellow ball.,A-AB-B,a green ball,a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,58|2|6|63|4|3|7|1|62|60|5|8|61|57|64|59,-29.001956939697266,-27.959964752197266,-29.001956939697266,-27.959964752197266
Martyetal_2023,Exp_1,Epistemic,21,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball and a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,60|8|6|7|2|58|1|5|3|57|64|4|63|61|62|59,-29.552371978759766,-27.852542877197266,-29.552371978759766,-27.852542877197266
Martyetal_2023,Exp_1,Epistemic,22,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a green ball or a yellow ball.,A-AB-A,a green ball,a green ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good,4|7|63|59|60|2|5|61|57|64|1|6|8|3|62|58,-29.291065216064453,-28.153324127197266,-29.291065216064453,-28.153324127197266
Martyetal_2023,Exp_1,Epistemic,23,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a blue ball.,A-CD-A,a grey ball,a green ball and a yellow ball,a grey ball,grey,blue,green,yellow,Bad,Good,5|4|62|1|57|64|63|3|8|60|61|7|2|6|59|58,-28.80127716064453,-27.78418731689453,-28.80127716064453,-27.78418731689453
Martyetal_2023,Exp_1,Epistemic,24,Test,Block_A,Nominal,Control_2,Bad,Mia,Every visible box contains a green ball and a blue ball.,AB-CD-C,a yellow ball,a yellow ball and a grey ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,3|62|7|8|6|59|58|2|64|5|4|57|61|1|63|60,-28.3261775970459,-27.6611385345459,-28.3261775970459,-27.6611385345459
Martyetal_2023,Exp_1,Epistemic,25,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a yellow ball or a green ball.,A-AC-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,green,blue,grey,Bad,Good,3|59|2|4|8|64|6|63|57|1|7|62|60|61|5|58,-28.546878814697266,-27.954105377197266,-28.546878814697266,-27.954105377197266
Martyetal_2023,Exp_1,Epistemic,26,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a grey ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,63|64|61|59|60|3|6|57|5|2|4|58|8|1|62|7,-29.313724517822266,-27.623050689697266,-29.313724517822266,-27.623050689697266
Martyetal_2023,Exp_1,Epistemic,27,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a blue ball or a grey ball.,A-AB-AB,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,7|57|64|63|5|4|60|58|61|1|6|62|59|8|2|3,-29.3818416595459,-28.3457088470459,-29.3818416595459,-28.3457088470459
Martyetal_2023,Exp_1,Epistemic,28,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a green ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,1|5|8|4|64|60|62|6|57|2|59|3|58|63|7|61,-29.418127059936523,-27.6621150970459,-29.418127059936523,-27.6621150970459
Martyetal_2023,Exp_1,Epistemic,29,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a green ball or a grey ball.,A-CD-C,a blue ball,a blue ball and a yellow ball,a green ball,green,grey,blue,yellow,Bad,Good,5|62|60|2|61|64|59|7|58|4|1|3|63|57|8|6,-28.99365997314453,-28.20410919189453,-28.99365997314453,-28.20410919189453
Martyetal_2023,Exp_1,Epistemic,30,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a green ball or a blue ball.,A-AC-A,a green ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good,57|3|60|58|8|62|64|59|5|1|61|2|7|6|63|4,-28.203128814697266,-27.417972564697266,-28.203128814697266,-27.417972564697266
Martyetal_2023,Exp_1,Epistemic,31,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a blue ball or a grey ball.,A-AB-B,a blue ball and a grey ball,a grey ball,a blue ball,blue,grey,yellow,green,Bad,Good,1|4|3|62|8|59|60|7|2|5|63|58|64|6|61|57,-29.166507720947266,-27.132816314697266,-29.166507720947266,-27.132816314697266
Martyetal_2023,Exp_1,Epistemic,32,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a grey ball or a blue ball.,A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good,1|7|60|2|4|58|57|63|5|64|59|3|8|62|6|61,-29.3183650970459,-27.5722713470459,-29.3183650970459,-27.5722713470459
Martyetal_2023,Exp_1,Epistemic,33,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-B,a green ball,a yellow and a green ball,a yellow ball,yellow,green,blue,grey,Bad,Good,57|5|8|1|59|2|4|6|58|7|61|62|3|63|60|64,-29.288578033447266,-27.793949127197266,-29.288578033447266,-27.793949127197266
Martyetal_2023,Exp_1,Epistemic,34,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a green ball.,A-AC-AC,a blue ball,a blue ball and a yellow ball,a blue ball and a yellow ball,blue,green,yellow,grey,Bad,Good,63|57|61|6|2|3|62|60|4|5|59|64|1|7|58|8,-29.059452056884766,-27.693363189697266,-29.059452056884766,-27.693363189697266
Martyetal_2023,Exp_1,Epistemic,35,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a grey ball or a blue ball.,A-CD-C,a yellow and a green ball,a grey ball,a yellow ball,grey,blue,yellow,green,Bad,Good,8|64|4|63|5|58|1|61|3|7|6|60|57|2|62|59,-28.68164825439453,-27.77637481689453,-28.68164825439453,-27.77637481689453
Martyetal_2023,Exp_1,Epistemic,36,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,57|58|7|1|61|59|6|62|5|8|60|2|4|64|63|3,-29.265111923217773,-27.2148494720459,-29.265111923217773,-27.2148494720459
Martyetal_2023,Exp_1,Epistemic,37,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a blue ball.,A-AB-B,a green ball,a green ball and a blue ball,a blue ball,green,blue,grey,yellow,Bad,Good,2|61|63|8|62|58|6|4|64|7|59|3|60|1|5|57,-29.375431060791016,-27.903324127197266,-29.375431060791016,-27.903324127197266
Martyetal_2023,Exp_1,Epistemic,38,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a yellow ball.,A-AC-AC,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,yellow,grey,green,Bad,Good,58|8|3|5|60|2|4|57|1|7|59|64|63|6|62|61,-28.5004940032959,-27.4707088470459,-28.5004940032959,-27.4707088470459
Martyetal_2023,Exp_1,Epistemic,39,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,57|60|61|4|3|64|63|2|58|62|6|59|5|1|7|8,-29.311405181884766,-27.694339752197266,-29.311405181884766,-27.694339752197266
Martyetal_2023,Exp_1,Epistemic,40,Test,Block_A,Nominal,Control_1,Good,Sam,Every visible box contains a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,59|1|57|63|60|5|61|2|58|62|4|64|6|8|3|7,-29.17108726501465,-27.9892635345459,-29.17108726501465,-27.9892635345459
Martyetal_2023,Exp_1,Epistemic,41,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a blue ball or a green ball.,A-CD-A,a blue ball,a grey ball and a yellow ball,a blue ball,blue,green,grey,yellow,Bad,Good,7|57|3|6|59|58|64|1|63|8|5|4|61|2|62|60,-29.80908966064453,-27.88379669189453,-29.80908966064453,-27.88379669189453
