Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_3,9,Test,Test,Good,Sam,`The mystery box contains a grey ball or a green ball.',A-AA-B,a green ball,a green ball and a green ball,a grey ball,green,grey,yellow,blue,Bad,Good,7|3|6|8|4|5|1|2,-2.7956340312957764,-2.7750439643859863,-5.591268062591553,-5.550087928771973
Deganoetal_2024,Exp_3,10,Test,Control_4,Bad,Sam,`The mystery box does not contain a grey ball or a blue ball.',A-CD-B,a green ball and a yellow ball,a grey ball,a blue ball,grey,blue,green,yellow,Bad,Good,2|3|6|8|5|1|7|4,-2.4289426803588867,-3.061943531036377,-4.857885360717773,-6.123887062072754
Deganoetal_2024,Exp_3,11,Test,Test,Good-Excl,Mia,`The mystery box contains a yellow ball or a grey ball.',A-AB-B,a yellow ball,a grey ball and a yellow ball,a grey ball,grey,yellow,green,blue,Bad,Good,4|3|7|1|8|6|5|2,-2.401714324951172,-2.87150502204895,-4.803428649902344,-5.7430100440979
Deganoetal_2024,Exp_3,12,Test,Test,Target_1,Mia,`The mystery box contains a grey ball or a green ball.',A-AB-AB,a green ball and a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,4|3|1|8|7|2|5|6,-2.4840474128723145,-2.748979091644287,-4.968094825744629,-5.497958183288574
Deganoetal_2024,Exp_3,13,Test,Control_4,Good,Sam,`The mystery box does not contain a blue ball or a grey ball.',C-CD-C,a yellow ball,a yellow ball,a yellow and a green ball,blue,grey,yellow,green,Bad,Good,6|3|7|4|2|8|5|1,-2.3550639152526855,-3.10530948638916,-4.710127830505371,-6.21061897277832
Deganoetal_2024,Exp_3,14,Test,Control_1,Bad,Sam,`The mystery box contains a green ball.',A-CD-C,a green ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,5|2|1|3|6|4|7|8,-2.468820571899414,-2.777200222015381,-4.937641143798828,-5.554400444030762
Deganoetal_2024,Exp_3,15,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a grey ball.',A-AA-A,a grey ball,a grey ball and a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,8|3|4|5|7|1|6|2,-2.4656636714935303,-2.809678316116333,-4.9313273429870605,-5.619356632232666
Deganoetal_2024,Exp_3,16,Test,Control_3,Good,Sam,`The mystery box contains a grey ball and a green ball.',AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,blue,yellow,Bad,Good,5|7|8|4|1|3|6|2,-2.892643928527832,-2.6369309425354004,-5.785287857055664,-5.273861885070801
Deganoetal_2024,Exp_3,17,Test,Control_2,Good,Mia,`The mystery box does not contain a blue ball.',C-CD-C,a green ball,a green ball and a yellow ball,a green ball,blue,grey,green,yellow,Bad,Good,2|6|7|8|5|4|1|3,-2.3795902729034424,-2.9492642879486084,-4.759180545806885,-5.898528575897217
Deganoetal_2024,Exp_3,18,Test,Control_4,Bad,Mia,`The mystery box does not contain a blue ball or a grey ball.',A-CD-B,a blue ball,a grey ball,a green ball and a yellow ball,blue,grey,green,yellow,Bad,Good,7|1|3|5|4|2|8|6,-2.8351964950561523,-2.7011616230010986,-5.670392990112305,-5.402323246002197
Deganoetal_2024,Exp_3,19,Test,Test,Good-Excl,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,blue,green,Bad,Good,4|6|1|3|5|8|7|2,-2.4142544269561768,-2.8895983695983887,-4.8285088539123535,-5.779196739196777
Deganoetal_2024,Exp_3,20,Test,Control_3,Good,Mia,`The mystery box contains a grey ball and a green ball.',AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,blue,yellow,Bad,Good,1|5|3|6|7|2|8|4,-2.5450141429901123,-2.668748378753662,-5.090028285980225,-5.337496757507324
Deganoetal_2024,Exp_3,21,Test,Control_1,Bad,Mia,`The mystery box contains a blue ball.',A-CD-C,a yellow and a green ball,a yellow ball,a blue ball,blue,grey,yellow,green,Bad,Good,3|8|1|7|4|6|5|2,-2.369541883468628,-2.8299176692962646,-4.739083766937256,-5.659835338592529
Deganoetal_2024,Exp_3,22,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AB-A,a yellow ball,a yellow ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,4|6|8|7|1|3|2|5,-2.7369754314422607,-2.692167043685913,-5.4739508628845215,-5.384334087371826
Deganoetal_2024,Exp_3,23,Test,Test,Good-Excl,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-B,a yellow ball and a grey ball,a grey ball,a yellow ball,yellow,grey,green,blue,Bad,Good,8|1|3|4|6|7|2|5,-2.718302011489868,-2.7581305503845215,-5.436604022979736,-5.516261100769043
Deganoetal_2024,Exp_3,24,Test,Test,Bad,Mia,`The mystery box contains a green ball or a blue ball.',A-CD-B,a green ball,a grey ball and a yellow ball,a blue ball,blue,green,grey,yellow,Bad,Good,7|5|2|3|6|1|8|4,-2.8293662071228027,-2.630974769592285,-5.6587324142456055,-5.26194953918457
Deganoetal_2024,Exp_3,25,Test,Control_2,Bad,Mia,`The mystery box does not contain a blue ball.',A-CD-A,a blue ball,a blue ball,a grey ball and a green ball,blue,yellow,grey,green,Bad,Good,7|8|4|5|3|2|6|1,-2.719836950302124,-2.759834051132202,-5.439673900604248,-5.519668102264404
Deganoetal_2024,Exp_3,26,Test,Control_1,Good,Sam,`The mystery box contains a blue ball.',A-A-A,a blue ball,a blue ball,a blue ball,blue,grey,green,yellow,Bad,Good,1|4|8|6|3|7|2|5,-2.3297746181488037,-3.0657296180725098,-4.659549236297607,-6.1314592361450195
Deganoetal_2024,Exp_3,27,Test,Test,Target_1,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,green,blue,Bad,Good,6|1|3|5|8|7|2|4,-2.4058446884155273,-2.846663236618042,-4.811689376831055,-5.693326473236084
