Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_2,Deontic,9,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a yellow ball or a green ball.,A-CD-C,a grey ball and a blue ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,61|1|8|63|5|60|2|57|64|7|58|3|59|4|6|62,-0.8746735453605652,-0.5621735453605652,-0.8746735453605652,-0.5621735453605652
Martyetal_2023,Exp_2,Deontic,10,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a green ball or a grey ball.,A-CD-A,a green ball,a yellow ball and a blue ball,a green ball,green,grey,yellow,blue,Bad,Good,59|5|1|3|8|61|4|62|63|57|7|2|58|64|60|6,-0.8438636064529419,-0.5782386064529419,-0.8438636064529419,-0.5782386064529419
Martyetal_2023,Exp_2,Deontic,11,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a yellow ball or a grey ball.,A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,green,blue,Bad,Good,61|59|5|57|2|8|7|3|1|63|64|6|60|4|58|62,-0.8554646372795105,-0.5742146372795105,-0.8554646372795105,-0.5742146372795105
Martyetal_2023,Exp_2,Deontic,12,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a green ball or a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,yellow,blue,Bad,Good,58|8|63|2|4|1|64|59|62|7|60|3|61|57|5|6,-0.7875224351882935,-0.6468974351882935,-0.7875224351882935,-0.6468974351882935
Martyetal_2023,Exp_2,Deontic,13,Test,Block_A,Nominal,Test,Target_2,Sam,Every box contains a grey ball or a green ball.,A-AC-AC,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball,grey,green,yellow,blue,Bad,Good,63|6|3|62|64|5|7|2|1|57|4|58|60|8|59|61,-0.8819025754928589,-0.5694025754928589,-0.8819025754928589,-0.5694025754928589
Martyetal_2023,Exp_2,Deontic,14,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a green ball or a blue ball.,A-CD-C,a grey ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,3|4|60|57|2|62|63|1|6|5|59|7|58|61|8|64,-0.8946213722229004,-0.5664963722229004,-0.8946213722229004,-0.5664963722229004
Martyetal_2023,Exp_2,Deontic,15,Test,Block_A,Nominal,Control_2,Good,Mia,Every box contains a grey ball and a yellow ball.,AB-AB-AB,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball and a yellow ball,grey,yellow,blue,green,Bad,Good,5|4|7|6|63|8|61|64|62|2|1|57|60|3|59|58,-0.7958523631095886,-0.6239773631095886,-0.7958523631095886,-0.6239773631095886
Martyetal_2023,Exp_2,Deontic,16,Test,Block_A,Nominal,Control_4,Good,Mia,No box contains a blue ball or a yellow ball.,C-CD-C,a green ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,1|2|64|7|5|4|3|58|61|59|60|57|62|63|8|6,-0.6603182554244995,-0.7540682554244995,-0.6603182554244995,-0.7540682554244995
Martyetal_2023,Exp_2,Deontic,17,Test,Block_A,Nominal,Control_2,Bad,Mia,Every box contains a grey ball and a green ball.,AB-CD-C,a grey ball and a green ball,a blue ball,a blue ball and a yellow ball,grey,green,blue,yellow,Bad,Good,60|7|5|64|2|63|59|61|8|57|1|3|62|6|58|4,-0.9745281934738159,-0.4901531934738159,-0.9745281934738159,-0.4901531934738159
Martyetal_2023,Exp_2,Deontic,18,Test,Block_A,Nominal,Control_3,Bad,Mia,No box contains a grey ball.,A-CD-A,a yellow ball and a blue ball,a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,1|2|58|5|7|6|4|60|63|3|8|57|64|62|59|61,-0.8505098819732666,-0.6005098819732666,-0.8505098819732666,-0.6005098819732666
