Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2
Martyetal_2022,Exp_4,1,Training,High,NA,NA,Bad,Sam,It is certain that the mystery box contains a yellow ball.,A-D-A,a yellow ball,a blue ball,a yellow ball,yellow,grey,green,blue,Bad,Good
Martyetal_2022,Exp_4,2,Training,High,NA,NA,Bad,Sam,It is certain that the mystery box contains both a green ball and a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,yellow,blue,Bad,Good
Martyetal_2022,Exp_4,3,Training,High,NA,NA,Bad,Mia,It is not possible that the mystery box contains either a green ball or a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good
Martyetal_2022,Exp_4,4,Training,High,NA,NA,Bad,Mia,It is certain that the mystery box contains a grey ball.,A-D-A,a grey ball,a green ball,a grey ball,grey,blue,yellow,green,Bad,Good
Martyetal_2022,Exp_4,5,Training,High,NA,NA,Bad,Mia,It is not possible that the mystery box contains either a yellow ball or a grey ball.,A-C-B,a yellow ball,a blue ball,a grey ball,yellow,grey,blue,green,Bad,Good
Martyetal_2022,Exp_4,6,Training,High,NA,NA,Bad,Sam,It is certain that the mystery box contains both a yellow ball and a blue ball.,A-AB-B,a yellow ball,a yellow ball and a blue ball,a blue ball,yellow,blue,green,grey,Bad,Good
Martyetal_2022,Exp_4,7,Training,High,NA,NA,Good,Sam,It is certain that the mystery box contains both a blue ball and a green ball.,AB-AB-AB,a blue ball and a green ball,a blue ball and a green ball,a blue ball and a green ball,blue,green,grey,yellow,Bad,Good
Martyetal_2022,Exp_4,8,Training,High,NA,NA,Bad,Sam,It is certain that the mystery box contains both a grey ball and a green ball.,A-AB-B,a grey ball,a grey ball and a green ball,a green ball,grey,green,blue,yellow,Bad,Good
Martyetal_2022,Exp_4,9,Training,High,NA,NA,Good,Mia,It is certain that the mystery box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,blue,grey,Bad,Good
Martyetal_2022,Exp_4,10,Training,High,NA,NA,Good,Sam,It is not possible that the mystery box contains a grey ball.,D-D-D,a green ball,a green ball,a green ball,grey,yellow,blue,green,Bad,Good
