Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad,model,chosen_response_llh,chosen_response,norm_factor,prob_good,prob_bad
Deganoetal_2024,Exp_1,9,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-A,a blue ball,a blue ball and a grey ball,a blue ball,blue,grey,green,yellow,Bad,Good,4|7|5|8|6|2|1|3,-0.5901261568069458,-1.6213761568069458,-0.5901261568069458,-1.6213761568069458,Llama-2-70b-hf,-0.5901261568069458,good,0.7518839037321663,0.7371581626286834,0.2628418373713166
Deganoetal_2024,Exp_1,10,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a blue ball.',A-AC-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,blue,grey,green,Bad,Good,2|5|7|6|8|4|1|3,-1.076038479804993,-0.7479134798049927,-1.076038479804993,-0.7479134798049927,Llama-2-70b-hf,-0.7479134798049927,bad,0.8142966924934443,0.4186969093556866,0.5813030906443133
Deganoetal_2024,Exp_1,11,Test,Test,Target_2,Mia,`The mystery box contains a grey ball or a blue ball.',A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good,3|5|6|8|2|4|7|1,-0.7888196110725403,-0.9919446110725404,-0.7888196110725403,-0.9919446110725404,Llama-2-70b-hf,-0.7888196110725403,good,0.8252356459331026,0.5506073655352404,0.44939263446475963
Deganoetal_2024,Exp_1,12,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a blue ball.',A-AC-AC,a green ball and a yellow ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good,4|7|3|1|8|5|6|2,-0.8802099823951721,-1.0833349227905271,-0.8802099823951721,-1.0833349227905271,Llama-2-70b-hf,-0.8802099823951721,good,0.7531607108469648,0.5506073507867328,0.44939264921326716
Deganoetal_2024,Exp_1,13,Test,Control_2,Bad,Mia,`The mystery box does not contain a yellow ball.',A-CD-A,a yellow ball,a yellow ball,a grey ball and a green ball,yellow,blue,grey,green,Bad,Good,2|7|6|8|1|3|4|5,-1.4725573062896729,-0.4413073658943176,-1.4725573062896729,-0.4413073658943176,Llama-2-70b-hf,-0.4413073658943176,bad,0.8725332264790038,0.26284184892007467,0.7371581510799252
Deganoetal_2024,Exp_1,14,Test,Control_4,Bad,Sam,`The mystery box does not contain a grey ball or a blue ball.',A-CD-A,a grey ball,a yellow and a green ball,a grey ball,grey,blue,yellow,green,Bad,Good,2|7|5|1|8|3|6|4,-1.1160955429077148,-0.6317204833030701,-1.1160955429077148,-0.6317204833030701,Llama-2-70b-hf,-0.6317204833030701,bad,0.8592325038605505,0.38121955219593834,0.6187804478040617
Deganoetal_2024,Exp_1,15,Test,Control_1,Good,Sam,`The mystery box contains a grey ball.',A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,green,yellow,Bad,Good,8|3|1|5|6|4|7|2,-0.19782975316047668,-2.6665797233581543,-0.19782975316047668,-2.6665797233581543,Llama-2-70b-hf,-0.19782975316047668,good,0.8899990230085999,0.9219218327098192,0.0780781672901807
Deganoetal_2024,Exp_1,16,Test,Control_1,Good,Sam,`The mystery box contains a yellow ball.',A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,5|1|4|7|3|2|8|6,-0.4010176956653595,-2.869767665863037,-0.4010176956653595,-2.869767665863037,Llama-2-70b-hf,-0.4010176956653595,good,0.7263503124458108,0.9219218327098193,0.07807816729018072
Deganoetal_2024,Exp_1,17,Test,Test,Target_2,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AC-AD,a blue ball and a grey ball,a blue ball,a blue ball and a green ball,blue,yellow,green,grey,Bad,Good,5|8|1|2|7|6|3|4,-0.9104568362236024,-1.019831895828247,-0.9104568362236024,-1.019831895828247,Llama-2-70b-hf,-0.9104568362236024,good,0.7629959411662419,0.5273165382362517,0.4726834617637482
Deganoetal_2024,Exp_1,18,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AB-B,a blue ball,a yellow ball,a blue ball and a yellow ball,blue,yellow,green,grey,Bad,Good,5|4|2|3|6|1|8|7,-0.5584825873374939,-1.824107646942139,-0.5584825873374939,-1.824107646942139,Llama-2-70b-hf,-0.5584825873374939,good,0.7334380530591009,0.7799929104825006,0.22000708951749928
