Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_6,25,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,6|16|15|13|21|7|19|22|11|5|2|4|12|8|3|24|10|20|14|18|23|9|1|17,-10.59375,-13.609375,-10.59375,-13.609375
Martyetal_2022,Exp_6,26,Test,Low,Positive,FC,Good,Sam,It is possible that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,19|13|8|3|22|5|9|11|24|6|7|23|10|1|18|17|20|16|14|12|15|4|2|21,-11.8671875,-13.3828125,-11.8671875,-13.3828125
Martyetal_2022,Exp_6,27,Test,Low,Positive,SI,Good,Mia,It is possible that the mystery box contains a green ball.,A-D-C,a green ball,a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,16|7|19|14|6|24|18|11|12|20|8|23|3|1|2|10|15|21|5|4|22|9|13|17,-10.2890625,-14.3828125,-10.2890625,-14.3828125
Martyetal_2022,Exp_6,28,Test,Low,Positive,DIST,Bad,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,23|5|3|21|13|11|4|1|16|17|12|18|24|2|20|9|22|19|8|15|7|10|14|6,-11.75,-13.421875,-11.75,-13.421875
Martyetal_2022,Exp_6,29,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a grey ball or it contains a blue ball.,D-C-D,a green ball,a yellow ball,a green ball,grey,blue,yellow,green,Bad,Good,14|5|16|12|7|1|10|20|21|15|24|13|11|23|9|8|19|3|17|6|4|22|2|18,-12.1328125,-13.484375,-12.1328125,-13.484375
Martyetal_2022,Exp_6,30,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a blue ball.,A-A-A,a green ball,a green ball,a green ball,green,blue,yellow,grey,Bad,Good,2|15|13|17|12|16|6|19|8|7|21|9|10|14|4|24|18|3|11|1|23|20|22|5,-11.21875,-14.1640625,-11.21875,-14.1640625
Martyetal_2022,Exp_6,31,Test,Low,Negative,DIST,Bad,Sam,It is certain that either the mystery box does not contain a blue ball or it does not contain a yellow ball.,A-AB-B,a blue ball,a blue ball and a yellow ball,a yellow ball,blue,yellow,green,grey,Bad,Good,14|9|12|7|10|1|16|20|13|17|2|15|8|22|24|5|4|3|11|18|19|6|23|21,-9.5390625,-13.3359375,-9.5390625,-13.3359375
Martyetal_2022,Exp_6,32,Test,Low,Negative,DIST,Good,Mia,It is certain that either the mystery box does not contain a green ball or it does not contain a blue ball.,A-B-A,a green ball,a blue ball,a green ball,green,blue,yellow,grey,Bad,Good,7|8|9|16|12|5|18|1|2|24|21|22|23|14|11|20|13|4|3|17|10|6|19|15,-10.3203125,-12.90625,-10.3203125,-12.90625
Martyetal_2022,Exp_6,33,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a blue ball or it contains a yellow ball.,D-C-D,a grey ball,a green ball,a grey ball,blue,yellow,green,grey,Bad,Good,3|17|19|9|16|1|4|10|21|8|11|22|15|2|12|14|5|23|7|6|24|20|13|18,-11.6328125,-13.6328125,-11.6328125,-13.6328125
Martyetal_2022,Exp_6,34,Test,Low,Negative,II,Good,Mia,Either the mystery box does not contain a grey ball or it does not contain a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,14|16|22|20|11|5|4|1|18|17|2|3|8|9|23|6|24|12|19|13|10|21|15|7,-11.3359375,-12.6640625,-11.3359375,-12.6640625
Martyetal_2022,Exp_6,35,Test,Low,Positive,DIST,Target,Mia,It is certain that either the mystery box contains a yellow ball or it contains a blue ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,blue,green,grey,Bad,Good,4|13|11|5|8|21|22|24|1|3|16|9|10|7|12|18|19|20|14|23|17|15|6|2,-11.6953125,-12.8671875,-11.6953125,-12.8671875
Martyetal_2022,Exp_6,36,Test,Low,Negative,DIST,Target,Sam,It is certain that either the mystery box does not contain a yellow ball or it does not contain a green ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,blue,grey,Bad,Good,6|21|10|14|2|7|15|17|18|13|8|16|4|20|9|12|3|23|1|24|22|5|11|19,-11.546875,-13.7421875,-11.546875,-13.7421875
Martyetal_2022,Exp_6,37,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a blue ball or it contains a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,grey,yellow,Bad,Good,12|9|6|1|7|18|11|4|19|13|23|21|3|17|14|8|5|16|10|22|20|24|2|15,-11.0703125,-13.625,-11.0703125,-13.625
Martyetal_2022,Exp_6,38,Test,Low,Positive,SI,Bad,Sam,It is possible that the mystery box contains a yellow ball.,D-D-D,a blue ball,a blue ball,a blue ball,yellow,green,grey,blue,Bad,Good,3|16|11|7|21|13|8|5|19|10|15|20|24|17|22|9|4|23|2|18|1|6|14|12,-10.1640625,-13.390625,-10.1640625,-13.390625
Martyetal_2022,Exp_6,39,Test,Low,Negative,II,Bad,Mia,Either the mystery box does not contain a green ball or it does not contain a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,1|18|22|7|13|20|9|2|19|3|5|17|14|11|4|24|23|6|8|16|12|21|15|10,-9.3828125,-13.8203125,-9.3828125,-13.8203125
Martyetal_2022,Exp_6,40,Test,Low,Positive,SI,Bad,Sam,It is possible that the mystery box contains a blue ball.,D-D-D,a green ball,a green ball,a green ball,blue,grey,yellow,green,Bad,Good,10|20|21|9|6|1|2|7|17|16|11|23|22|19|8|18|5|15|3|13|24|4|12|14,-9.6328125,-13.0546875,-9.6328125,-13.0546875
Martyetal_2022,Exp_6,41,Test,Low,Positive,DIST,Target,Mia,It is certain that either the mystery box contains a blue ball or it contains a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,grey,yellow,Bad,Good,4|22|18|15|19|21|7|11|12|1|16|6|2|23|13|3|17|9|20|5|24|14|8|10,-12.25,-13.4765625,-12.25,-13.4765625
Martyetal_2022,Exp_6,42,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a yellow ball.,A-A-A,a green ball,a green ball,a green ball,green,yellow,grey,blue,Bad,Good,18|11|17|3|1|2|6|10|19|20|14|24|21|22|16|4|9|7|12|8|15|13|23|5,-10.4453125,-13.1484375,-10.4453125,-13.1484375
Martyetal_2022,Exp_6,43,Test,Low,Positive,II,Good,Mia,Either the mystery box contains a green ball or it contains a grey ball.,A-B-A,a green ball,a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,18|10|20|19|12|17|6|8|7|3|14|16|24|9|23|4|22|5|2|21|15|1|13|11,-11.0078125,-13.140625,-11.0078125,-13.140625
Martyetal_2022,Exp_6,44,Test,Low,Negative,FC,Target,Sam,It is possible that either the mystery box does not contain a yellow ball or it does not contain a blue ball.,A-AB-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,16|13|19|20|24|17|5|1|14|8|7|10|18|22|9|4|3|23|2|11|12|6|21|15,-9.703125,-13.0,-9.703125,-13.0
Martyetal_2022,Exp_6,45,Test,Low,Positive,DIST,Good,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-AB-B,a green ball,a green ball and a yellow ball,a yellow ball,green,yellow,grey,blue,Bad,Good,7|1|11|20|10|6|16|3|23|14|4|9|2|19|13|17|15|21|24|8|18|12|22|5,-11.40625,-12.8359375,-11.40625,-12.8359375
Martyetal_2022,Exp_6,46,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,blue,grey,green,Bad,Good,8|19|18|21|9|13|4|10|7|17|20|5|22|3|24|12|23|6|2|1|16|15|14|11,-10.1953125,-13.453125,-10.1953125,-13.453125
Martyetal_2022,Exp_6,47,Test,Low,Positive,SI,Target,Sam,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,yellow,blue,Bad,Good,13|8|17|23|4|12|5|22|15|10|20|3|19|6|7|16|2|24|18|21|9|11|1|14,-10.3203125,-12.84375,-10.3203125,-12.84375
Martyetal_2022,Exp_6,48,Test,Low,Negative,II,Target,Sam,Either the mystery box does not contain a yellow ball or it does not contain a grey ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,22|5|13|18|9|4|16|6|15|7|14|24|19|12|8|2|17|20|1|21|11|10|23|3,-11.828125,-13.0078125,-11.828125,-13.0078125
Martyetal_2022,Exp_6,49,Test,Low,Positive,II,Bad,Sam,Either the mystery box contains a green ball or it contains a yellow ball.,D-C-D,a blue ball,a grey ball,a blue ball,green,yellow,grey,blue,Bad,Good,16|14|10|3|8|9|12|18|13|24|1|20|6|2|11|7|23|22|17|5|21|19|4|15,-10.1875,-14.171875,-10.1875,-14.171875
Martyetal_2022,Exp_6,50,Test,Low,Negative,DIST,Bad,Sam,It is certain that either the mystery box does not contain a blue ball or it does not contain a green ball.,A-AB-B,a blue ball,a blue ball and a green ball,a green ball,blue,green,yellow,grey,Bad,Good,6|14|22|24|19|5|2|17|16|3|21|20|10|12|18|1|9|15|13|4|8|23|7|11,-9.25,-12.9375,-9.25,-12.9375
Martyetal_2022,Exp_6,51,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,grey,green,yellow,Bad,Good,21|24|18|13|20|9|15|17|1|7|5|2|10|3|19|11|6|4|14|16|12|22|23|8,-9.7578125,-13.2734375,-9.7578125,-13.2734375
Martyetal_2022,Exp_6,52,Test,Low,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a blue ball.,D-D-D,a green ball,a green ball,a green ball,blue,grey,yellow,green,Bad,Good,24|23|12|16|10|14|13|19|9|11|7|18|8|20|17|6|3|15|1|2|5|4|21|22,-10.0,-13.921875,-10.0,-13.921875
Martyetal_2022,Exp_6,53,Test,Low,Positive,FC,Bad,Mia,It is possible that either the mystery box contains a blue ball or it contains a grey ball.,D-C-D,a green ball,a yellow ball,a green ball,blue,grey,yellow,green,Bad,Good,6|4|13|16|12|22|24|5|14|8|7|21|15|10|1|2|18|19|17|11|9|3|23|20,-11.375,-13.2890625,-11.375,-13.2890625
Martyetal_2022,Exp_6,54,Test,Low,Positive,II,Good,Mia,Either the mystery box contains a green ball or it contains a blue ball.,A-B-A,a green ball,a blue ball,a green ball,green,blue,grey,yellow,Bad,Good,12|2|17|5|15|3|8|9|19|22|24|14|1|18|23|20|10|21|11|4|6|13|7|16,-10.6328125,-13.4609375,-10.6328125,-13.4609375
Martyetal_2022,Exp_6,55,Test,Low,Positive,FC,Good,Mia,It is possible that either the mystery box contains a grey ball or it contains a green ball.,A-C-B,a grey ball,a yellow ball,a green ball,grey,green,yellow,blue,Bad,Good,20|19|22|9|2|17|16|12|23|7|11|13|8|3|15|21|14|24|5|4|6|10|1|18,-11.5859375,-13.4140625,-11.5859375,-13.4140625
Martyetal_2022,Exp_6,56,Test,Low,Positive,DIST,Bad,Mia,It is certain that either the mystery box contains a yellow ball or it contains a green ball.,A-C-B,a yellow ball,a grey ball,a green ball,yellow,green,grey,blue,Bad,Good,9|5|2|19|6|13|15|3|7|11|14|16|4|10|20|23|17|12|1|18|22|24|8|21,-11.3671875,-13.1796875,-11.3671875,-13.1796875
