Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_5,25,Test,Intermediate,Negative,SI,Bad,Mia,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,2|14|9|10|11|3|12|5|24|22|23|15|4|7|1|13|18|6|17|20|16|8|19|21,-12.0543585,-0.016898457,-12.0543585,-0.016898457
Martyetal_2022,Exp_5,26,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a grey ball.,A-C-B,a blue ball,a green ball,a grey ball,blue,grey,green,yellow,Bad,Good,13|10|19|7|1|2|17|8|14|5|12|24|16|3|15|20|6|18|4|23|21|11|22|9,-0.21219973,-2.535764,-0.21219973,-2.535764
Martyetal_2022,Exp_5,27,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a yellow ball or a blue ball.,A-B-A,a yellow ball,a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,17|4|20|22|7|1|5|16|3|8|10|23|9|12|18|13|19|11|2|14|21|6|15|24,-0.048749734,-11.928885,-0.048749734,-11.928885
Martyetal_2022,Exp_5,28,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,9|18|20|21|13|7|8|14|17|16|5|2|24|3|23|1|4|22|12|19|11|10|6|15,-0.121893324,-2.2292118,-0.121893324,-2.2292118
Martyetal_2022,Exp_5,29,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,24|8|4|2|9|5|20|7|15|19|17|22|12|14|11|21|16|23|18|6|3|13|1|10,-0.41071033,-4.492317,-0.41071033,-4.492317
Martyetal_2022,Exp_5,30,Test,Intermediate,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a grey ball.,A-D-A,a grey ball,a blue ball,a grey ball,grey,green,yellow,blue,Bad,Good,17|11|21|19|20|13|16|24|14|8|6|9|1|22|7|12|15|5|23|18|2|3|10|4,-0.98487914,-0.8151054,-0.98487914,-0.8151054
Martyetal_2022,Exp_5,31,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,15|11|17|21|16|22|13|10|20|24|18|3|9|2|23|1|14|5|12|19|6|7|8|4,-0.13184434,-7.791744,-0.13184434,-7.791744
Martyetal_2022,Exp_5,32,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a yellow ball.,A-AB-B,a grey ball,a grey ball and a yellow ball,a yellow ball,grey,yellow,blue,green,Bad,Good,16|6|7|18|5|2|24|17|22|23|8|20|21|13|9|14|19|15|12|1|11|10|3|4,-0.32838804,-8.291132,-0.32838804,-8.291132
Martyetal_2022,Exp_5,33,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a blue ball.,A-D-C,a blue ball,a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,3|7|21|1|11|18|22|2|12|8|16|15|17|24|23|14|19|5|10|9|6|20|4|13,-0.23091684,-11.536794,-0.23091684,-11.536794
Martyetal_2022,Exp_5,34,Test,Intermediate,Positive,SI,Target,Mia,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,15|22|6|2|5|1|16|18|3|24|14|12|20|17|10|19|21|7|13|23|9|11|4|8,-0.33725345,-9.661604,-0.33725345,-9.661604
Martyetal_2022,Exp_5,35,Test,Intermediate,Positive,DIST,Target,Sam,It is certain that the mystery box contains either a grey ball or a yellow ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,yellow,green,blue,Bad,Good,6|3|7|8|10|5|14|15|11|12|19|1|9|16|4|21|23|20|18|17|13|2|24|22,-9.234306,-0.0114086615,-9.234306,-0.0114086615
Martyetal_2022,Exp_5,36,Test,Intermediate,Positive,II,Bad,Sam,The mystery box contains either a grey ball or a green ball.,D-C-D,a yellow ball,a blue ball,a yellow ball,grey,green,blue,yellow,Bad,Good,12|2|3|13|19|20|24|6|22|7|23|9|1|14|10|17|8|15|21|11|5|18|4|16,-12.70275,-0.020003008,-12.70275,-0.020003008
Martyetal_2022,Exp_5,37,Test,Intermediate,Negative,II,Bad,Mia,The mystery box does not contain both a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,12|15|6|21|4|17|18|1|19|13|16|2|22|3|7|10|14|9|23|11|24|8|20|5,-5.4564257,-0.03562262,-5.4564257,-0.03562262
Martyetal_2022,Exp_5,38,Test,Intermediate,Positive,SI,Bad,Sam,It is possible that the mystery box contains a green ball.,D-D-D,a yellow ball,a yellow ball,a yellow ball,green,blue,grey,yellow,Bad,Good,16|22|18|23|24|7|15|8|21|9|5|3|2|4|10|12|6|11|20|14|1|17|13|19,-12.193014,-0.014339312,-12.193014,-0.014339312
Martyetal_2022,Exp_5,39,Test,Intermediate,Positive,II,Target,Mia,The mystery box contains either a grey ball or a green ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,11|18|10|17|13|6|2|9|21|19|5|15|8|16|22|12|4|14|23|1|7|20|3|24,-3.6366184,-0.034206882,-3.6366184,-0.034206882
Martyetal_2022,Exp_5,40,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a blue ball.,D-D-D,a green ball,a green ball,a green ball,blue,yellow,grey,green,Bad,Good,18|24|14|9|5|8|19|12|4|3|20|23|16|10|6|15|7|1|11|13|17|2|22|21,-0.14956927,-6.766104,-0.14956927,-6.766104
Martyetal_2022,Exp_5,41,Test,Intermediate,Negative,DIST,Bad,Mia,It is certain that the mystery box does not contain both a blue ball and a green ball.,A-AB-B,a blue ball,a blue ball and a green ball,a green ball,blue,green,grey,yellow,Bad,Good,21|6|23|20|5|11|9|14|18|1|16|13|22|2|10|7|12|24|8|4|3|15|19|17,-0.4618386,-1.367761,-0.4618386,-1.367761
Martyetal_2022,Exp_5,42,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a grey ball,a grey ball,a grey ball,yellow,green,blue,grey,Bad,Good,14|5|4|9|21|6|22|10|7|15|12|8|13|11|20|16|24|3|18|2|1|23|17|19,-0.079799786,-8.500801,-0.079799786,-8.500801
Martyetal_2022,Exp_5,43,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a yellow ball.,A-C-B,a blue ball,a green ball,a yellow ball,blue,yellow,green,grey,Bad,Good,20|11|15|2|21|4|7|13|17|14|24|9|23|10|18|19|3|22|8|16|5|12|6|1,-0.15758173,-6.6867585,-0.15758173,-6.6867585
Martyetal_2022,Exp_5,44,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a yellow ball or a grey ball.,A-C-A,a yellow ball,a blue ball,a yellow ball,yellow,grey,blue,green,Bad,Good,7|19|8|10|4|12|21|9|5|16|6|23|2|13|14|11|24|3|15|20|22|17|18|1,-0.22182168,-5.8717318,-0.22182168,-5.8717318
Martyetal_2022,Exp_5,45,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good,9|10|18|7|8|17|3|14|20|5|4|1|12|6|19|11|24|2|23|21|22|13|15|16,-0.052208025,-4.86226,-0.052208025,-4.86226
Martyetal_2022,Exp_5,46,Test,Intermediate,Positive,FC,Bad,Mia,It is possible that the mystery box contains either a green ball or a grey ball.,D-C-D,a blue ball,a yellow ball,a blue ball,green,grey,yellow,blue,Bad,Good,1|22|5|13|9|11|8|7|18|23|19|20|4|12|10|21|16|24|15|2|14|3|6|17,-10.202878,-0.041625787,-10.202878,-0.041625787
Martyetal_2022,Exp_5,47,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a blue ball.,A-AB-B,a grey ball,a grey ball and a blue ball,a blue ball,grey,blue,green,yellow,Bad,Good,12|4|13|22|20|23|24|11|10|15|18|1|7|8|21|3|6|17|5|19|9|2|14|16,-0.22000308,-5.4794197,-0.22000308,-5.4794197
Martyetal_2022,Exp_5,48,Test,Intermediate,Negative,DIST,Good,Mia,It is certain that the mystery box does not contain both a green ball and a grey ball.,A-B-A,a green ball,a grey ball,a green ball,green,grey,yellow,blue,Bad,Good,18|2|23|21|15|3|4|13|7|10|9|17|22|16|6|14|20|11|1|5|12|8|24|19,-0.23940673,-5.544424,-0.23940673,-5.544424
Martyetal_2022,Exp_5,49,Test,Intermediate,Negative,II,Good,Mia,The mystery box does not contain both a blue ball and a yellow ball.,A-B-A,a blue ball,a yellow ball,a blue ball,blue,yellow,grey,green,Bad,Good,5|12|7|1|2|13|16|14|24|6|15|10|4|17|23|11|18|9|22|3|19|21|20|8,-0.15674496,-10.450587,-0.15674496,-10.450587
Martyetal_2022,Exp_5,50,Test,Intermediate,Positive,SI,Target,Sam,It is possible that the mystery box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,green,yellow,Bad,Good,11|23|18|4|22|8|20|13|5|19|9|10|1|17|6|15|2|7|3|14|12|16|21|24,-0.11326319,-7.140755,-0.11326319,-7.140755
Martyetal_2022,Exp_5,51,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a grey ball or a yellow ball.,A-B-A,a grey ball,a yellow ball,a grey ball,grey,yellow,blue,green,Bad,Good,10|19|13|9|8|14|5|3|23|6|2|15|11|21|22|16|24|20|12|18|4|7|17|1,-0.15773325,-10.182726,-0.15773325,-10.182726
Martyetal_2022,Exp_5,52,Test,Intermediate,Positive,FC,Bad,Sam,It is possible that the mystery box contains either a yellow ball or a blue ball.,D-C-D,a grey ball,a green ball,a grey ball,yellow,blue,green,grey,Bad,Good,23|7|6|10|19|1|2|4|9|13|14|11|24|16|3|5|15|12|18|8|20|22|17|21,-10.855628,-0.012667159,-10.855628,-0.012667159
