Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_2,Deontic,9,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a yellow ball or a green ball.,A-CD-C,a grey ball and a blue ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,5|59|1|61|57|60|8|6|58|62|64|3|63|4|7|2,-40.09601593017578,-17.50798797607422,-40.09601593017578,-17.50798797607422
Martyetal_2023,Exp_2,Deontic,10,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a green ball or a grey ball.,A-CD-A,a green ball,a yellow ball and a blue ball,a green ball,green,grey,yellow,blue,Bad,Good,1|60|64|7|4|63|5|58|6|57|62|61|2|8|59|3,-30.102659225463867,-22.980213165283203,-30.102659225463867,-22.980213165283203
Martyetal_2023,Exp_2,Deontic,11,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a yellow ball or a grey ball.,A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,green,blue,Bad,Good,60|3|6|5|8|59|64|7|62|57|4|2|61|1|58|63,-11.278040885925293,-26.34395408630371,-11.278040885925293,-26.34395408630371
Martyetal_2023,Exp_2,Deontic,12,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a green ball or a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,yellow,blue,Bad,Good,4|62|2|57|60|64|3|5|6|58|61|63|59|7|8|1,-14.157212257385254,-21.61338996887207,-14.157212257385254,-21.61338996887207
Martyetal_2023,Exp_2,Deontic,13,Test,Block_A,Nominal,Test,Target_2,Sam,Every box contains a grey ball or a green ball.,A-AC-AC,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball,grey,green,yellow,blue,Bad,Good,3|62|8|58|64|6|59|60|5|63|61|7|2|1|57|4,-16.21329689025879,-29.04082679748535,-16.21329689025879,-29.04082679748535
Martyetal_2023,Exp_2,Deontic,14,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a green ball or a blue ball.,A-CD-C,a grey ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,4|5|8|58|62|63|2|59|64|3|60|1|61|6|7|57,-30.785388946533203,-20.37032127380371,-30.785388946533203,-20.37032127380371
Martyetal_2023,Exp_2,Deontic,15,Test,Block_A,Nominal,Control_2,Good,Mia,Every box contains a grey ball and a yellow ball.,AB-AB-AB,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball and a yellow ball,grey,yellow,blue,green,Bad,Good,58|60|8|2|6|5|57|7|59|62|1|61|3|63|4|64,-12.156508445739746,-23.48150634765625,-12.156508445739746,-23.48150634765625
Martyetal_2023,Exp_2,Deontic,16,Test,Block_A,Nominal,Control_4,Good,Mia,No box contains a blue ball or a yellow ball.,C-CD-C,a green ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,61|58|64|60|7|59|5|6|3|57|63|2|8|1|4|62,-14.90523624420166,-19.252437591552734,-14.90523624420166,-19.252437591552734
Martyetal_2023,Exp_2,Deontic,17,Test,Block_A,Nominal,Control_2,Bad,Mia,Every box contains a grey ball and a green ball.,AB-CD-C,a grey ball and a green ball,a blue ball,a blue ball and a yellow ball,grey,green,blue,yellow,Bad,Good,6|4|5|3|2|63|61|62|1|8|57|64|58|7|60|59,-21.165178298950195,-22.381153106689453,-21.165178298950195,-22.381153106689453
Martyetal_2023,Exp_2,Deontic,18,Test,Block_A,Nominal,Control_3,Bad,Mia,No box contains a grey ball.,A-CD-A,a yellow ball and a blue ball,a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,2|61|8|6|58|1|4|59|5|3|57|64|63|62|7|60,-25.423696517944336,-20.402435302734375,-25.423696517944336,-20.402435302734375
Martyetal_2023,Exp_2,Deontic,19,Test,Block_A,Nominal,Control_1,Good,Sam,Every box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,59|5|4|1|3|7|57|8|64|61|62|60|2|6|58|63,-24.883995056152344,-18.033708572387695,-24.883995056152344,-18.033708572387695
Martyetal_2023,Exp_2,Deontic,20,Test,Block_A,Nominal,Control_2,Good,Sam,Every box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,2|63|1|62|5|58|59|57|4|61|6|8|7|64|60|3,-11.022672653198242,-30.94448471069336,-11.022672653198242,-30.94448471069336
Martyetal_2023,Exp_2,Deontic,21,Test,Block_A,Nominal,Control_4,Bad,Mia,No box contains a blue ball or a green ball.,A-CD-A,a blue ball,a blue ball,a grey ball and a yellow ball,blue,green,grey,yellow,Bad,Good,5|6|8|58|60|64|57|61|59|4|3|1|2|63|7|62,-19.244117736816406,-18.738624572753906,-19.244117736816406,-18.738624572753906
Martyetal_2023,Exp_2,Deontic,22,Test,Block_A,Nominal,Test,Target_2,Mia,Every box contains a yellow ball or a green ball.,A-AC-AD,a yellow ball,a yellow ball and a grey ball,a yellow ball and a blue ball,yellow,green,blue,grey,Bad,Good,57|63|1|60|3|4|6|61|8|5|62|59|2|7|58|64,-16.011768341064453,-23.81348419189453,-16.011768341064453,-23.81348419189453
Martyetal_2023,Exp_2,Deontic,23,Test,Block_A,Nominal,Test,Bad,Mia,Every box contains a green ball or a blue ball.,A-CD-C,a green ball,a grey ball and a yellow ball,a grey ball,green,blue,grey,yellow,Bad,Good,3|60|6|64|8|62|5|61|1|4|57|2|58|63|7|59,-19.285432815551758,-23.766448974609375,-19.285432815551758,-23.766448974609375
Martyetal_2023,Exp_2,Deontic,24,Test,Block_A,Nominal,Test,Good,Sam,Every box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball,a green ball and a grey ball,green,grey,blue,yellow,Bad,Good,61|7|59|57|64|58|63|8|6|1|3|4|5|2|62|60,-17.14654541015625,-22.79240608215332,-17.14654541015625,-22.79240608215332
Martyetal_2023,Exp_2,Deontic,25,Test,Block_A,Nominal,Control_1,Bad,Sam,Every box contains a blue ball.,A-CD-C,a blue ball,a yellow ball,a yellow ball and a grey ball,blue,green,yellow,grey,Bad,Good,59|64|58|5|61|63|3|7|4|62|60|57|6|8|2|1,-39.80690383911133,-15.133824348449707,-39.80690383911133,-15.133824348449707
Martyetal_2023,Exp_2,Deontic,26,Test,Block_A,Nominal,Control_2,Good,Sam,Every box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,60|3|62|64|2|57|58|63|4|6|7|59|1|61|5|8,-10.896471977233887,-26.032100677490234,-10.896471977233887,-26.032100677490234
Martyetal_2023,Exp_2,Deontic,27,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a grey ball or a blue ball.,A-CD-A,a yellow and a green ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,3|59|61|1|60|7|57|62|63|8|4|6|5|58|64|2,-21.338953018188477,-18.92072105407715,-21.338953018188477,-18.92072105407715
Martyetal_2023,Exp_2,Deontic,28,Test,Block_A,Nominal,Test,Target_1,Mia,Every box contains a blue ball or a grey ball.,A-AB-A,a blue ball,a blue ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,57|6|2|7|62|4|60|64|59|61|3|8|1|63|58|5,-21.2827205657959,-21.43305206298828,-21.2827205657959,-21.43305206298828
