Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_1,9,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-A,a blue ball,a blue ball and a grey ball,a blue ball,blue,grey,green,yellow,Bad,Good,1|5|3|6|7|2|8|4,-0.8527225852012634,-0.5870975852012634,-0.8527225852012634,-0.5870975852012634
Deganoetal_2024,Exp_1,10,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a blue ball.',A-AC-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,blue,grey,green,Bad,Good,2|5|8|3|1|4|6|7,-0.8860437870025635,-0.5579187870025635,-0.8860437870025635,-0.5579187870025635
Deganoetal_2024,Exp_1,11,Test,Test,Target_2,Mia,`The mystery box contains a grey ball or a blue ball.',A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good,6|2|3|1|7|5|8|4,-1.2168564796447754,-0.373106449842453,-1.2168564796447754,-0.373106449842453
Deganoetal_2024,Exp_1,12,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a blue ball.',A-AC-AC,a green ball and a yellow ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good,4|3|7|2|6|8|1|5,-1.1404573917388916,-0.4060823321342468,-1.1404573917388916,-0.4060823321342468
Deganoetal_2024,Exp_1,13,Test,Control_2,Bad,Mia,`The mystery box does not contain a yellow ball.',A-CD-A,a yellow ball,a yellow ball,a grey ball and a green ball,yellow,blue,grey,green,Bad,Good,5|8|3|1|6|7|2|4,-0.893172562122345,-0.596297562122345,-0.893172562122345,-0.596297562122345
Deganoetal_2024,Exp_1,14,Test,Control_4,Bad,Sam,`The mystery box does not contain a grey ball or a blue ball.',A-CD-A,a grey ball,a yellow and a green ball,a grey ball,grey,blue,yellow,green,Bad,Good,4|8|2|1|7|3|6|5,-0.7706547379493713,-0.6769047379493713,-0.7706547379493713,-0.6769047379493713
Deganoetal_2024,Exp_1,15,Test,Control_1,Good,Sam,`The mystery box contains a grey ball.',A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,green,yellow,Bad,Good,7|1|6|4|8|2|3|5,-0.5773711800575256,-0.8898711800575256,-0.5773711800575256,-0.8898711800575256
Deganoetal_2024,Exp_1,16,Test,Control_1,Good,Sam,`The mystery box contains a yellow ball.',A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,6|3|8|7|4|2|1|5,-0.5455480217933655,-1.0611729621887207,-0.5455480217933655,-1.0611729621887207
Deganoetal_2024,Exp_1,17,Test,Test,Target_2,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AC-AD,a blue ball and a grey ball,a blue ball,a blue ball and a green ball,blue,yellow,green,grey,Bad,Good,7|4|1|2|3|6|5|8,-1.4816702604293823,-0.2785452902317047,-1.4816702604293823,-0.2785452902317047
Deganoetal_2024,Exp_1,18,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AB-B,a blue ball,a yellow ball,a blue ball and a yellow ball,blue,yellow,green,grey,Bad,Good,8|4|2|3|1|5|6|7,-1.0133947134017944,-0.48214471340179443,-1.0133947134017944,-0.48214471340179443
Deganoetal_2024,Exp_1,19,Test,Test,Good,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AC-B,a yellow ball,a blue ball and a green ball,a blue ball,blue,yellow,green,grey,Bad,Good,8|6|1|4|2|3|5|7,-0.9927982687950134,-0.4927982687950134,-0.9927982687950134,-0.4927982687950134
Deganoetal_2024,Exp_1,20,Test,Test,Bad,Sam,`The mystery box contains a grey ball or a yellow ball.',A-CD-C,a grey ball,a green ball and a blue ball,a green ball,grey,yellow,green,blue,Bad,Good,5|6|3|1|8|7|2|4,-1.203183650970459,-0.3750586211681366,-1.203183650970459,-0.3750586211681366
Deganoetal_2024,Exp_1,21,Test,Control_4,Good,Mia,`The mystery box does not contain a blue ball or a yellow ball.',C-CD-C,a grey ball and a green ball,a grey ball,a grey ball,blue,yellow,grey,green,Bad,Good,2|3|1|6|8|7|4|5,-0.7848494052886963,-0.6910994052886963,-0.7848494052886963,-0.6910994052886963
Deganoetal_2024,Exp_1,22,Test,Test,Target_2,Sam,`The mystery box contains a blue ball or a grey ball.',A-AC-A,a blue ball,a blue ball,a blue ball and a green ball,blue,grey,green,yellow,Bad,Good,4|1|7|6|5|8|3|2,-1.1094517707824707,-0.4219517111778259,-1.1094517707824707,-0.4219517111778259
Deganoetal_2024,Exp_1,23,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-AB,a blue ball,a blue ball and a grey ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,8|7|3|1|2|4|5|6,-1.0374438762664795,-0.4593188166618347,-1.0374438762664795,-0.4593188166618347
Deganoetal_2024,Exp_1,24,Test,Control_2,Bad,Sam,`The mystery box does not contain a blue ball.',A-CD-A,a blue ball,a blue ball,a grey ball and a yellow ball,blue,green,grey,yellow,Bad,Good,1|8|2|4|7|3|5|6,-1.1374444961547852,-0.41869446635246277,-1.1374444961547852,-0.41869446635246277
Deganoetal_2024,Exp_1,25,Test,Control_3,Good,Mia,`The mystery box contains a yellow ball and a blue ball.',AB-AB-AB,a yellow ball and a blue ball,a yellow ball and a blue ball,a yellow ball and a blue ball,yellow,blue,green,grey,Bad,Good,1|6|3|5|7|4|2|8,-0.5179077982902527,-0.9866577982902527,-0.5179077982902527,-0.9866577982902527
Deganoetal_2024,Exp_1,26,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a green ball.',A-AB-AB,a blue ball and a green ball,a blue ball,a blue ball and a green ball,blue,green,yellow,grey,Bad,Good,5|1|4|7|2|8|3|6,-1.3531172275543213,-0.33749228715896606,-1.3531172275543213,-0.33749228715896606
Deganoetal_2024,Exp_1,27,Test,Test,Bad,Mia,`The mystery box contains a grey ball or a green ball.',A-CD-C,a blue ball and a yellow ball,a grey ball,a blue ball,grey,green,blue,yellow,Bad,Good,1|6|8|5|3|2|7|4,-1.5043416023254395,-0.26996666193008423,-1.5043416023254395,-0.26996666193008423
