Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_5,25,Test,Intermediate,Negative,SI,Bad,Mia,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,24|3|23|15|5|12|22|1|16|4|7|21|17|2|13|11|14|9|18|6|10|8|20|19,-28.125011444091797,-29.738780975341797,-28.125011444091797,-29.738780975341797
Martyetal_2022,Exp_5,26,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a grey ball.,A-C-B,a blue ball,a green ball,a grey ball,blue,grey,green,yellow,Bad,Good,20|4|18|22|21|2|9|13|16|17|7|8|10|14|24|19|23|15|11|6|12|5|1|3,-27.845718383789062,-28.008804321289062,-27.845718383789062,-28.008804321289062
Martyetal_2022,Exp_5,27,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a yellow ball or a blue ball.,A-B-A,a yellow ball,a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,13|5|9|3|8|6|12|10|20|15|2|14|19|18|24|17|23|4|11|1|21|22|16|7,-27.347675323486328,-27.577167510986328,-27.347675323486328,-27.577167510986328
Martyetal_2022,Exp_5,28,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,22|19|10|11|16|24|18|1|5|3|6|4|7|2|14|9|13|20|23|17|21|8|15|12,-27.97852897644043,-28.99415397644043,-27.97852897644043,-28.99415397644043
Martyetal_2022,Exp_5,29,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,12|19|7|21|11|18|6|15|4|22|8|2|9|10|14|24|1|16|20|3|5|13|17|23,-27.29688835144043,-28.91895866394043,-27.29688835144043,-28.91895866394043
Martyetal_2022,Exp_5,30,Test,Intermediate,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a grey ball.,A-D-A,a grey ball,a blue ball,a grey ball,grey,green,yellow,blue,Bad,Good,17|1|16|21|12|10|4|19|13|24|18|14|2|5|22|6|11|8|15|3|9|7|20|23,-28.078142166137695,-28.564470291137695,-28.078142166137695,-28.564470291137695
Martyetal_2022,Exp_5,31,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,10|3|24|19|14|2|20|13|12|5|22|21|18|15|9|11|17|8|16|6|23|4|7|1,-28.123056411743164,-29.326181411743164,-28.123056411743164,-29.326181411743164
Martyetal_2022,Exp_5,32,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a yellow ball.,A-AB-B,a grey ball,a grey ball and a yellow ball,a yellow ball,grey,yellow,blue,green,Bad,Good,5|24|22|18|6|3|11|8|16|23|20|7|2|13|9|4|12|21|10|15|1|14|17|19,-27.990243911743164,-29.197763442993164,-27.990243911743164,-29.197763442993164
Martyetal_2022,Exp_5,33,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a blue ball.,A-D-C,a blue ball,a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,2|11|13|16|14|19|7|1|20|4|10|17|24|22|12|9|23|15|18|3|6|5|21|8,-27.851572036743164,-29.181161880493164,-27.851572036743164,-29.181161880493164
Martyetal_2022,Exp_5,34,Test,Intermediate,Positive,SI,Target,Mia,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,14|18|16|2|17|21|9|4|22|24|6|11|12|3|15|19|23|13|5|8|20|10|7|1,-27.666025161743164,-29.406747817993164,-27.666025161743164,-29.406747817993164
Martyetal_2022,Exp_5,35,Test,Intermediate,Positive,DIST,Target,Sam,It is certain that the mystery box contains either a grey ball or a yellow ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,yellow,green,blue,Bad,Good,3|12|20|18|8|5|17|23|9|10|19|11|1|22|4|2|6|14|16|21|7|15|24|13,-27.828134536743164,-29.260751724243164,-27.828134536743164,-29.260751724243164
Martyetal_2022,Exp_5,36,Test,Intermediate,Positive,II,Bad,Sam,The mystery box contains either a grey ball or a green ball.,D-C-D,a yellow ball,a blue ball,a yellow ball,grey,green,blue,yellow,Bad,Good,15|21|7|24|13|23|2|16|5|8|18|20|17|19|6|1|22|3|14|4|11|9|12|10,-27.511734008789062,-28.122085571289062,-27.511734008789062,-28.122085571289062
Martyetal_2022,Exp_5,37,Test,Intermediate,Negative,II,Bad,Mia,The mystery box does not contain both a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,16|11|14|2|8|23|21|22|18|20|1|15|3|19|7|9|12|4|13|10|5|24|6|17,-27.38184928894043,-28.61817741394043,-27.38184928894043,-28.61817741394043
Martyetal_2022,Exp_5,38,Test,Intermediate,Positive,SI,Bad,Sam,It is possible that the mystery box contains a green ball.,D-D-D,a yellow ball,a yellow ball,a yellow ball,green,blue,grey,yellow,Bad,Good,16|9|24|23|22|2|17|11|14|15|1|3|19|8|18|21|20|4|7|13|12|5|10|6,-27.75002098083496,-27.40822410583496,-27.75002098083496,-27.40822410583496
Martyetal_2022,Exp_5,39,Test,Intermediate,Positive,II,Target,Mia,The mystery box contains either a grey ball or a green ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,4|12|1|21|6|24|14|23|3|19|5|2|13|15|10|22|18|17|16|11|8|20|7|9,-27.607437133789062,-28.635757446289062,-27.607437133789062,-28.635757446289062
Martyetal_2022,Exp_5,40,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a blue ball.,D-D-D,a green ball,a green ball,a green ball,blue,yellow,grey,green,Bad,Good,5|18|19|23|8|16|1|7|6|15|14|2|20|10|13|9|12|17|4|22|24|11|21|3,-28.17188835144043,-28.25782585144043,-28.17188835144043,-28.25782585144043
Martyetal_2022,Exp_5,41,Test,Intermediate,Negative,DIST,Bad,Mia,It is certain that the mystery box does not contain both a blue ball and a green ball.,A-AB-B,a blue ball,a blue ball and a green ball,a green ball,blue,green,grey,yellow,Bad,Good,4|6|9|22|15|18|7|11|17|19|10|5|21|16|2|13|12|23|14|3|24|8|20|1,-27.498064041137695,-27.949235916137695,-27.498064041137695,-27.949235916137695
Martyetal_2022,Exp_5,42,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a grey ball,a grey ball,a grey ball,yellow,green,blue,grey,Bad,Good,5|11|13|6|24|2|10|17|19|9|18|16|1|23|21|14|12|7|15|3|8|22|4|20,-28.117197036743164,-29.404794692993164,-28.117197036743164,-29.404794692993164
Martyetal_2022,Exp_5,43,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a yellow ball.,A-C-B,a blue ball,a green ball,a yellow ball,blue,yellow,green,grey,Bad,Good,19|14|4|8|21|23|24|18|22|9|3|11|1|10|5|12|6|2|17|16|7|20|15|13,-27.759782791137695,-27.928728103637695,-27.759782791137695,-27.928728103637695
Martyetal_2022,Exp_5,44,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a yellow ball or a grey ball.,A-C-A,a yellow ball,a blue ball,a yellow ball,yellow,grey,blue,green,Bad,Good,20|24|23|10|16|11|9|15|3|6|4|22|1|2|17|12|14|13|7|18|21|19|5|8,-27.96290397644043,-29.11085319519043,-27.96290397644043,-29.11085319519043
Martyetal_2022,Exp_5,45,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good,23|17|24|20|19|10|4|18|12|9|13|21|16|1|2|14|6|7|8|11|22|15|5|3,-27.25392723083496,-27.84865379333496,-27.25392723083496,-27.84865379333496
Martyetal_2022,Exp_5,46,Test,Intermediate,Positive,FC,Bad,Mia,It is possible that the mystery box contains either a green ball or a grey ball.,D-C-D,a blue ball,a yellow ball,a blue ball,green,grey,yellow,blue,Bad,Good,18|11|8|10|4|5|24|12|15|19|3|22|21|6|13|14|2|23|20|1|17|9|16|7,-28.02150535583496,-27.84377098083496,-28.02150535583496,-27.84377098083496
Martyetal_2022,Exp_5,47,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a blue ball.,A-AB-B,a grey ball,a grey ball and a blue ball,a blue ball,grey,blue,green,yellow,Bad,Good,8|5|16|24|14|7|4|22|20|9|12|1|17|3|18|15|11|2|10|23|13|6|19|21,-27.99415397644043,-28.01759147644043,-27.99415397644043,-28.01759147644043
Martyetal_2022,Exp_5,48,Test,Intermediate,Negative,DIST,Good,Mia,It is certain that the mystery box does not contain both a green ball and a grey ball.,A-B-A,a green ball,a grey ball,a green ball,green,grey,yellow,blue,Bad,Good,21|3|9|23|14|1|15|22|12|5|10|19|16|11|18|7|17|4|24|2|8|20|13|6,-27.81251335144043,-28.04005241394043,-27.81251335144043,-28.04005241394043
Martyetal_2022,Exp_5,49,Test,Intermediate,Negative,II,Good,Mia,The mystery box does not contain both a blue ball and a yellow ball.,A-B-A,a blue ball,a yellow ball,a blue ball,blue,yellow,grey,green,Bad,Good,21|5|4|23|15|24|10|8|2|13|11|19|17|6|12|16|9|18|3|7|1|14|20|22,-27.79689598083496,-27.84670066833496,-27.79689598083496,-27.84670066833496
Martyetal_2022,Exp_5,50,Test,Intermediate,Positive,SI,Target,Sam,It is possible that the mystery box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,green,yellow,Bad,Good,22|11|17|12|13|20|1|5|18|2|23|3|19|21|16|4|9|15|14|6|24|10|7|8,-27.44532012939453,-29.15625762939453,-27.44532012939453,-29.15625762939453
Martyetal_2022,Exp_5,51,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a grey ball or a yellow ball.,A-B-A,a grey ball,a yellow ball,a grey ball,grey,yellow,blue,green,Bad,Good,19|15|8|7|10|18|1|4|23|12|22|6|16|24|2|9|21|14|5|13|11|20|17|3,-27.52735710144043,-28.73243522644043,-27.52735710144043,-28.73243522644043
Martyetal_2022,Exp_5,52,Test,Intermediate,Positive,FC,Bad,Sam,It is possible that the mystery box contains either a yellow ball or a blue ball.,D-C-D,a grey ball,a green ball,a grey ball,yellow,blue,green,grey,Bad,Good,19|5|1|14|21|11|9|12|15|20|22|10|24|7|8|23|6|18|13|17|16|3|2|4,-27.97266960144043,-29.02931022644043,-27.97266960144043,-29.02931022644043
Martyetal_2022,Exp_5,53,Test,Intermediate,Negative,II,Target,Mia,The mystery box does not contain both a blue ball and a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,yellow,grey,Bad,Good,18|16|17|3|6|7|20|11|10|9|14|12|5|24|8|15|22|4|2|1|23|13|21|19,-28.023456573486328,-28.031269073486328,-28.023456573486328,-28.031269073486328
Martyetal_2022,Exp_5,54,Test,Intermediate,Positive,DIST,Good,Mia,It is certain that the mystery box contains either a grey ball or a blue ball.,A-AB-B,a grey ball,a grey ball and a blue ball,a blue ball,grey,blue,green,yellow,Bad,Good,18|16|24|10|1|13|8|3|4|15|6|12|20|22|17|2|21|11|23|19|7|14|9|5,-27.455093383789062,-28.053726196289062,-27.455093383789062,-28.053726196289062
Martyetal_2022,Exp_5,55,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a grey ball.,A-D-C,a grey ball,a yellow ball,a blue ball,grey,green,blue,yellow,Bad,Good,24|7|22|13|18|2|3|1|14|9|6|19|8|5|15|17|21|10|12|23|11|20|16|4,-27.722665786743164,-29.245615005493164,-27.722665786743164,-29.245615005493164
Martyetal_2022,Exp_5,56,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a grey ball.,A-C-B,a blue ball,a yellow ball,a grey ball,blue,grey,yellow,green,Bad,Good,2|22|3|23|16|12|20|8|19|21|24|6|10|11|5|14|4|17|9|15|7|1|18|13,-27.886730194091797,-29.068370819091797,-27.886730194091797,-29.068370819091797
Martyetal_2022,Exp_5,57,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a green ball and a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,blue,yellow,Bad,Good,16|20|1|24|15|9|21|13|17|19|8|4|14|22|6|3|2|11|10|12|18|7|5|23,-28.00977897644043,-28.03907585144043,-28.00977897644043,-28.03907585144043
Martyetal_2022,Exp_5,58,Test,Intermediate,Positive,II,Target,Mia,The mystery box contains either a green ball or a yellow ball.,A-A-A,a green ball,a green ball,a green ball,green,yellow,grey,blue,Bad,Good,5|8|15|10|20|12|3|24|23|22|17|7|6|9|21|11|13|1|18|4|19|2|16|14,-27.703140258789062,-28.849136352539062,-27.703140258789062,-28.849136352539062
Martyetal_2022,Exp_5,59,Test,Intermediate,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,grey,green,yellow,Bad,Good,3|17|16|15|23|18|7|19|14|1|8|11|12|24|9|4|13|20|2|22|10|5|6|21,-28.11329460144043,-28.44532585144043,-28.11329460144043,-28.44532585144043
Martyetal_2022,Exp_5,60,Test,Intermediate,Negative,SI,Bad,Mia,It is possible that the mystery box does not contain a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,4|24|13|5|1|16|14|11|18|6|22|12|7|19|10|2|23|17|8|21|9|3|15|20,-27.93751335144043,-29.61475944519043,-27.93751335144043,-29.61475944519043
Martyetal_2022,Exp_5,61,Test,Intermediate,Positive,DIST,Target,Mia,It is certain that the mystery box contains either a grey ball or a yellow ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,yellow,green,blue,Bad,Good,9|10|23|1|14|21|13|22|18|8|20|5|6|17|19|2|24|7|4|12|11|15|3|16,-27.777353286743164,-29.238290786743164,-27.777353286743164,-29.238290786743164
Martyetal_2022,Exp_5,62,Test,Intermediate,Negative,DIST,Target,Sam,It is certain that the mystery box does not contain both a yellow ball and a grey ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,3|20|23|5|21|9|15|10|8|11|2|16|14|24|17|1|18|6|19|4|12|22|7|13,-27.99024772644043,-28.00196647644043,-27.99024772644043,-28.00196647644043
Martyetal_2022,Exp_5,63,Test,Intermediate,Positive,SI,Bad,Mia,It is possible that the mystery box contains a yellow ball.,D-D-D,a grey ball,a grey ball,a grey ball,yellow,green,blue,grey,Bad,Good,19|7|8|13|11|3|22|4|12|17|20|14|24|6|9|23|5|21|1|2|15|16|18|10,-27.966815948486328,-28.036151885986328,-27.966815948486328,-28.036151885986328
Martyetal_2022,Exp_5,64,Test,Intermediate,Positive,FC,Good,Sam,It is possible that the mystery box contains either a blue ball or a yellow ball.,A-C-B,a blue ball,a green ball,a yellow ball,blue,yellow,green,grey,Bad,Good,21|5|6|1|11|3|18|24|9|22|7|4|10|12|23|2|20|14|17|8|16|13|15|19,-27.99024772644043,-29.03663444519043,-27.99024772644043,-29.03663444519043
Martyetal_2022,Exp_5,65,Test,Intermediate,Positive,DIST,Target,Mia,It is certain that the mystery box contains either a grey ball or a yellow ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,yellow,green,blue,Bad,Good,15|4|5|22|2|16|6|1|24|21|19|14|9|17|3|12|10|8|13|23|20|7|18|11,-27.777353286743164,-29.238290786743164,-27.777353286743164,-29.238290786743164
Martyetal_2022,Exp_5,66,Test,Intermediate,Negative,DIST,Bad,Sam,It is certain that the mystery box does not contain both a yellow ball and a blue ball.,A-AB-B,a yellow ball,a yellow ball and a blue ball,a blue ball,yellow,blue,green,grey,Bad,Good,21|6|10|3|15|13|5|1|11|9|2|20|19|7|8|23|22|14|4|17|18|12|16|24,-27.72852897644043,-27.72169303894043,-27.72852897644043,-27.72169303894043
Martyetal_2022,Exp_5,67,Test,Intermediate,Positive,FC,Good,Mia,It is possible that the mystery box contains either a blue ball or a green ball.,A-C-B,a blue ball,a grey ball,a green ball,blue,green,grey,yellow,Bad,Good,9|7|8|4|1|15|23|20|10|14|13|24|6|21|18|3|5|19|12|22|16|2|17|11,-27.929706573486328,-27.788105010986328,-27.929706573486328,-27.788105010986328
Martyetal_2022,Exp_5,68,Test,Intermediate,Positive,DIST,Good,Sam,It is certain that the mystery box contains either a blue ball or a grey ball.,A-AB-B,a blue ball,a blue ball and a grey ball,a grey ball,blue,grey,green,yellow,Bad,Good,16|14|19|2|8|21|15|9|22|24|6|17|10|23|20|12|13|7|4|3|18|5|11|1,-27.77344512939453,-29.08155059814453,-27.77344512939453,-29.08155059814453
Martyetal_2022,Exp_5,69,Test,Intermediate,Positive,SI,Bad,Mia,It is possible that the mystery box contains a blue ball.,D-D-D,a grey ball,a grey ball,a grey ball,blue,yellow,green,grey,Bad,Good,14|19|20|8|18|16|13|6|9|5|4|3|11|22|2|17|7|12|24|23|1|21|15|10,-27.955095291137695,-28.003923416137695,-27.955095291137695,-28.003923416137695
Martyetal_2022,Exp_5,70,Test,Intermediate,Negative,II,Target,Mia,The mystery box does not contain both a grey ball and a blue ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,22|2|3|9|1|10|24|7|23|14|15|6|18|17|5|16|19|4|21|12|20|13|8|11,-27.978532791137695,-28.034196853637695,-27.978532791137695,-28.034196853637695
Martyetal_2022,Exp_5,71,Test,Intermediate,Positive,DIST,Good,Sam,It is certain that the mystery box contains either a yellow ball or a green ball.,A-AB-B,a yellow ball,a yellow and a green ball,a green ball,yellow,green,blue,grey,Bad,Good,21|8|15|7|14|2|5|19|18|24|22|3|10|16|20|17|23|1|13|12|4|11|6|9,-27.804697036743164,-29.172372817993164,-27.804697036743164,-29.172372817993164
Martyetal_2022,Exp_5,72,Test,Intermediate,Negative,FC,Target,Sam,It is possible that the mystery box does not contain both a blue ball and a grey ball.,A-AB-A,a blue ball,a blue ball and a grey ball,a blue ball,blue,grey,yellow,green,Bad,Good,9|20|8|13|21|2|7|18|19|10|6|14|11|12|5|15|16|23|17|4|24|3|22|1,-28.068368911743164,-29.228525161743164,-28.068368911743164,-29.228525161743164
Martyetal_2022,Exp_5,73,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a grey ball or a green ball.,A-C-A,a grey ball,a blue ball,a grey ball,grey,green,blue,yellow,Bad,Good,9|5|11|20|18|17|4|12|16|19|3|24|23|10|13|22|6|7|14|1|15|21|8|2,-27.91798973083496,-27.64650535583496,-27.91798973083496,-27.64650535583496
Martyetal_2022,Exp_5,74,Test,Intermediate,Negative,FC,Target,Sam,It is possible that the mystery box does not contain both a green ball and a blue ball.,A-AB-A,a green ball,a green ball and a blue ball,a green ball,green,blue,grey,yellow,Bad,Good,23|19|22|13|7|15|20|21|18|10|1|9|2|4|6|24|3|8|5|14|17|16|11|12,-27.97462272644043,-28.01954460144043,-27.97462272644043,-28.01954460144043
Martyetal_2022,Exp_5,75,Test,Intermediate,Positive,SI,Target,Mia,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,blue,grey,yellow,Bad,Good,12|5|19|10|22|3|15|20|9|24|16|11|17|7|21|18|14|1|2|13|23|4|8|6,-27.58985710144043,-28.25196647644043,-27.58985710144043,-28.25196647644043
Martyetal_2022,Exp_5,76,Test,Intermediate,Negative,DIST,Good,Sam,It is certain that the mystery box does not contain both a grey ball and a yellow ball.,A-B-A,a grey ball,a yellow ball,a grey ball,grey,yellow,blue,green,Bad,Good,2|11|9|8|10|21|12|15|4|20|6|13|19|18|5|3|7|14|16|22|24|23|17|1,-27.911142349243164,-29.091806411743164,-27.911142349243164,-29.091806411743164
Martyetal_2022,Exp_5,77,Test,Intermediate,Positive,II,Target,Mia,The mystery box contains either a green ball or a grey ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,4|16|7|19|22|5|2|1|12|17|18|24|13|21|9|3|23|15|14|8|11|6|20|10,-27.644550323486328,-27.885761260986328,-27.644550323486328,-27.885761260986328
Martyetal_2022,Exp_5,78,Test,Intermediate,Positive,FC,Bad,Sam,It is possible that the mystery box contains either a green ball or a yellow ball.,D-C-D,a grey ball,a blue ball,a grey ball,green,yellow,blue,grey,Bad,Good,1|4|11|15|3|13|8|20|24|14|6|16|2|5|19|23|18|9|10|22|12|21|7|17,-27.908218383789062,-28.853530883789062,-27.908218383789062,-28.853530883789062
Martyetal_2022,Exp_5,79,Test,Intermediate,Positive,II,Good,Sam,The mystery box contains either a blue ball or a yellow ball.,A-B-A,a blue ball,a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,18|21|23|24|5|19|20|15|16|2|1|17|14|8|4|22|11|9|6|13|7|12|3|10,-27.466808319091797,-28.444347381591797,-27.466808319091797,-28.444347381591797
Martyetal_2022,Exp_5,80,Test,Intermediate,Positive,II,Bad,Mia,The mystery box contains either a yellow ball or a green ball.,D-C-D,a blue ball,a grey ball,a blue ball,yellow,green,grey,blue,Bad,Good,19|22|16|7|5|6|4|3|23|13|15|2|20|1|12|10|11|21|9|17|18|24|14|8,-27.655290603637695,-28.500017166137695,-27.655290603637695,-28.500017166137695
Martyetal_2022,Exp_5,81,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a yellow ball.,A-D-C,a yellow ball,a blue ball,a grey ball,yellow,green,grey,blue,Bad,Good,9|19|23|2|13|18|8|7|1|3|11|17|14|10|15|12|22|5|6|16|20|24|21|4,-27.531265258789062,-27.985366821289062,-27.531265258789062,-27.985366821289062
Martyetal_2022,Exp_5,82,Test,Intermediate,Negative,II,Target,Mia,The mystery box does not contain both a blue ball and a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,grey,yellow,Bad,Good,6|4|18|8|3|19|21|17|16|22|7|5|1|2|9|10|11|12|24|13|14|15|23|20,-28.06641960144043,-28.98829460144043,-28.06641960144043,-28.98829460144043
Martyetal_2022,Exp_5,83,Test,Intermediate,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a grey ball.,A-D-A,a grey ball,a blue ball,a grey ball,grey,green,yellow,blue,Bad,Good,7|13|8|22|19|16|18|2|14|6|15|11|12|1|3|24|21|5|4|20|10|9|23|17,-28.078142166137695,-28.564470291137695,-28.078142166137695,-28.564470291137695
Martyetal_2022,Exp_5,84,Test,Intermediate,Negative,FC,Target,Sam,It is possible that the mystery box does not contain both a yellow ball and a blue ball.,A-AB-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,blue,grey,green,Bad,Good,18|12|16|10|3|15|14|8|13|5|17|9|21|11|19|20|23|1|22|4|6|2|24|7,-27.93751335144043,-27.94923210144043,-27.93751335144043,-27.94923210144043
Martyetal_2022,Exp_5,85,Test,Intermediate,Negative,DIST,Bad,Sam,It is certain that the mystery box does not contain both a green ball and a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,blue,yellow,Bad,Good,5|15|20|14|16|3|11|21|22|4|12|17|2|6|1|9|19|24|8|13|10|18|7|23,-27.873056411743164,-28.997568130493164,-27.873056411743164,-28.997568130493164
Martyetal_2022,Exp_5,86,Test,Intermediate,Negative,DIST,Target,Sam,It is certain that the mystery box does not contain both a yellow ball and a green ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good,4|3|5|23|2|21|15|8|18|22|16|1|20|19|11|6|10|14|17|24|13|12|7|9,-28.027353286743164,-29.198251724243164,-28.027353286743164,-29.198251724243164
Martyetal_2022,Exp_5,87,Test,Intermediate,Negative,DIST,Good,Mia,It is certain that the mystery box does not contain both a blue ball and a green ball.,A-B-A,a blue ball,a green ball,a blue ball,blue,green,grey,yellow,Bad,Good,5|9|15|24|14|10|1|7|4|17|2|16|3|12|13|11|6|21|22|23|20|19|8|18,-27.901376724243164,-28.997568130493164,-27.901376724243164,-28.997568130493164
Martyetal_2022,Exp_5,88,Test,Intermediate,Positive,FC,Good,Sam,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-B,a grey ball,a yellow ball,a blue ball,grey,blue,yellow,green,Bad,Good,7|21|5|8|19|2|15|13|22|14|20|18|24|12|4|17|11|16|6|23|9|1|10|3,-27.927753448486328,-27.691425323486328,-27.927753448486328,-27.691425323486328
Martyetal_2022,Exp_5,89,Test,Intermediate,Negative,FC,Bad,Sam,It is possible that the mystery box does not contain both a grey ball and a blue ball.,AB-AB-AB,a grey ball and a blue ball,a grey ball and a blue ball,a grey ball and a blue ball,grey,blue,yellow,green,Bad,Good,23|17|7|11|16|4|19|24|3|13|18|22|5|1|20|2|10|8|21|12|14|9|6|15,-27.511728286743164,-29.069833755493164,-27.511728286743164,-29.069833755493164
Martyetal_2022,Exp_5,90,Test,Intermediate,Negative,DIST,Target,Mia,It is certain that the mystery box does not contain both a grey ball and a blue ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,1|15|16|10|18|5|9|2|14|17|19|3|8|7|23|4|20|21|6|24|13|12|11|22,-27.91700553894043,-28.12403678894043,-27.91700553894043,-28.12403678894043
Martyetal_2022,Exp_5,91,Test,Intermediate,Negative,II,Bad,Mia,The mystery box does not contain both a grey ball and a yellow ball.,AB-AB-AB,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball and a yellow ball,grey,yellow,blue,green,Bad,Good,19|21|17|18|9|3|6|12|8|2|5|13|16|14|7|20|22|4|10|1|24|11|15|23,-27.343765258789062,-28.538589477539062,-27.343765258789062,-28.538589477539062
