Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_5,25,Test,Intermediate,Negative,SI,Bad,Mia,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,8|10|17|15|19|9|16|24|2|13|7|5|18|1|6|3|23|20|4|11|12|21|22|14,-0.6989894509315491,-0.7146144509315491,-0.6989894509315491,-0.7146144509315491
Martyetal_2022,Exp_5,26,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a grey ball.,A-C-B,a blue ball,a green ball,a grey ball,blue,grey,green,yellow,Bad,Good,5|4|2|24|9|15|16|13|18|6|1|8|23|14|11|17|7|12|21|3|19|10|20|22,-0.7782421708106995,-0.6376171708106995,-0.7782421708106995,-0.6376171708106995
Martyetal_2022,Exp_5,27,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a yellow ball or a blue ball.,A-B-A,a yellow ball,a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,13|7|5|23|22|20|8|15|24|11|1|10|6|2|9|16|21|4|17|18|12|19|3|14,-1.0386178493499756,-0.46049290895462036,-1.0386178493499756,-0.46049290895462036
Martyetal_2022,Exp_5,28,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,7|4|21|9|24|18|13|10|17|22|6|8|15|16|11|12|2|5|23|19|1|3|14|20,-0.8745880722999573,-0.5620880722999573,-0.8745880722999573,-0.5620880722999573
Martyetal_2022,Exp_5,29,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,12|8|9|21|22|14|23|1|7|20|13|19|6|24|15|4|16|18|17|11|3|10|5|2,-0.957066535949707,-0.503941535949707,-0.957066535949707,-0.503941535949707
Martyetal_2022,Exp_5,30,Test,Intermediate,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a grey ball.,A-D-A,a grey ball,a blue ball,a grey ball,grey,green,yellow,blue,Bad,Good,13|21|3|19|24|9|16|10|6|7|22|2|4|15|11|5|8|18|14|12|20|17|1|23,-1.0423345565795898,-0.44858449697494507,-1.0423345565795898,-0.44858449697494507
Martyetal_2022,Exp_5,31,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,6|2|9|23|18|10|13|5|4|1|16|12|24|7|21|22|14|3|20|17|19|11|8|15,-0.7820868492126465,-0.6258368492126465,-0.7820868492126465,-0.6258368492126465
Martyetal_2022,Exp_5,32,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a yellow ball.,A-AB-B,a grey ball,a grey ball and a yellow ball,a yellow ball,grey,yellow,blue,green,Bad,Good,10|13|6|18|7|14|20|15|1|11|19|22|3|21|4|16|5|24|8|23|12|17|2|9,-0.9419838786125183,-0.5201088786125183,-0.9419838786125183,-0.5201088786125183
Martyetal_2022,Exp_5,33,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a blue ball.,A-D-C,a blue ball,a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,17|18|10|14|9|24|22|5|2|15|19|3|7|21|8|4|11|16|13|6|23|1|12|20,-0.8064332008361816,-0.6189332008361816,-0.8064332008361816,-0.6189332008361816
Martyetal_2022,Exp_5,34,Test,Intermediate,Positive,SI,Target,Mia,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,15|10|21|22|17|18|9|16|5|2|19|13|4|23|11|3|7|20|12|1|24|8|14|6,-1.0259509086608887,-0.46345096826553345,-1.0259509086608887,-0.46345096826553345
