Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_3,9,Test,Test,Good,Sam,`The mystery box contains a grey ball or a green ball.',A-AA-B,a green ball,a green ball and a green ball,a grey ball,green,grey,yellow,blue,Bad,Good,2|3|7|8|4|6|5|1,-4.150652885437012,-4.449104309082031,-12.451957702636719,-13.347312927246094
Deganoetal_2024,Exp_3,10,Test,Control_4,Bad,Sam,`The mystery box does not contain a grey ball or a blue ball.',A-CD-B,a green ball and a yellow ball,a grey ball,a blue ball,grey,blue,green,yellow,Bad,Good,5|6|3|8|7|2|4|1,-4.0390424728393555,-4.389926910400391,-12.11712646484375,-13.169780731201172
Deganoetal_2024,Exp_3,11,Test,Test,Good-Excl,Mia,`The mystery box contains a yellow ball or a grey ball.',A-AB-B,a yellow ball,a grey ball and a yellow ball,a grey ball,grey,yellow,green,blue,Bad,Good,8|2|3|6|5|1|4|7,-4.224081993103027,-4.588035583496094,-12.672245025634766,-13.764105796813965
Deganoetal_2024,Exp_3,12,Test,Test,Target_1,Mia,`The mystery box contains a grey ball or a green ball.',A-AB-AB,a green ball and a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,3|5|6|8|7|1|2|4,-4.070967674255371,-4.336068153381348,-12.212902069091797,-13.008203506469727
Deganoetal_2024,Exp_3,13,Test,Control_4,Good,Sam,`The mystery box does not contain a blue ball or a grey ball.',C-CD-C,a yellow ball,a yellow ball,a yellow and a green ball,blue,grey,yellow,green,Bad,Good,5|6|4|2|7|3|1|8,-4.236320495605469,-4.642570495605469,-12.708961486816406,-13.927711486816406
Deganoetal_2024,Exp_3,14,Test,Control_1,Bad,Sam,`The mystery box contains a green ball.',A-CD-C,a green ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,1|4|7|5|6|3|2|8,-4.244938850402832,-4.527018070220947,-12.734816551208496,-13.581053733825684
Deganoetal_2024,Exp_3,15,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a grey ball.',A-AA-A,a grey ball,a grey ball and a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,4|2|3|5|1|6|8|7,-4.270993232727051,-4.315392971038818,-12.812978744506836,-12.946178436279297
Deganoetal_2024,Exp_3,16,Test,Control_3,Good,Sam,`The mystery box contains a grey ball and a green ball.',AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,blue,yellow,Bad,Good,6|5|4|7|3|2|1|8,-4.103757858276367,-4.5204243659973145,-12.311272621154785,-13.561272621154785
Deganoetal_2024,Exp_3,17,Test,Control_2,Good,Mia,`The mystery box does not contain a blue ball.',C-CD-C,a green ball,a green ball and a yellow ball,a green ball,blue,grey,green,yellow,Bad,Good,2|3|7|5|4|8|1|6,-4.073729515075684,-4.270709991455078,-12.22118854522705,-12.812129974365234
Deganoetal_2024,Exp_3,18,Test,Control_4,Bad,Mia,`The mystery box does not contain a blue ball or a grey ball.',A-CD-B,a blue ball,a grey ball,a green ball and a yellow ball,blue,grey,green,yellow,Bad,Good,1|6|7|5|3|8|2|4,-4.0582170486450195,-4.303488254547119,-12.174651145935059,-12.9104642868042
Deganoetal_2024,Exp_3,19,Test,Test,Good-Excl,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,blue,green,Bad,Good,4|8|7|1|3|5|2|6,-4.0533270835876465,-4.339785575866699,-12.159980773925781,-13.019355773925781
Deganoetal_2024,Exp_3,20,Test,Control_3,Good,Mia,`The mystery box contains a grey ball and a green ball.',AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,blue,yellow,Bad,Good,2|6|7|8|1|5|3|4,-4.02365779876709,-4.36384391784668,-12.070972442626953,-13.091530799865723
Deganoetal_2024,Exp_3,21,Test,Control_1,Bad,Mia,`The mystery box contains a blue ball.',A-CD-C,a yellow and a green ball,a yellow ball,a blue ball,blue,grey,yellow,green,Bad,Good,4|8|5|3|2|6|1|7,-4.166009426116943,-4.280060768127441,-12.498027801513672,-12.840181350708008
Deganoetal_2024,Exp_3,22,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AB-A,a yellow ball,a yellow ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,6|7|2|4|3|8|1|5,-3.947599172592163,-4.0146284103393555,-11.84279727935791,-12.043885231018066
Deganoetal_2024,Exp_3,23,Test,Test,Good-Excl,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-B,a yellow ball and a grey ball,a grey ball,a yellow ball,yellow,grey,green,blue,Bad,Good,1|7|3|5|8|2|6|4,-4.13688850402832,-4.45620584487915,-12.410664558410645,-13.368617057800293
Deganoetal_2024,Exp_3,24,Test,Test,Bad,Mia,`The mystery box contains a green ball or a blue ball.',A-CD-B,a green ball,a grey ball and a yellow ball,a blue ball,blue,green,grey,yellow,Bad,Good,6|4|3|7|2|5|1|8,-4.174833297729492,-4.466855049133301,-12.524499893188477,-13.400564193725586
Deganoetal_2024,Exp_3,25,Test,Control_2,Bad,Mia,`The mystery box does not contain a blue ball.',A-CD-A,a blue ball,a blue ball,a grey ball and a green ball,blue,yellow,grey,green,Bad,Good,5|2|1|7|8|3|6|4,-4.1023054122924805,-4.3523054122924805,-12.306916236877441,-13.056916236877441
Deganoetal_2024,Exp_3,26,Test,Control_1,Good,Sam,`The mystery box contains a blue ball.',A-A-A,a blue ball,a blue ball,a blue ball,blue,grey,green,yellow,Bad,Good,5|1|3|7|8|2|4|6,-4.069453239440918,-4.564244747161865,-12.208358764648438,-13.692733764648438
Deganoetal_2024,Exp_3,27,Test,Test,Target_1,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,green,blue,Bad,Good,7|2|1|4|6|5|3|8,-4.1383376121521,-4.3445048332214355,-12.41501235961914,-13.033514022827148
Deganoetal_2024,Exp_3,28,Test,Test,Target_2,Mia,`The mystery box contains a grey ball or a green ball.',A-AA-AA,a green ball and a green ball,a green ball,a green ball and a green ball,green,grey,blue,yellow,Bad,Good,1|5|6|2|7|4|8|3,-4.110230445861816,-4.401896953582764,-12.330690383911133,-13.205690383911133
Deganoetal_2024,Exp_3,29,Test,Test,Good,Mia,`The mystery box contains a grey ball or a blue ball.',A-AA-B,a blue ball,a blue ball and a blue ball,a grey ball,blue,grey,green,yellow,Bad,Good,6|4|2|8|3|7|5|1,-4.092659950256348,-4.161550045013428,-12.277979850769043,-12.484649658203125
Deganoetal_2024,Exp_3,30,Test,Test,Target_1,Sam,`The mystery box contains a yellow ball or a green ball.',A-AB-AB,a green ball and a yellow ball,a green ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,8|4|7|5|6|2|1|3,-4.143792152404785,-4.35212516784668,-12.431375503540039,-13.056375503540039
Deganoetal_2024,Exp_3,31,Test,Control_1,Good,Sam,`The mystery box contains a blue ball.',A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,grey,green,Bad,Good,1|7|4|5|2|8|6|3,-4.1109843254089355,-4.5363616943359375,-12.332952499389648,-13.609085083007812
Deganoetal_2024,Exp_3,32,Test,Control_4,Bad,Sam,`The mystery box does not contain a blue ball or a grey ball.',A-CD-B,a blue ball,a yellow and a green ball,a grey ball,blue,grey,yellow,green,Bad,Good,6|1|3|8|7|2|4|5,-4.140997409820557,-4.376532554626465,-12.422991752624512,-13.129596710205078
Deganoetal_2024,Exp_3,33,Test,Control_2,Bad,Mia,`The mystery box does not contain a blue ball.',A-CD-A,a blue ball,a green ball and a yellow ball,a blue ball,blue,grey,green,yellow,Bad,Good,1|8|6|2|3|7|4|5,-4.3433380126953125,-4.347284317016602,-13.030013084411621,-13.041852951049805
Deganoetal_2024,Exp_3,34,Test,Test,Bad,Mia,`The mystery box contains a yellow ball or a grey ball.',A-CD-B,a yellow ball,a green ball and a blue ball,a grey ball,grey,yellow,green,blue,Bad,Good,4|2|5|8|6|1|3|7,-4.165112018585205,-4.463855743408203,-12.495335578918457,-13.391566276550293
Deganoetal_2024,Exp_3,35,Test,Test,Bad,Mia,`The mystery box contains a yellow ball or a blue ball.',A-CD-B,a grey ball and a green ball,a blue ball,a yellow ball,blue,yellow,grey,green,Bad,Good,7|5|2|3|1|6|8|4,-4.071681022644043,-4.191715240478516,-12.215042114257812,-12.575145721435547
Deganoetal_2024,Exp_3,36,Test,Control_2,Good,Mia,`The mystery box does not contain a blue ball.',C-CD-C,a green ball and a yellow ball,a green ball,a green ball,blue,grey,green,yellow,Bad,Good,2|8|7|3|5|4|6|1,-4.130587577819824,-4.462302207946777,-12.391761779785156,-13.386905670166016
Deganoetal_2024,Exp_3,37,Test,Control_4,Good,Sam,`The mystery box does not contain a green ball or a grey ball.',C-CD-C,a blue ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,6|5|4|7|2|8|3|1,-4.04876708984375,-4.544697284698486,-12.14630126953125,-13.6340913772583
Deganoetal_2024,Exp_3,38,Test,Control_3,Good,Sam,`The mystery box contains a blue ball and a grey ball.',AB-AB-AB,a blue ball and a grey ball,a blue ball and a grey ball,a blue ball and a grey ball,blue,grey,yellow,green,Bad,Good,8|6|1|4|2|5|3|7,-4.096056938171387,-4.507514953613281,-12.288169860839844,-13.522544860839844
Deganoetal_2024,Exp_3,39,Test,Test,Target_1,Sam,`The mystery box contains a grey ball or a blue ball.',A-AB-AB,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,4|6|3|8|7|5|1|2,-4.122157096862793,-4.321094989776611,-12.366471290588379,-12.963284492492676
Deganoetal_2024,Exp_3,40,Test,Test,Target_2,Sam,`The mystery box contains a blue ball or a grey ball.',A-AA-A,a grey ball,a grey ball and a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,5|3|7|4|2|1|8|6,-4.137016296386719,-4.2359747886657715,-12.411048889160156,-12.707923889160156
Deganoetal_2024,Exp_3,41,Test,Control_3,Bad,Sam,`The mystery box contains a blue ball and a green ball.',A-AA-B,a green ball,a blue ball and a blue ball,a blue ball,blue,green,yellow,grey,Bad,Good,2|3|7|8|1|6|4|5,-4.185771942138672,-4.42598295211792,-12.557315826416016,-13.277948379516602
Deganoetal_2024,Exp_3,42,Test,Control_2,Good,Mia,`The mystery box does not contain a green ball.',C-CD-C,a grey ball and a blue ball,a grey ball,a grey ball,green,yellow,grey,blue,Bad,Good,7|4|8|1|6|5|3|2,-4.2227044105529785,-4.620351791381836,-12.668112754821777,-13.861055374145508
Deganoetal_2024,Exp_3,43,Test,Control_1,Good,Mia,`The mystery box contains a green ball.',A-A-A,a green ball,a green ball,a green ball,green,blue,yellow,grey,Bad,Good,7|8|6|3|2|5|1|4,-4.20627498626709,-4.55002498626709,-12.618824005126953,-13.650074005126953
Deganoetal_2024,Exp_3,44,Test,Test,Bad,Mia,`The mystery box contains a yellow ball or a blue ball.',A-CD-B,a blue ball,a yellow ball,a grey ball and a green ball,blue,yellow,grey,green,Bad,Good,2|1|3|6|5|7|8|4,-4.121243000030518,-4.42332649230957,-12.363728523254395,-13.269978523254395
Deganoetal_2024,Exp_3,45,Test,Test,Target_2,Sam,`The mystery box contains a blue ball or a green ball.',A-AA-AA,a green ball,a green ball and a green ball,a green ball and a green ball,green,blue,yellow,grey,Bad,Good,4|1|6|5|3|2|8|7,-4.358615398406982,-4.426323890686035,-13.075845718383789,-13.278970718383789
Deganoetal_2024,Exp_3,46,Test,Test,Target_1,Sam,`The mystery box contains a grey ball or a blue ball.',A-AB-A,a blue ball,a blue ball,a blue ball and a grey ball,blue,grey,yellow,green,Bad,Good,4|1|5|8|6|2|7|3,-4.002776145935059,-4.159026145935059,-12.008328437805176,-12.477078437805176
Deganoetal_2024,Exp_3,47,Test,Test,Bad,Sam,`The mystery box contains a grey ball or a green ball.',A-CD-B,a grey ball,a green ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,1|3|8|7|6|2|4|5,-4.1296796798706055,-4.3592023849487305,-12.389039039611816,-13.077606201171875
Deganoetal_2024,Exp_3,48,Test,Test,Bad,Mia,`The mystery box contains a green ball or a grey ball.',A-CD-B,a grey ball,a blue ball and a yellow ball,a green ball,grey,green,blue,yellow,Bad,Good,2|6|5|1|8|3|4|7,-4.106989860534668,-4.425418853759766,-12.320969581604004,-13.27625560760498
Deganoetal_2024,Exp_3,49,Test,Control_4,Good,Sam,`The mystery box does not contain a blue ball or a green ball.',C-CD-C,a grey ball,a grey ball and a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,4|7|3|5|2|1|6|8,-3.874135971069336,-4.199955940246582,-11.622407913208008,-12.599867820739746
Deganoetal_2024,Exp_3,50,Test,Control_3,Bad,Mia,`The mystery box contains a green ball and a blue ball.',A-AA-B,a green ball,a green ball and a green ball,a blue ball,green,blue,grey,yellow,Bad,Good,1|3|6|8|2|5|7|4,-4.228860855102539,-4.510110855102539,-12.686582565307617,-13.530332565307617
Deganoetal_2024,Exp_3,51,Test,Test,Good,Mia,`The mystery box contains a blue ball or a grey ball.',A-AA-B,a grey ball,a blue ball,a grey ball and a grey ball,grey,blue,green,yellow,Bad,Good,3|4|1|5|7|2|6|8,-4.089963436126709,-4.402463436126709,-12.269889831542969,-13.207389831542969
Deganoetal_2024,Exp_3,52,Test,Control_3,Bad,Sam,`The mystery box contains a grey ball and a green ball.',A-AA-B,a grey ball,a green ball,a grey ball and a grey ball,grey,green,yellow,blue,Bad,Good,6|7|5|8|1|2|3|4,-4.06417989730835,-4.327881813049316,-12.19253921508789,-12.98364543914795
Deganoetal_2024,Exp_3,53,Test,Test,Target_2,Mia,`The mystery box contains a yellow ball or a blue ball.',A-AA-A,a blue ball,a blue ball and a blue ball,a blue ball,blue,yellow,grey,green,Bad,Good,5|6|4|8|2|7|3|1,-4.152656078338623,-4.3514204025268555,-12.457967758178711,-13.05426025390625
Deganoetal_2024,Exp_3,54,Test,Control_2,Bad,Sam,`The mystery box does not contain a blue ball.',A-CD-A,a blue ball,a blue ball,a grey ball and a yellow ball,blue,green,grey,yellow,Bad,Good,4|2|5|6|8|1|3|7,-4.116900444030762,-4.214924335479736,-12.350700378417969,-12.64477252960205
Deganoetal_2024,Exp_3,55,Test,Test,Target_2,Sam,`The mystery box contains a blue ball or a grey ball.',A-AA-AA,a grey ball and a grey ball,a grey ball and a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,2|4|7|6|3|5|1|8,-4.243471145629883,-4.294756889343262,-12.730412483215332,-12.884269714355469
Deganoetal_2024,Exp_3,56,Test,Control_1,Bad,Sam,`The mystery box contains a green ball.',A-CD-C,a green ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,5|6|8|2|3|7|4|1,-4.485434532165527,-4.433351039886475,-13.456302642822266,-13.300052642822266
