Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,3|7|61|60|8|63|59|57|2|1|62|64|5|58|4|6,-21.959888458251953,-20.571216583251953,-21.959888458251953,-20.571216583251953
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,60|6|63|62|58|2|61|57|4|7|8|1|5|3|64|59,-22.54928970336914,-20.87985610961914,-22.54928970336914,-20.87985610961914
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,4|7|62|59|2|64|60|61|3|5|1|8|58|63|57|6,-22.247135162353516,-20.990299224853516,-22.247135162353516,-20.990299224853516
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,63|57|1|60|3|4|59|58|7|8|2|64|61|5|6|62,-21.98741912841797,-21.40343475341797,-21.98741912841797,-21.40343475341797
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,59|7|3|8|63|1|58|2|6|4|64|62|60|57|5|61,-21.933706283569336,-20.891714096069336,-21.933706283569336,-20.891714096069336
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,62|8|57|4|6|61|7|58|3|2|64|1|59|60|5|63,-22.221118927001953,-20.551685333251953,-22.221118927001953,-20.551685333251953
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,7|63|64|3|61|2|58|62|1|59|8|60|5|6|57|4,-22.39010238647461,-20.78365707397461,-22.39010238647461,-20.78365707397461
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,7|3|58|62|4|1|59|8|63|5|64|2|60|61|57|6,-21.959890365600586,-20.328542709350586,-21.959890365600586,-20.328542709350586
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,59|63|6|60|7|64|3|58|62|5|4|61|2|1|57|8,-22.16106414794922,-21.48674774169922,-22.16106414794922,-21.48674774169922
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,58|2|1|7|61|60|59|5|64|57|62|63|4|6|3|8,-22.492755889892578,-20.555255889892578,-22.492755889892578,-20.555255889892578
Martyetal_2023,Exp_1,Epistemic,19,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,59|7|1|8|6|4|64|57|5|62|3|2|63|60|58|61,-21.886648178100586,-20.346609115600586,-21.886648178100586,-20.346609115600586
Martyetal_2023,Exp_1,Epistemic,20,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a yellow ball.,A-AB-B,a green ball,a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,61|8|60|1|6|58|4|3|7|63|59|2|5|57|62|64,-22.482990264892578,-20.662677764892578,-22.482990264892578,-20.662677764892578
Martyetal_2023,Exp_1,Epistemic,21,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball and a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,58|59|7|61|62|57|5|3|1|64|6|2|60|4|63|8,-22.60386085510254,-21.29429054260254,-22.60386085510254,-21.29429054260254
Martyetal_2023,Exp_1,Epistemic,22,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a green ball or a yellow ball.,A-AB-A,a green ball,a green ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good,62|4|2|8|5|60|6|63|1|59|7|61|3|64|58|57,-22.647077560424805,-21.339948654174805,-22.647077560424805,-21.339948654174805
Martyetal_2023,Exp_1,Epistemic,23,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a blue ball.,A-CD-A,a grey ball,a green ball and a yellow ball,a grey ball,grey,blue,green,yellow,Bad,Good,7|59|57|58|1|62|3|63|2|64|8|61|60|4|6|5,-22.3690242767334,-20.7293758392334,-22.3690242767334,-20.7293758392334
Martyetal_2023,Exp_1,Epistemic,24,Test,Block_A,Nominal,Control_2,Bad,Mia,Every visible box contains a green ball and a blue ball.,AB-CD-C,a yellow ball,a yellow ball and a grey ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,2|8|58|3|6|1|62|4|59|64|63|57|5|61|7|60,-22.458114624023438,-20.916122436523438,-22.458114624023438,-20.916122436523438
