Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_2,9,Test,Control_2,Bad,Mia,`The mystery box does not contain a grey ball.',A-CD-A,a grey ball,a grey ball,a blue ball and a green ball,grey,yellow,blue,green,Bad,Good,1|5|8|6|4|3|2|7,-23.594213485717773,-22.252416610717773,-23.594213485717773,-22.252416610717773
Deganoetal_2024,Exp_2,10,Test,Control_3,Good,Sam,`The mystery box contains a yellow ball and a blue ball.',AB-AB-AB,a yellow ball and a blue ball,a yellow ball and a blue ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,6|4|7|8|2|3|1|5,-23.241724014282227,-22.076684951782227,-23.241724014282227,-22.076684951782227
Deganoetal_2024,Exp_2,11,Test,Control_4,Good,Sam,`The mystery box does not contain a grey ball or a blue ball.',C-CD-C,a green ball,a green ball and a yellow ball,a green ball,grey,blue,green,yellow,Bad,Good,6|2|5|3|1|4|7|8,-23.299713134765625,-21.913970947265625,-23.299713134765625,-21.913970947265625
Deganoetal_2024,Exp_2,12,Test,Test,Good,Mia,`The mystery box contains a green ball or a blue ball.',A-AA-B,a green ball and a green ball,a blue ball,a green ball,green,blue,grey,yellow,Bad,Good,5|2|4|3|7|8|6|1,-23.599014282226562,-22.492080688476562,-23.599014282226562,-22.492080688476562
Deganoetal_2024,Exp_2,13,Test,Control_1,Good,Sam,`The mystery box contains a green ball.',A-A-A,a green ball,a green ball,a green ball,green,grey,yellow,blue,Bad,Good,1|8|3|7|6|5|2|4,-23.79537010192871,-22.37495994567871,-23.79537010192871,-22.37495994567871
Deganoetal_2024,Exp_2,14,Test,Control_4,Good,Mia,`The mystery box does not contain a green ball or a blue ball.',C-CD-C,a grey ball,a grey ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,2|1|4|7|5|6|8|3,-23.713321685791016,-22.224552154541016,-23.713321685791016,-22.224552154541016
Deganoetal_2024,Exp_2,15,Test,Test,Good,Mia,`The mystery box contains a blue ball or a green ball.',A-AA-B,a green ball,a blue ball,a blue ball and a blue ball,blue,green,yellow,grey,Bad,Good,8|4|7|5|1|6|3|2,-23.7884464263916,-22.4031925201416,-23.7884464263916,-22.4031925201416
Deganoetal_2024,Exp_2,16,Test,Test,Bad,Sam,`The mystery box contains a green ball or a grey ball.',A-CD-B,a green ball,a yellow ball and a blue ball,a grey ball,green,grey,yellow,blue,Bad,Good,1|3|2|6|8|7|5|4,-23.961212158203125,-22.804962158203125,-23.961212158203125,-22.804962158203125
Deganoetal_2024,Exp_2,17,Test,Control_1,Bad,Mia,`The mystery box contains a green ball.',A-CD-C,a green ball,a grey ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,8|7|6|5|1|4|2|3,-23.76151466369629,-22.58426856994629,-23.76151466369629,-22.58426856994629
Deganoetal_2024,Exp_2,18,Test,Control_4,Bad,Mia,`The mystery box does not contain a grey ball or a green ball.',A-CD-B,a grey ball,a green ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,6|4|5|1|7|2|3|8,-23.550525665283203,-22.310535430908203,-23.550525665283203,-22.310535430908203
Deganoetal_2024,Exp_2,19,Test,Control_2,Good,Sam,`The mystery box does not contain a green ball.',C-CD-C,a blue ball,a blue ball and a yellow ball,a blue ball,green,grey,blue,yellow,Bad,Good,8|2|1|7|5|3|4|6,-23.741466522216797,-22.656749725341797,-23.741466522216797,-22.656749725341797
Deganoetal_2024,Exp_2,20,Test,Test,Target_2,Sam,`The mystery box contains a green ball or a grey ball.',A-AA-AA,a green ball and a green ball,a green ball,a green ball and a green ball,green,grey,yellow,blue,Bad,Good,1|7|4|3|2|8|5|6,-24.00771141052246,-22.47597312927246,-24.00771141052246,-22.47597312927246
Deganoetal_2024,Exp_2,21,Test,Test,Bad,Mia,`The mystery box contains a grey ball or a green ball.',A-CD-B,a green ball,a blue ball and a yellow ball,a grey ball,grey,green,blue,yellow,Bad,Good,8|5|6|2|7|4|3|1,-23.799177169799805,-22.321149826049805,-23.799177169799805,-22.321149826049805
Deganoetal_2024,Exp_2,22,Test,Test,Good,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AA-B,a yellow ball,a grey ball,a grey ball and a grey ball,grey,yellow,blue,green,Bad,Good,3|8|5|4|6|2|7|1,-23.727174758911133,-22.842164993286133,-23.727174758911133,-22.842164993286133
Deganoetal_2024,Exp_2,23,Test,Control_3,Good,Sam,`The mystery box contains a blue ball and a yellow ball.',AB-AB-AB,a blue ball and a yellow ball,a blue ball and a yellow ball,a blue ball and a yellow ball,blue,yellow,green,grey,Bad,Good,5|2|6|3|7|4|8|1,-23.309537887573242,-22.225553512573242,-23.309537887573242,-22.225553512573242
Deganoetal_2024,Exp_2,24,Test,Test,Target_2,Sam,`The mystery box contains a green ball or a grey ball.',A-AA-A,a green ball,a green ball and a green ball,a green ball,green,grey,blue,yellow,Bad,Good,7|6|3|8|1|5|4|2,-24.040836334228516,-22.686832427978516,-24.040836334228516,-22.686832427978516
Deganoetal_2024,Exp_2,25,Test,Control_1,Good,Sam,`The mystery box contains a blue ball.',A-A-A,a blue ball,a blue ball,a blue ball,blue,green,yellow,grey,Bad,Good,7|1|5|2|3|8|4|6,-23.75090980529785,-22.22307777404785,-23.75090980529785,-22.22307777404785
Deganoetal_2024,Exp_2,26,Test,Control_3,Bad,Mia,`The mystery box contains a blue ball and a grey ball.',AB-CD-C,a blue ball and a grey ball,a yellow ball,a yellow and a green ball,blue,grey,yellow,green,Bad,Good,5|2|3|1|8|6|7|4,-23.334165573120117,-22.184019088745117,-23.334165573120117,-22.184019088745117
Deganoetal_2024,Exp_2,27,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AB-AB,a blue ball and a yellow ball,a blue ball and a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,8|7|3|6|5|1|2|4,-23.567846298217773,-22.041479110717773,-23.567846298217773,-22.041479110717773
Deganoetal_2024,Exp_2,28,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a green ball.',A-AA-A,a yellow ball,a yellow and a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good,6|2|1|3|4|5|7|8,-23.329774856567383,-22.345155715942383,-23.329774856567383,-22.345155715942383
Deganoetal_2024,Exp_2,29,Test,Test,Good-Excl,Sam,`The mystery box contains a green ball or a yellow ball.',A-AB-B,a green ball and a yellow ball,a yellow ball,a green ball,green,yellow,blue,grey,Bad,Good,6|2|3|5|7|1|4|8,-23.37337303161621,-22.30940818786621,-23.37337303161621,-22.30940818786621
Deganoetal_2024,Exp_2,30,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-A,a blue ball and a grey ball,a blue ball,a blue ball,blue,grey,green,yellow,Bad,Good,2|8|1|3|7|6|4|5,-23.882244110107422,-22.673259735107422,-23.882244110107422,-22.673259735107422
Deganoetal_2024,Exp_2,31,Test,Control_2,Bad,Mia,`The mystery box does not contain a green ball.',A-CD-A,a green ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,6|4|2|1|8|7|3|5,-23.54745864868164,-22.61508560180664,-23.54745864868164,-22.61508560180664
Deganoetal_2024,Exp_2,32,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a green ball.',A-AB-B,a blue ball and a green ball,a blue ball,a green ball,blue,green,grey,yellow,Bad,Good,3|6|2|1|4|8|5|7,-23.474328994750977,-22.152307510375977,-23.474328994750977,-22.152307510375977
Deganoetal_2024,Exp_2,33,Test,Control_2,Good,Sam,`The mystery box does not contain a yellow ball.',C-CD-C,a grey ball,a grey ball,a grey ball and a green ball,yellow,blue,grey,green,Bad,Good,8|2|4|3|5|6|1|7,-23.596969604492188,-22.526901245117188,-23.596969604492188,-22.526901245117188
Deganoetal_2024,Exp_2,34,Test,Control_1,Bad,Mia,`The mystery box contains a blue ball.',A-CD-C,a blue ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,6|2|7|1|3|4|8|5,-23.342214584350586,-22.500417709350586,-23.342214584350586,-22.500417709350586
Deganoetal_2024,Exp_2,35,Test,Control_1,Good,Sam,`The mystery box contains a grey ball.',A-A-A,a grey ball,a grey ball,a grey ball,grey,yellow,blue,green,Bad,Good,1|3|7|8|5|4|6|2,-23.61857032775879,-22.42862892150879,-23.61857032775879,-22.42862892150879
Deganoetal_2024,Exp_2,36,Test,Test,Bad,Sam,`The mystery box contains a yellow ball or a green ball.',A-CD-B,a blue ball and a grey ball,a yellow ball,a green ball,yellow,green,blue,grey,Bad,Good,7|6|2|4|5|8|3|1,-23.92765235900879,-22.58634376525879,-23.92765235900879,-22.58634376525879
Deganoetal_2024,Exp_2,37,Test,Control_3,Bad,Sam,`The mystery box contains a grey ball and a green ball.',AB-CD-C,a blue ball,a grey ball and a green ball,a blue ball and a yellow ball,grey,green,blue,yellow,Bad,Good,4|8|2|6|7|5|1|3,-23.24595832824707,-22.24986457824707,-23.24595832824707,-22.24986457824707
Deganoetal_2024,Exp_2,38,Test,Control_4,Bad,Sam,`The mystery box does not contain a yellow ball or a blue ball.',A-CD-B,a blue ball,a green ball and a grey ball,a yellow ball,yellow,blue,green,grey,Bad,Good,6|2|8|1|5|4|7|3,-23.422245025634766,-22.517459869384766,-23.422245025634766,-22.517459869384766
Deganoetal_2024,Exp_2,39,Test,Test,Bad,Sam,`The mystery box contains a blue ball or a yellow ball.',A-CD-B,a green ball and a grey ball,a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,5|8|4|2|7|6|3|1,-23.57895278930664,-22.51938247680664,-23.57895278930664,-22.51938247680664
Deganoetal_2024,Exp_2,40,Test,Test,Target_2,Mia,`The mystery box contains a yellow ball or a blue ball.',A-AA-AA,a yellow ball,a yellow and a yellow ball,a yellow and a yellow ball,yellow,blue,green,grey,Bad,Good,1|8|2|3|6|4|5|7,-23.95800018310547,-22.38134002685547,-23.95800018310547,-22.38134002685547
Deganoetal_2024,Exp_2,41,Test,Test,Target_1,Sam,`The mystery box contains a grey ball or a blue ball.',A-AB-A,a grey ball,a grey ball and a blue ball,a grey ball,grey,blue,green,yellow,Bad,Good,5|1|2|3|7|6|8|4,-23.524755477905273,-22.254247665405273,-23.524755477905273,-22.254247665405273
Deganoetal_2024,Exp_2,42,Test,Test,Bad,Mia,`The mystery box contains a green ball or a blue ball.',A-CD-B,a green ball,a yellow ball and a grey ball,a blue ball,green,blue,yellow,grey,Bad,Good,3|4|8|6|1|7|2|5,-23.641544342041016,-22.632755279541016,-23.641544342041016,-22.632755279541016
Deganoetal_2024,Exp_2,43,Test,Test,Target_1,Sam,`The mystery box contains a yellow ball or a grey ball.',A-AB-AB,a yellow ball and a grey ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,5|4|6|3|1|2|8|7,-23.34270668029785,-22.01897621154785,-23.34270668029785,-22.01897621154785
Deganoetal_2024,Exp_2,44,Test,Control_3,Bad,Mia,`The mystery box contains a green ball and a yellow ball.',AB-CD-C,a green ball and a yellow ball,a grey ball,a grey ball and a blue ball,green,yellow,grey,blue,Bad,Good,1|2|4|7|8|5|6|3,-23.848052978515625,-22.505767822265625,-23.848052978515625,-22.505767822265625
Deganoetal_2024,Exp_2,45,Test,Test,Target_2,Sam,`The mystery box contains a grey ball or a blue ball.',A-AA-AA,a grey ball and a grey ball,a grey ball,a grey ball and a grey ball,grey,blue,yellow,green,Bad,Good,7|4|2|8|1|5|3|6,-23.94859504699707,-22.85533332824707,-23.94859504699707,-22.85533332824707
Deganoetal_2024,Exp_2,46,Test,Control_3,Good,Sam,`The mystery box contains a blue ball and a green ball.',AB-AB-AB,a blue ball and a green ball,a blue ball and a green ball,a blue ball and a green ball,blue,green,grey,yellow,Bad,Good,7|4|2|6|5|1|3|8,-23.747486114501953,-22.578052520751953,-23.747486114501953,-22.578052520751953
Deganoetal_2024,Exp_2,47,Test,Control_2,Good,Sam,`The mystery box does not contain a grey ball.',C-CD-C,a yellow ball and a blue ball,a yellow ball,a yellow ball,grey,green,yellow,blue,Bad,Good,8|1|3|5|6|2|7|4,-23.673608779907227,-22.546411514282227,-23.673608779907227,-22.546411514282227
Deganoetal_2024,Exp_2,48,Test,Control_4,Good,Mia,`The mystery box does not contain a grey ball or a blue ball.',C-CD-C,a yellow and a green ball,a yellow ball,a yellow ball,grey,blue,yellow,green,Bad,Good,5|2|6|1|3|7|4|8,-23.342741012573242,-22.189420700073242,-23.342741012573242,-22.189420700073242
Deganoetal_2024,Exp_2,49,Test,Test,Target_1,Sam,`The mystery box contains a yellow ball or a blue ball.',A-AB-A,a yellow ball,a yellow ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,3|8|5|6|4|1|7|2,-23.73811149597168,-22.72663688659668,-23.73811149597168,-22.72663688659668
Deganoetal_2024,Exp_2,50,Test,Test,Target_2,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AA-A,a blue ball,a blue ball and a blue ball,a blue ball,blue,yellow,grey,green,Bad,Good,5|7|4|1|2|6|3|8,-23.660463333129883,-22.573060989379883,-23.660463333129883,-22.573060989379883
Deganoetal_2024,Exp_2,51,Test,Control_4,Bad,Sam,`The mystery box does not contain a blue ball or a yellow ball.',A-CD-B,a green ball and a grey ball,a blue ball,a yellow ball,blue,yellow,green,grey,Bad,Good,3|2|8|5|1|7|4|6,-23.39207649230957,-22.10252571105957,-23.39207649230957,-22.10252571105957
Deganoetal_2024,Exp_2,52,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a green ball.',A-AB-B,a blue ball and a green ball,a green ball,a blue ball,blue,green,grey,yellow,Bad,Good,8|6|4|1|3|5|2|7,-23.887012481689453,-22.362598419189453,-23.887012481689453,-22.362598419189453
Deganoetal_2024,Exp_2,53,Test,Test,Target_1,Mia,`The mystery box contains a grey ball or a green ball.',A-AB-AB,a grey ball and a green ball,a grey ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,4|1|7|6|2|5|8|3,-23.317264556884766,-22.343631744384766,-23.317264556884766,-22.343631744384766
Deganoetal_2024,Exp_2,54,Test,Test,Bad,Sam,`The mystery box contains a grey ball or a green ball.',A-CD-B,a yellow ball and a blue ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,4|2|6|3|1|5|8|7,-23.578903198242188,-22.664840698242188,-23.578903198242188,-22.664840698242188
Deganoetal_2024,Exp_2,55,Test,Control_1,Bad,Mia,`The mystery box contains a grey ball.',A-CD-C,a green ball and a yellow ball,a grey ball,a green ball,grey,blue,green,yellow,Bad,Good,3|4|1|2|5|7|8|6,-23.435094833374023,-21.974645614624023,-23.435094833374023,-21.974645614624023
Deganoetal_2024,Exp_2,56,Test,Control_2,Bad,Mia,`The mystery box does not contain a grey ball.',A-CD-A,a grey ball,a grey ball,a yellow and a green ball,grey,blue,yellow,green,Bad,Good,8|1|7|5|3|2|6|4,-23.800081253051758,-22.382112503051758,-23.800081253051758,-22.382112503051758
