Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_6,25,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,2|16|20|12|11|15|3|21|1|5|14|9|7|22|6|8|10|4|17|18|13|23|19|24,-1.0872142314910889,-0.43096423149108887,-1.0872142314910889,-0.43096423149108887
Martyetal_2022,Exp_6,26,Test,Low,Positive,FC,Good,Sam,It is possible that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,4|6|10|9|19|24|15|5|13|8|1|16|2|12|18|22|17|7|11|23|14|3|21|20,-0.4781651496887207,-1.0154141187667847,-0.4781651496887207,-1.0154141187667847
Martyetal_2022,Exp_6,27,Test,Low,Positive,SI,Good,Mia,It is possible that the mystery box contains a green ball.,A-D-C,a green ball,a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,7|23|17|5|22|19|21|11|6|4|12|2|10|18|14|1|16|20|8|15|9|3|13|24,-0.3546001613140106,-1.2764556407928467,-0.3546001613140106,-1.2764556407928467
Martyetal_2022,Exp_6,28,Test,Low,Positive,DIST,Bad,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,4|19|7|16|8|6|21|18|12|24|15|17|10|20|11|13|2|9|14|1|23|22|5|3,-0.7427941560745239,-0.6802941560745239,-0.7427941560745239,-0.6802941560745239
Martyetal_2022,Exp_6,29,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a grey ball or it contains a blue ball.,D-C-D,a green ball,a yellow ball,a green ball,grey,blue,yellow,green,Bad,Good,6|7|20|18|5|23|22|17|19|1|2|21|12|13|16|9|4|14|8|11|15|24|3|10,-0.5721503496170044,-0.8846503496170044,-0.5721503496170044,-0.8846503496170044
Martyetal_2022,Exp_6,30,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a blue ball.,A-A-A,a green ball,a green ball,a green ball,green,blue,yellow,grey,Bad,Good,12|14|3|15|2|5|13|17|20|18|11|22|24|6|10|8|7|1|23|16|21|9|4|19,-0.4104022979736328,-1.164770245552063,-0.4104022979736328,-1.164770245552063
Martyetal_2022,Exp_6,31,Test,Low,Negative,DIST,Bad,Sam,It is certain that either the mystery box does not contain a blue ball or it does not contain a yellow ball.,A-AB-B,a blue ball,a blue ball and a yellow ball,a yellow ball,blue,yellow,green,grey,Bad,Good,14|18|22|11|16|21|13|4|10|24|3|23|19|15|8|1|20|5|17|9|2|12|6|7,-0.8014311790466309,-0.6297405958175659,-0.8014311790466309,-0.6297405958175659
Martyetal_2022,Exp_6,32,Test,Low,Negative,DIST,Good,Mia,It is certain that either the mystery box does not contain a green ball or it does not contain a blue ball.,A-B-A,a green ball,a blue ball,a green ball,green,blue,yellow,grey,Bad,Good,19|16|9|13|8|14|15|10|6|24|23|20|7|2|17|21|3|1|22|11|4|12|18|5,-1.2745438814163208,-0.35714733600616455,-1.2745438814163208,-0.35714733600616455
Martyetal_2022,Exp_6,33,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a blue ball or it contains a yellow ball.,D-C-D,a grey ball,a green ball,a grey ball,blue,yellow,green,grey,Bad,Good,16|18|24|21|14|19|22|15|11|17|6|1|7|13|2|9|20|5|3|23|4|8|12|10,-0.5349166393280029,-0.9099152088165283,-0.5349166393280029,-0.9099152088165283
Martyetal_2022,Exp_6,34,Test,Low,Negative,II,Good,Mia,Either the mystery box does not contain a grey ball or it does not contain a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,8|6|21|22|2|3|17|16|4|24|19|18|11|20|1|23|9|12|7|14|5|15|13|10,-0.5992379784584045,-0.8599459528923035,-0.5992379784584045,-0.8599459528923035
Martyetal_2022,Exp_6,35,Test,Low,Positive,DIST,Target,Mia,It is certain that either the mystery box contains a yellow ball or it contains a blue ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,blue,green,grey,Bad,Good,18|2|22|5|14|24|1|10|15|17|7|4|13|12|19|8|16|23|11|9|6|3|20|21,-1.4346389770507812,-0.2943575084209442,-1.4346389770507812,-0.2943575084209442
Martyetal_2022,Exp_6,36,Test,Low,Negative,DIST,Target,Sam,It is certain that either the mystery box does not contain a yellow ball or it does not contain a green ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,blue,grey,Bad,Good,12|16|4|14|15|5|8|2|10|22|20|18|21|17|6|11|3|24|1|7|9|13|23|19,-0.5744876861572266,-0.8704767227172852,-0.5744876861572266,-0.8704767227172852
Martyetal_2022,Exp_6,37,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a blue ball or it contains a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,grey,yellow,Bad,Good,15|10|20|21|9|23|13|22|19|7|8|24|6|11|1|4|3|2|5|18|12|16|14|17,-0.3594264090061188,-1.2344144582748413,-0.3594264090061188,-1.2344144582748413
Martyetal_2022,Exp_6,38,Test,Low,Positive,SI,Bad,Sam,It is possible that the mystery box contains a yellow ball.,D-D-D,a blue ball,a blue ball,a blue ball,yellow,green,grey,blue,Bad,Good,3|9|14|16|6|11|7|21|13|15|4|12|22|17|10|24|23|18|5|20|2|19|1|8,-0.42127683758735657,-1.1242060661315918,-0.42127683758735657,-1.1242060661315918
Martyetal_2022,Exp_6,39,Test,Low,Negative,II,Bad,Mia,Either the mystery box does not contain a green ball or it does not contain a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,10|4|2|1|22|20|13|9|24|11|6|16|14|17|18|7|23|5|8|12|19|3|15|21,-0.5147302746772766,-0.9520851969718933,-0.5147302746772766,-0.9520851969718933
Martyetal_2022,Exp_6,40,Test,Low,Positive,SI,Bad,Sam,It is possible that the mystery box contains a blue ball.,D-D-D,a green ball,a green ball,a green ball,blue,grey,yellow,green,Bad,Good,16|19|2|14|11|9|22|23|18|21|20|13|6|12|8|3|7|4|15|5|24|1|10|17,-0.44269245862960815,-1.067611813545227,-0.44269245862960815,-1.067611813545227
Martyetal_2022,Exp_6,41,Test,Low,Positive,DIST,Target,Mia,It is certain that either the mystery box contains a blue ball or it contains a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,grey,yellow,Bad,Good,3|6|24|21|8|13|20|11|7|18|23|19|1|5|2|12|14|10|22|17|9|15|4|16,-0.8950334787368774,-0.5578289031982422,-0.8950334787368774,-0.5578289031982422
Martyetal_2022,Exp_6,42,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a yellow ball.,A-A-A,a green ball,a green ball,a green ball,green,yellow,grey,blue,Bad,Good,9|18|14|15|6|11|4|23|16|12|1|21|2|24|22|5|20|8|10|3|13|17|19|7,-0.36724597215652466,-1.2219423055648804,-0.36724597215652466,-1.2219423055648804
Martyetal_2022,Exp_6,43,Test,Low,Positive,II,Good,Mia,Either the mystery box contains a green ball or it contains a grey ball.,A-B-A,a green ball,a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,12|1|17|8|20|6|18|22|14|9|24|19|21|7|15|2|23|11|16|13|3|10|5|4,-0.6487604379653931,-0.7965848445892334,-0.6487604379653931,-0.7965848445892334
Martyetal_2022,Exp_6,44,Test,Low,Negative,FC,Target,Sam,It is possible that either the mystery box does not contain a yellow ball or it does not contain a blue ball.,A-AB-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,13|18|22|16|6|17|14|11|23|9|3|7|8|15|19|10|2|5|12|21|20|4|24|1,-0.740322470664978,-0.6492087244987488,-0.740322470664978,-0.6492087244987488
Martyetal_2022,Exp_6,45,Test,Low,Positive,DIST,Good,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-AB-B,a green ball,a green ball and a yellow ball,a yellow ball,green,yellow,grey,blue,Bad,Good,24|23|6|4|12|7|14|19|1|10|9|5|2|15|13|16|8|20|11|3|17|18|22|21,-0.6921848058700562,-0.7227643132209778,-0.6921848058700562,-0.7227643132209778
Martyetal_2022,Exp_6,46,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,blue,grey,green,Bad,Good,11|13|15|20|3|2|18|23|6|14|10|9|4|17|1|16|22|21|12|24|8|7|5|19,-0.6206242442131042,-0.7940111756324768,-0.6206242442131042,-0.7940111756324768
