Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,64|58|1|2|3|63|6|59|7|57|8|62|4|5|61|60,-0.6151643991470337,-1.0682893991470337,-0.6151643991470337,-1.0682893991470337
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,62|6|7|64|3|61|4|57|60|1|59|58|2|5|8|63,-0.7633439302444458,-0.8883439302444458,-0.7633439302444458,-0.8883439302444458
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,61|8|58|57|1|59|2|63|6|60|4|62|3|64|5|7,-0.6439692378044128,-0.9095942378044128,-0.6439692378044128,-0.9095942378044128
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,4|2|6|62|64|58|8|60|3|57|61|1|7|59|63|5,-0.5892777442932129,-1.229902744293213,-0.5892777442932129,-1.229902744293213
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,3|1|60|61|7|6|59|57|58|63|64|5|4|8|2|62,-0.7515238523483276,-0.9233988523483276,-0.7515238523483276,-0.9233988523483276
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,1|60|6|5|8|58|59|7|61|4|62|63|64|3|57|2,-0.588150143623352,-0.963150143623352,-0.588150143623352,-0.963150143623352
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,63|8|5|57|1|59|61|60|6|64|7|58|3|4|2|62,-0.6422445774078369,-1.001619577407837,-0.6422445774078369,-1.001619577407837
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,5|4|60|58|2|3|61|63|64|6|7|57|1|62|59|8,-0.6908372044563293,-1.0658371448516846,-0.6908372044563293,-1.0658371448516846
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,61|63|1|64|6|4|5|3|2|57|59|62|7|60|8|58,-0.7922301888465881,-0.9953551888465881,-0.7922301888465881,-0.9953551888465881
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,64|8|63|58|1|62|57|5|3|2|60|4|59|61|7|6,-0.501919686794281,-1.2675447463989258,-0.501919686794281,-1.2675447463989258
Martyetal_2023,Exp_1,Epistemic,19,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,8|5|63|61|57|59|64|3|58|60|2|1|6|7|4|62,-0.523331344127655,-1.2733314037322998,-0.523331344127655,-1.2733314037322998
Martyetal_2023,Exp_1,Epistemic,20,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a yellow ball.,A-AB-B,a green ball,a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,58|59|4|64|60|3|2|57|7|61|63|1|62|6|8|5,-0.7108803987503052,-0.9296303987503052,-0.7108803987503052,-0.9296303987503052
Martyetal_2023,Exp_1,Epistemic,21,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball and a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,2|62|6|3|7|59|1|58|5|63|61|57|64|8|4|60,-0.878679633140564,-0.706804633140564,-0.878679633140564,-0.706804633140564
Martyetal_2023,Exp_1,Epistemic,22,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a green ball or a yellow ball.,A-AB-A,a green ball,a green ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good,3|7|6|4|58|64|8|57|5|63|59|61|60|1|2|62,-0.6738656163215637,-1.330115556716919,-0.6738656163215637,-1.330115556716919
Martyetal_2023,Exp_1,Epistemic,23,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a blue ball.,A-CD-A,a grey ball,a green ball and a yellow ball,a grey ball,grey,blue,green,yellow,Bad,Good,2|61|6|64|62|4|1|57|59|60|7|5|3|58|8|63,-0.8209125399589539,-0.7740375399589539,-0.8209125399589539,-0.7740375399589539
Martyetal_2023,Exp_1,Epistemic,24,Test,Block_A,Nominal,Control_2,Bad,Mia,Every visible box contains a green ball and a blue ball.,AB-CD-C,a yellow ball,a yellow ball and a grey ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,7|60|63|3|62|4|2|1|57|5|58|61|6|8|64|59,-0.5125685334205627,-1.075068473815918,-0.5125685334205627,-1.075068473815918
Martyetal_2023,Exp_1,Epistemic,25,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a yellow ball or a green ball.,A-AC-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,green,blue,grey,Bad,Good,1|3|8|58|6|61|59|64|5|2|7|4|63|60|62|57,-0.4779924750328064,-1.1498675346374512,-0.4779924750328064,-1.1498675346374512
