Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2
Deganoetal_2024,Exp_1,1,Training,Control_4,Bad,Mia,`The mystery box does not contain a green ball or a yellow ball.',A-CD-A,a green ball,a green ball,a grey ball and a blue ball,green,yellow,grey,blue,Bad,Good
Deganoetal_2024,Exp_1,2,Training,Control_2,Bad,Mia,`The mystery box does not contain a green ball.',A-CD-A,a green ball,a green ball,a grey ball and a blue ball,green,yellow,grey,blue,Bad,Good
Deganoetal_2024,Exp_1,3,Training,Control_2,Good,Mia,`The mystery box does not contain a yellow ball.',C-CD-C,a green ball and a blue ball,a green ball,a green ball,yellow,grey,green,blue,Bad,Good
Deganoetal_2024,Exp_1,4,Training,Control_1,Good,Sam,`The mystery box contains a yellow ball.',A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,blue,grey,green,Bad,Good
Deganoetal_2024,Exp_1,5,Training,Control_4,Good,Sam,`The mystery box does not contain a blue ball or a grey ball.',C-CD-C,a yellow and a green ball,a yellow ball,a yellow ball,blue,grey,yellow,green,Bad,Good
Deganoetal_2024,Exp_1,6,Training,Control_3,Good,Mia,`The mystery box contains a blue ball and a yellow ball.',AB-AB-AB,a blue ball and a yellow ball,a blue ball and a yellow ball,a blue ball and a yellow ball,blue,yellow,green,grey,Bad,Good
Deganoetal_2024,Exp_1,7,Training,Control_1,Bad,Mia,`The mystery box contains a grey ball.',A-CD-C,a yellow ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good
Deganoetal_2024,Exp_1,8,Training,Control_3,Bad,Sam,`The mystery box contains a green ball and a blue ball.',AB-CD-C,a yellow ball and a grey ball,a green ball and a blue ball,a yellow ball,green,blue,yellow,grey,Bad,Good
Deganoetal_2024,Exp_1,9,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-A,a blue ball,a blue ball and a grey ball,a blue ball,blue,grey,green,yellow,Bad,Good
Deganoetal_2024,Exp_1,10,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a blue ball.',A-AC-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,blue,grey,green,Bad,Good
Deganoetal_2024,Exp_1,11,Test,Test,Target_2,Mia,`The mystery box contains a grey ball or a blue ball.',A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good
Deganoetal_2024,Exp_1,12,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a blue ball.',A-AC-AC,a green ball and a yellow ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good
