Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_2,Deontic,9,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a yellow ball or a green ball.,A-CD-C,a grey ball and a blue ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,61|59|57|5|3|1|62|6|58|7|4|8|64|2|63|60,-0.939453125,-0.521484375,-0.939453125,-0.521484375
Martyetal_2023,Exp_2,Deontic,10,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a green ball or a grey ball.,A-CD-A,a green ball,a yellow ball and a blue ball,a green ball,green,grey,yellow,blue,Bad,Good,2|7|3|58|59|1|63|57|64|4|8|61|5|62|6|60,-0.7529296875,-0.6689453125,-0.7529296875,-0.6689453125
Martyetal_2023,Exp_2,Deontic,11,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a yellow ball or a grey ball.,A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,green,blue,Bad,Good,59|4|2|60|7|57|63|3|6|61|64|1|8|58|62|5,-0.65283203125,-0.79443359375,-0.65283203125,-0.79443359375
Martyetal_2023,Exp_2,Deontic,12,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a green ball or a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,yellow,blue,Bad,Good,59|4|7|61|63|58|8|57|62|5|6|2|1|64|3|60,-0.98291015625,-0.52490234375,-0.98291015625,-0.52490234375
Martyetal_2023,Exp_2,Deontic,13,Test,Block_A,Nominal,Test,Target_2,Sam,Every box contains a grey ball or a green ball.,A-AC-AC,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball,grey,green,yellow,blue,Bad,Good,58|62|7|59|4|5|1|57|60|8|2|64|6|61|3|63,-1.6435546875,-0.236328125,-1.6435546875,-0.236328125
Martyetal_2023,Exp_2,Deontic,14,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a green ball or a blue ball.,A-CD-C,a grey ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,4|1|6|61|3|8|62|58|5|59|60|7|63|57|64|2,-1.048828125,-0.468505859375,-1.048828125,-0.468505859375
Martyetal_2023,Exp_2,Deontic,15,Test,Block_A,Nominal,Control_2,Good,Mia,Every box contains a grey ball and a yellow ball.,AB-AB-AB,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball and a yellow ball,grey,yellow,blue,green,Bad,Good,2|62|8|60|1|57|4|7|3|59|5|63|58|6|61|64,-0.71142578125,-0.72705078125,-0.71142578125,-0.72705078125
Martyetal_2023,Exp_2,Deontic,16,Test,Block_A,Nominal,Control_4,Good,Mia,No box contains a blue ball or a yellow ball.,C-CD-C,a green ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,60|8|59|62|5|3|61|7|4|2|6|1|58|57|64|63,-1.33203125,-0.32763671875,-1.33203125,-0.32763671875
Martyetal_2023,Exp_2,Deontic,17,Test,Block_A,Nominal,Control_2,Bad,Mia,Every box contains a grey ball and a green ball.,AB-CD-C,a grey ball and a green ball,a blue ball,a blue ball and a yellow ball,grey,green,blue,yellow,Bad,Good,64|57|59|63|61|6|3|8|62|2|4|1|7|60|5|58,-1.015625,-0.487548828125,-1.015625,-0.487548828125
Martyetal_2023,Exp_2,Deontic,18,Test,Block_A,Nominal,Control_3,Bad,Mia,No box contains a grey ball.,A-CD-A,a yellow ball and a blue ball,a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,6|4|59|1|8|60|63|61|7|5|62|2|58|3|57|64,-1.1923828125,-0.386962890625,-1.1923828125,-0.386962890625
Martyetal_2023,Exp_2,Deontic,19,Test,Block_A,Nominal,Control_1,Good,Sam,Every box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,2|59|61|60|62|5|6|1|63|64|8|58|57|7|3|4,-1.0087890625,-0.48193359375,-1.0087890625,-0.48193359375
Martyetal_2023,Exp_2,Deontic,20,Test,Block_A,Nominal,Control_2,Good,Sam,Every box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,63|57|59|6|58|7|2|1|5|61|62|64|3|60|4|8,-0.4365234375,-1.0888671875,-0.4365234375,-1.0888671875
Martyetal_2023,Exp_2,Deontic,21,Test,Block_A,Nominal,Control_4,Bad,Mia,No box contains a blue ball or a green ball.,A-CD-A,a blue ball,a blue ball,a grey ball and a yellow ball,blue,green,grey,yellow,Bad,Good,1|5|2|60|3|7|59|64|8|6|58|57|62|61|63|4,-0.7158203125,-0.7236328125,-0.7158203125,-0.7236328125
Martyetal_2023,Exp_2,Deontic,22,Test,Block_A,Nominal,Test,Target_2,Mia,Every box contains a yellow ball or a green ball.,A-AC-AD,a yellow ball,a yellow ball and a grey ball,a yellow ball and a blue ball,yellow,green,blue,grey,Bad,Good,57|6|7|5|58|4|64|59|63|1|60|2|61|62|8|3,-0.56298828125,-0.91259765625,-0.56298828125,-0.91259765625
Martyetal_2023,Exp_2,Deontic,23,Test,Block_A,Nominal,Test,Bad,Mia,Every box contains a green ball or a blue ball.,A-CD-C,a green ball,a grey ball and a yellow ball,a grey ball,green,blue,grey,yellow,Bad,Good,3|1|6|59|8|64|63|62|61|60|2|57|5|4|58|7,-1.6435546875,-0.250732421875,-1.6435546875,-0.250732421875
Martyetal_2023,Exp_2,Deontic,24,Test,Block_A,Nominal,Test,Good,Sam,Every box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball,a green ball and a grey ball,green,grey,blue,yellow,Bad,Good,58|4|64|59|62|1|60|63|2|7|3|8|6|5|57|61,-0.9267578125,-0.578125,-0.9267578125,-0.578125
Martyetal_2023,Exp_2,Deontic,25,Test,Block_A,Nominal,Control_1,Bad,Sam,Every box contains a blue ball.,A-CD-C,a blue ball,a yellow ball,a yellow ball and a grey ball,blue,green,yellow,grey,Bad,Good,3|7|64|61|1|2|59|4|62|5|58|8|60|63|6|57,-1.552734375,-0.260498046875,-1.552734375,-0.260498046875
Martyetal_2023,Exp_2,Deontic,26,Test,Block_A,Nominal,Control_2,Good,Sam,Every box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,2|61|7|59|58|1|63|8|62|4|57|5|6|60|3|64,-0.386962890625,-1.212890625,-0.386962890625,-1.212890625
Martyetal_2023,Exp_2,Deontic,27,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a grey ball or a blue ball.,A-CD-A,a yellow and a green ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,6|4|59|63|60|57|3|62|1|8|64|58|2|5|61|7,-0.29931640625,-1.431640625,-0.29931640625,-1.431640625
Martyetal_2023,Exp_2,Deontic,28,Test,Block_A,Nominal,Test,Target_1,Mia,Every box contains a blue ball or a grey ball.,A-AB-A,a blue ball,a blue ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,5|61|1|2|6|57|3|64|60|8|7|63|59|62|58|4,-0.65966796875,-0.78564453125,-0.65966796875,-0.78564453125
Martyetal_2023,Exp_2,Deontic,29,Test,Block_A,Nominal,Test,Target_2,Mia,Every box contains a green ball or a yellow ball.,A-AC-A,a green ball and a blue ball,a green ball,a green ball,green,yellow,blue,grey,Bad,Good,4|3|8|7|62|6|2|61|60|5|64|58|57|59|1|63,-0.81640625,-0.62109375,-0.81640625,-0.62109375
Martyetal_2023,Exp_2,Deontic,30,Test,Block_A,Nominal,Control_1,Bad,Sam,Every box contains a yellow ball.,A-CD-C,a grey ball,a grey ball and a blue ball,a yellow ball,yellow,green,grey,blue,Bad,Good,57|8|60|61|4|3|1|64|58|6|7|62|2|5|59|63,-0.89453125,-0.5595703125,-0.89453125,-0.5595703125
Martyetal_2023,Exp_2,Deontic,31,Test,Block_A,Nominal,Test,Target_2,Mia,Every box contains a yellow ball or a green ball.,A-AC-A,a yellow ball,a yellow ball,a yellow ball and a blue ball,yellow,green,blue,grey,Bad,Good,61|60|63|4|57|3|1|58|5|64|6|8|59|2|62|7,-0.771484375,-0.677734375,-0.771484375,-0.677734375
Martyetal_2023,Exp_2,Deontic,32,Test,Block_A,Nominal,Test,Bad,Mia,Every box contains a blue ball or a green ball.,A-CD-C,a yellow ball and a grey ball,a blue ball,a yellow ball,blue,green,yellow,grey,Bad,Good,60|6|61|5|7|58|57|63|62|3|2|1|4|8|59|64,-0.9287109375,-0.5234375,-0.9287109375,-0.5234375
Martyetal_2023,Exp_2,Deontic,33,Test,Block_A,Nominal,Control_3,Bad,Sam,No box contains a grey ball.,A-CD-A,a grey ball,a green ball and a blue ball,a grey ball,grey,yellow,green,blue,Bad,Good,63|62|2|60|59|8|5|3|7|64|58|61|6|4|57|1,-1.595703125,-0.252197265625,-1.595703125,-0.252197265625
Martyetal_2023,Exp_2,Deontic,34,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a grey ball or a green ball.,A-AB-B,a green ball,a grey ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,5|1|3|58|60|8|4|7|61|57|2|6|64|63|59|62,-1.173828125,-0.404541015625,-1.173828125,-0.404541015625
Martyetal_2023,Exp_2,Deontic,35,Test,Block_A,Nominal,Control_2,Bad,Mia,Every box contains a blue ball and a grey ball.,AB-CD-C,a yellow ball,a yellow and a green ball,a blue ball and a grey ball,blue,grey,yellow,green,Bad,Good,1|2|7|8|58|5|3|59|4|64|6|57|61|62|63|60,-1.1494140625,-0.452392578125,-1.1494140625,-0.452392578125
Martyetal_2023,Exp_2,Deontic,36,Test,Block_A,Nominal,Control_4,Good,Mia,No box contains a blue ball or a yellow ball.,C-CD-C,a green ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,2|60|57|8|4|58|64|3|59|5|6|61|1|62|7|63,-1.837890625,-0.1986083984375,-1.837890625,-0.1986083984375
Martyetal_2023,Exp_2,Deontic,37,Test,Block_A,Nominal,Control_3,Good,Mia,No box contains a green ball.,C-CD-C,a grey ball and a yellow ball,a grey ball,a grey ball,green,blue,grey,yellow,Bad,Good,3|8|63|60|5|6|57|64|58|4|2|59|62|1|7|61,-0.83740234375,-0.60400390625,-0.83740234375,-0.60400390625
Martyetal_2023,Exp_2,Deontic,38,Test,Block_A,Nominal,Control_1,Good,Mia,Every box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,8|3|7|4|5|60|6|57|64|58|59|61|1|2|62|63,-0.82470703125,-0.62158203125,-0.82470703125,-0.62158203125
Martyetal_2023,Exp_2,Deontic,39,Test,Block_A,Nominal,Control_3,Good,Sam,No box contains a grey ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a green ball,grey,yellow,blue,green,Bad,Good,63|6|7|58|60|61|59|1|8|2|5|3|64|57|62|4,-1.10546875,-0.424072265625,-1.10546875,-0.424072265625
Martyetal_2023,Exp_2,Deontic,40,Test,Block_A,Nominal,Control_2,Bad,Sam,Every box contains a green ball and a yellow ball.,AB-CD-C,a blue ball and a grey ball,a blue ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,64|62|1|60|57|61|4|2|5|3|6|7|59|8|63|58,-0.931640625,-0.52734375,-0.931640625,-0.52734375
Martyetal_2023,Exp_2,Deontic,41,Test,Block_A,Nominal,Test,Target_1,Mia,Every box contains a grey ball or a blue ball.,A-AB-AB,a grey ball and a blue ball,a grey ball,a grey ball and a blue ball,grey,blue,yellow,green,Bad,Good,62|8|61|57|59|58|64|3|6|2|1|60|5|63|7|4,-1.244140625,-0.37109375,-1.244140625,-0.37109375
Martyetal_2023,Exp_2,Deontic,42,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a blue ball or a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a blue ball,blue,grey,green,yellow,Bad,Good,58|62|1|59|4|6|61|3|57|8|63|5|7|2|64|60,-1.7216796875,-0.2198486328125,-1.7216796875,-0.2198486328125
Martyetal_2023,Exp_2,Deontic,43,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a grey ball or a green ball.,A-AB-B,a grey ball,a grey ball and a green ball,a green ball,grey,green,blue,yellow,Bad,Good,6|61|60|2|63|8|1|3|58|4|62|57|5|64|7|59,-0.8134765625,-0.630859375,-0.8134765625,-0.630859375
Martyetal_2023,Exp_2,Deontic,44,Test,Block_A,Nominal,Test,Target_1,Sam,Every box contains a yellow ball or a green ball.,A-AB-A,a yellow ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,1|57|8|63|58|6|4|64|61|5|7|60|62|2|3|59,-0.320068359375,-1.443359375,-0.320068359375,-1.443359375
Martyetal_2023,Exp_2,Deontic,45,Test,Block_A,Nominal,Control_3,Bad,Mia,No box contains a yellow ball.,A-CD-A,a grey ball and a green ball,a yellow ball,a yellow ball,yellow,blue,grey,green,Bad,Good,64|5|63|3|61|57|2|62|1|7|6|59|8|60|4|58,-0.8212890625,-0.611328125,-0.8212890625,-0.611328125
