Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_2,9,Test,Control_2,Bad,Mia,`The mystery box does not contain a grey ball.',A-CD-A,a grey ball,a grey ball,a blue ball and a green ball,grey,yellow,blue,green,Bad,Good,8|5|1|2|6|4|3|7,-4.2804365158081055,-4.0226240158081055,-12.84130859375,-12.06787109375
Deganoetal_2024,Exp_2,10,Test,Control_3,Good,Sam,`The mystery box contains a yellow ball and a blue ball.',AB-AB-AB,a yellow ball and a blue ball,a yellow ball and a blue ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,1|5|2|4|7|6|8|3,-4.062357425689697,-4.00506591796875,-12.187071800231934,-12.015196800231934
Deganoetal_2024,Exp_2,11,Test,Control_4,Good,Sam,`The mystery box does not contain a grey ball or a blue ball.',C-CD-C,a green ball,a green ball and a yellow ball,a green ball,grey,blue,green,yellow,Bad,Good,1|5|3|7|4|2|6|8,-4.26925802230835,-3.990612030029297,-12.80777359008789,-11.97183609008789
Deganoetal_2024,Exp_2,12,Test,Test,Good,Mia,`The mystery box contains a green ball or a blue ball.',A-AA-B,a green ball and a green ball,a blue ball,a green ball,green,blue,grey,yellow,Bad,Good,2|3|4|8|6|1|5|7,-4.130082130432129,-3.93476939201355,-12.39024543762207,-11.80430793762207
Deganoetal_2024,Exp_2,13,Test,Control_1,Good,Sam,`The mystery box contains a green ball.',A-A-A,a green ball,a green ball,a green ball,green,grey,yellow,blue,Bad,Good,3|5|2|1|8|6|4|7,-4.177227973937988,-4.0860819816589355,-12.531682968139648,-12.258245468139648
Deganoetal_2024,Exp_2,14,Test,Control_4,Good,Mia,`The mystery box does not contain a green ball or a blue ball.',C-CD-C,a grey ball,a grey ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,6|7|8|2|5|3|4|1,-4.447110176086426,-4.243985176086426,-13.341330528259277,-12.731955528259277
Deganoetal_2024,Exp_2,15,Test,Test,Good,Mia,`The mystery box contains a blue ball or a green ball.',A-AA-B,a green ball,a blue ball,a blue ball and a blue ball,blue,green,yellow,grey,Bad,Good,7|4|3|6|5|8|1|2,-4.236119747161865,-3.9314322471618652,-12.708358764648438,-11.794296264648438
Deganoetal_2024,Exp_2,16,Test,Test,Bad,Sam,`The mystery box contains a green ball or a grey ball.',A-CD-B,a green ball,a yellow ball and a blue ball,a grey ball,green,grey,yellow,blue,Bad,Good,6|3|2|5|4|1|8|7,-4.293038368225098,-4.076892852783203,-12.879115104675293,-12.23067855834961
Deganoetal_2024,Exp_2,17,Test,Control_1,Bad,Mia,`The mystery box contains a green ball.',A-CD-C,a green ball,a grey ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,2|5|6|3|1|7|8|4,-4.306386470794678,-3.980865478515625,-12.919158935546875,-11.942596435546875
Deganoetal_2024,Exp_2,18,Test,Control_4,Bad,Mia,`The mystery box does not contain a grey ball or a green ball.',A-CD-B,a grey ball,a green ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,5|3|6|1|4|7|8|2,-4.2422943115234375,-4.182398796081543,-12.726881980895996,-12.547195434570312
Deganoetal_2024,Exp_2,19,Test,Control_2,Good,Sam,`The mystery box does not contain a green ball.',C-CD-C,a blue ball,a blue ball and a yellow ball,a blue ball,green,grey,blue,yellow,Bad,Good,1|7|4|5|8|6|3|2,-4.101404190063477,-3.9191126823425293,-12.30421257019043,-11.75733757019043
Deganoetal_2024,Exp_2,20,Test,Test,Target_2,Sam,`The mystery box contains a green ball or a grey ball.',A-AA-AA,a green ball and a green ball,a green ball,a green ball and a green ball,green,grey,yellow,blue,Bad,Good,3|2|7|6|8|1|5|4,-4.2797956466674805,-4.032399654388428,-12.839385986328125,-12.097198486328125
Deganoetal_2024,Exp_2,21,Test,Test,Bad,Mia,`The mystery box contains a grey ball or a green ball.',A-CD-B,a green ball,a blue ball and a yellow ball,a grey ball,grey,green,blue,yellow,Bad,Good,3|8|1|7|6|4|5|2,-4.50486421585083,-4.15330171585083,-13.514592170715332,-12.459904670715332
Deganoetal_2024,Exp_2,22,Test,Test,Good,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AA-B,a yellow ball,a grey ball,a grey ball and a grey ball,grey,yellow,blue,green,Bad,Good,5|2|3|1|4|7|8|6,-4.222005844116211,-3.964193344116211,-12.666017532348633,-11.892580032348633
