Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_5,25,Test,Intermediate,Negative,SI,Bad,Mia,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,22|17|10|8|7|19|11|2|3|14|6|4|9|24|20|15|12|23|5|16|1|18|13|21,-5.10546875,-6.61328125,-5.10546875,-6.61328125
Martyetal_2022,Exp_5,26,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a grey ball.,A-C-B,a blue ball,a green ball,a grey ball,blue,grey,green,yellow,Bad,Good,4|20|22|1|17|7|8|10|3|5|16|12|2|23|24|18|19|15|14|9|21|13|11|6,-5.5625,-6.109375,-5.5625,-6.109375
Martyetal_2022,Exp_5,27,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a yellow ball or a blue ball.,A-B-A,a yellow ball,a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,16|15|7|2|20|4|22|9|8|21|5|13|1|3|12|6|17|10|19|24|23|11|14|18,-5.109375,-6.5078125,-5.109375,-6.5078125
Martyetal_2022,Exp_5,28,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,2|10|1|14|20|19|21|12|15|16|5|17|7|18|13|23|9|22|4|11|3|8|6|24,-4.9140625,-6.640625,-4.9140625,-6.640625
Martyetal_2022,Exp_5,29,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,16|6|20|2|9|21|22|15|19|10|18|11|3|14|13|1|8|4|17|24|23|12|7|5,-4.9609375,-7.1484375,-4.9609375,-7.1484375
Martyetal_2022,Exp_5,30,Test,Intermediate,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a grey ball.,A-D-A,a grey ball,a blue ball,a grey ball,grey,green,yellow,blue,Bad,Good,24|15|1|19|14|8|3|21|10|12|13|2|17|7|9|4|23|5|16|11|20|22|6|18,-5.16015625,-6.52734375,-5.16015625,-6.52734375
Martyetal_2022,Exp_5,31,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,3|14|9|17|8|1|24|7|12|20|19|13|18|4|11|6|23|10|5|21|15|22|16|2,-6.390625,-7.99609375,-6.390625,-7.99609375
Martyetal_2022,Exp_5,32,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a yellow ball.,A-AB-B,a grey ball,a grey ball and a yellow ball,a yellow ball,grey,yellow,blue,green,Bad,Good,19|13|8|20|6|23|3|11|22|2|12|17|14|7|1|10|5|24|15|16|21|4|18|9,-4.93359375,-6.37109375,-4.93359375,-6.37109375
Martyetal_2022,Exp_5,33,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a blue ball.,A-D-C,a blue ball,a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,17|23|8|21|13|18|24|12|5|9|19|7|15|11|14|2|4|20|1|22|10|6|3|16,-5.38671875,-6.52734375,-5.38671875,-6.52734375
Martyetal_2022,Exp_5,34,Test,Intermediate,Positive,SI,Target,Mia,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,22|10|4|13|11|23|15|14|8|24|1|17|6|18|20|12|2|16|5|9|19|21|3|7,-5.5859375,-7.41015625,-5.5859375,-7.41015625
