Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_2,9,Test,Control_2,Bad,Mia,`The mystery box does not contain a grey ball.',A-CD-A,a grey ball,a grey ball,a blue ball and a green ball,grey,yellow,blue,green,Bad,Good,5|2|6|3|1|7|4|8,-41.603797912597656,-51.6721076965332,-41.603797912597656,-51.6721076965332
Deganoetal_2024,Exp_2,10,Test,Control_3,Good,Sam,`The mystery box contains a yellow ball and a blue ball.',AB-AB-AB,a yellow ball and a blue ball,a yellow ball and a blue ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,3|8|5|1|6|7|2|4,-29.18202781677246,-56.31315231323242,-29.18202781677246,-56.31315231323242
Deganoetal_2024,Exp_2,11,Test,Control_4,Good,Sam,`The mystery box does not contain a grey ball or a blue ball.',C-CD-C,a green ball,a green ball and a yellow ball,a green ball,grey,blue,green,yellow,Bad,Good,4|5|1|7|3|8|6|2,-38.81652069091797,-57.22662353515625,-38.81652069091797,-57.22662353515625
Deganoetal_2024,Exp_2,12,Test,Test,Good,Mia,`The mystery box contains a green ball or a blue ball.',A-AA-B,a green ball and a green ball,a blue ball,a green ball,green,blue,grey,yellow,Bad,Good,2|7|6|5|8|4|1|3,-32.23249053955078,-60.04742431640625,-32.23249053955078,-60.04742431640625
Deganoetal_2024,Exp_2,13,Test,Control_1,Good,Sam,`The mystery box contains a green ball.',A-A-A,a green ball,a green ball,a green ball,green,grey,yellow,blue,Bad,Good,1|7|3|5|6|2|4|8,-23.23013687133789,-62.64183044433594,-23.23013687133789,-62.64183044433594
Deganoetal_2024,Exp_2,14,Test,Control_4,Good,Mia,`The mystery box does not contain a green ball or a blue ball.',C-CD-C,a grey ball,a grey ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,3|6|4|8|5|2|7|1,-35.18904495239258,-62.74370574951172,-35.18904495239258,-62.74370574951172
Deganoetal_2024,Exp_2,15,Test,Test,Good,Mia,`The mystery box contains a blue ball or a green ball.',A-AA-B,a green ball,a blue ball,a blue ball and a blue ball,blue,green,yellow,grey,Bad,Good,2|1|5|3|4|6|8|7,-43.52263641357422,-53.76935958862305,-43.52263641357422,-53.76935958862305
Deganoetal_2024,Exp_2,16,Test,Test,Bad,Sam,`The mystery box contains a green ball or a grey ball.',A-CD-B,a green ball,a yellow ball and a blue ball,a grey ball,green,grey,yellow,blue,Bad,Good,3|5|7|6|8|4|1|2,-37.232059478759766,-58.90674591064453,-37.232059478759766,-58.90674591064453
Deganoetal_2024,Exp_2,17,Test,Control_1,Bad,Mia,`The mystery box contains a green ball.',A-CD-C,a green ball,a grey ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,8|1|6|4|5|7|3|2,-62.78977966308594,-42.674522399902344,-62.78977966308594,-42.674522399902344
Deganoetal_2024,Exp_2,18,Test,Control_4,Bad,Mia,`The mystery box does not contain a grey ball or a green ball.',A-CD-B,a grey ball,a green ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,5|8|1|6|3|2|7|4,-33.727413177490234,-60.53577423095703,-33.727413177490234,-60.53577423095703
Deganoetal_2024,Exp_2,19,Test,Control_2,Good,Sam,`The mystery box does not contain a green ball.',C-CD-C,a blue ball,a blue ball and a yellow ball,a blue ball,green,grey,blue,yellow,Bad,Good,3|4|2|6|8|1|5|7,-36.94898223876953,-65.22583770751953,-36.94898223876953,-65.22583770751953
Deganoetal_2024,Exp_2,20,Test,Test,Target_2,Sam,`The mystery box contains a green ball or a grey ball.',A-AA-AA,a green ball and a green ball,a green ball,a green ball and a green ball,green,grey,yellow,blue,Bad,Good,1|6|2|5|4|7|3|8,-48.16566467285156,-54.26988220214844,-48.16566467285156,-54.26988220214844
Deganoetal_2024,Exp_2,21,Test,Test,Bad,Mia,`The mystery box contains a grey ball or a green ball.',A-CD-B,a green ball,a blue ball and a yellow ball,a grey ball,grey,green,blue,yellow,Bad,Good,4|2|8|3|7|6|5|1,-41.71436309814453,-58.06287384033203,-41.71436309814453,-58.06287384033203
Deganoetal_2024,Exp_2,22,Test,Test,Good,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AA-B,a yellow ball,a grey ball,a grey ball and a grey ball,grey,yellow,blue,green,Bad,Good,6|4|8|1|5|2|3|7,-42.86652374267578,-54.95832061767578,-42.86652374267578,-54.95832061767578
Deganoetal_2024,Exp_2,23,Test,Control_3,Good,Sam,`The mystery box contains a blue ball and a yellow ball.',AB-AB-AB,a blue ball and a yellow ball,a blue ball and a yellow ball,a blue ball and a yellow ball,blue,yellow,green,grey,Bad,Good,7|1|3|6|4|8|2|5,-39.526424407958984,-51.746482849121094,-39.526424407958984,-51.746482849121094
Deganoetal_2024,Exp_2,24,Test,Test,Target_2,Sam,`The mystery box contains a green ball or a grey ball.',A-AA-A,a green ball,a green ball and a green ball,a green ball,green,grey,blue,yellow,Bad,Good,5|6|4|2|8|7|3|1,-46.13697052001953,-53.72356033325195,-46.13697052001953,-53.72356033325195
Deganoetal_2024,Exp_2,25,Test,Control_1,Good,Sam,`The mystery box contains a blue ball.',A-A-A,a blue ball,a blue ball,a blue ball,blue,green,yellow,grey,Bad,Good,5|1|2|7|3|8|4|6,-28.73877716064453,-55.29288864135742,-28.73877716064453,-55.29288864135742
Deganoetal_2024,Exp_2,26,Test,Control_3,Bad,Mia,`The mystery box contains a blue ball and a grey ball.',AB-CD-C,a blue ball and a grey ball,a yellow ball,a yellow and a green ball,blue,grey,yellow,green,Bad,Good,6|4|8|1|3|7|5|2,-52.08363342285156,-48.29986572265625,-52.08363342285156,-48.29986572265625
Deganoetal_2024,Exp_2,27,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AB-AB,a blue ball and a yellow ball,a blue ball and a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,2|3|6|8|1|5|7|4,-40.93194580078125,-54.69367980957031,-40.93194580078125,-54.69367980957031
Deganoetal_2024,Exp_2,28,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a green ball.',A-AA-A,a yellow ball,a yellow and a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good,4|7|6|1|2|8|5|3,-45.47455596923828,-57.2659912109375,-45.47455596923828,-57.2659912109375
Deganoetal_2024,Exp_2,29,Test,Test,Good-Excl,Sam,`The mystery box contains a green ball or a yellow ball.',A-AB-B,a green ball and a yellow ball,a yellow ball,a green ball,green,yellow,blue,grey,Bad,Good,1|8|3|4|6|5|7|2,-39.40721130371094,-54.30617904663086,-39.40721130371094,-54.30617904663086
Deganoetal_2024,Exp_2,30,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-A,a blue ball and a grey ball,a blue ball,a blue ball,blue,grey,green,yellow,Bad,Good,3|6|1|2|4|5|8|7,-32.26496124267578,-60.25075912475586,-32.26496124267578,-60.25075912475586
Deganoetal_2024,Exp_2,31,Test,Control_2,Bad,Mia,`The mystery box does not contain a green ball.',A-CD-A,a green ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,5|2|7|6|3|8|4|1,-31.291051864624023,-57.692752838134766,-31.291051864624023,-57.692752838134766
Deganoetal_2024,Exp_2,32,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a green ball.',A-AB-B,a blue ball and a green ball,a blue ball,a green ball,blue,green,grey,yellow,Bad,Good,1|2|4|6|7|3|5|8,-40.313175201416016,-54.474910736083984,-40.313175201416016,-54.474910736083984
Deganoetal_2024,Exp_2,33,Test,Control_2,Good,Sam,`The mystery box does not contain a yellow ball.',C-CD-C,a grey ball,a grey ball,a grey ball and a green ball,yellow,blue,grey,green,Bad,Good,4|1|7|5|2|6|8|3,-33.932193756103516,-53.944644927978516,-33.932193756103516,-53.944644927978516
Deganoetal_2024,Exp_2,34,Test,Control_1,Bad,Mia,`The mystery box contains a blue ball.',A-CD-C,a blue ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,8|1|4|6|7|5|2|3,-62.74549102783203,-42.6127815246582,-62.74549102783203,-42.6127815246582
