Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,63|61|60|59|64|5|57|62|8|7|1|3|58|6|4|2,-0.11175825446844101,-2.3772311210632324,-0.11175825446844101,-2.3772311210632324
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,62|4|59|2|61|6|60|5|7|58|1|64|57|3|8|63,-0.3838244676589966,-1.1806946992874146,-0.3838244676589966,-1.1806946992874146
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,8|59|2|6|1|57|60|64|61|4|7|63|58|5|62|3,-2.07181978225708,-0.15013070404529572,-2.07181978225708,-0.15013070404529572
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,7|61|60|63|57|6|62|58|4|3|5|8|64|2|1|59,-0.20009994506835938,-1.8748066425323486,-0.20009994506835938,-1.8748066425323486
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,2|1|5|58|64|57|7|4|59|62|6|60|63|8|3|61,-1.2422007322311401,-0.35166022181510925,-1.2422007322311401,-0.35166022181510925
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,2|62|6|57|61|4|63|7|8|64|5|3|58|59|1|60,-0.49536648392677307,-1.00497567653656,-0.49536648392677307,-1.00497567653656
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,57|6|59|8|7|1|3|5|63|62|4|58|61|2|60|64,-0.4523412585258484,-1.0613784790039062,-0.4523412585258484,-1.0613784790039062
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,63|7|59|3|60|8|5|58|64|1|2|4|62|57|61|6,-0.4361514449119568,-1.0766528844833374,-0.4361514449119568,-1.0766528844833374
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,2|58|8|63|60|61|6|64|1|7|4|3|5|62|57|59,-0.42308372259140015,-1.1103676557540894,-0.42308372259140015,-1.1103676557540894
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,63|5|8|7|62|3|57|61|60|58|4|2|1|59|6|64,-1.2948625087738037,-0.3461757004261017,-1.2948625087738037,-0.3461757004261017
