Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_1,9,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-A,a blue ball,a blue ball and a grey ball,a blue ball,blue,grey,green,yellow,Bad,Good,2|4|1|3|8|5|7|6,-22.414081573486328,-23.289081573486328,-22.414081573486328,-23.289081573486328
Deganoetal_2024,Exp_1,10,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a blue ball.',A-AC-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,blue,grey,green,Bad,Good,1|8|5|2|6|4|3|7,-21.906265258789062,-22.539077758789062,-21.906265258789062,-22.539077758789062
Deganoetal_2024,Exp_1,11,Test,Test,Target_2,Mia,`The mystery box contains a grey ball or a blue ball.',A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good,3|8|5|4|7|1|6|2,-22.511734008789062,-24.660171508789062,-22.511734008789062,-24.660171508789062
Deganoetal_2024,Exp_1,12,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a blue ball.',A-AC-AC,a green ball and a yellow ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good,5|1|6|4|7|3|2|8,-22.58985710144043,-23.32423210144043,-22.58985710144043,-23.32423210144043
Deganoetal_2024,Exp_1,13,Test,Control_2,Bad,Mia,`The mystery box does not contain a yellow ball.',A-CD-A,a yellow ball,a yellow ball,a grey ball and a green ball,yellow,blue,grey,green,Bad,Good,8|6|3|7|5|4|1|2,-22.37501335144043,-23.50782585144043,-22.37501335144043,-23.50782585144043
Deganoetal_2024,Exp_1,14,Test,Control_4,Bad,Sam,`The mystery box does not contain a grey ball or a blue ball.',A-CD-A,a grey ball,a yellow and a green ball,a grey ball,grey,blue,yellow,green,Bad,Good,5|6|8|3|7|4|2|1,-21.968767166137695,-24.160173416137695,-21.968767166137695,-24.160173416137695
Deganoetal_2024,Exp_1,15,Test,Control_1,Good,Sam,`The mystery box contains a grey ball.',A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,green,yellow,Bad,Good,8|5|6|1|4|7|3|2,-22.246109008789062,-24.218765258789062,-22.246109008789062,-24.218765258789062
Deganoetal_2024,Exp_1,16,Test,Control_1,Good,Sam,`The mystery box contains a yellow ball.',A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,7|4|2|1|8|6|3|5,-22.140640258789062,-24.125015258789062,-22.140640258789062,-24.125015258789062
Deganoetal_2024,Exp_1,17,Test,Test,Target_2,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AC-AD,a blue ball and a grey ball,a blue ball,a blue ball and a green ball,blue,yellow,green,grey,Bad,Good,2|8|1|5|4|7|6|3,-22.445327758789062,-24.628921508789062,-22.445327758789062,-24.628921508789062
Deganoetal_2024,Exp_1,18,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AB-B,a blue ball,a yellow ball,a blue ball and a yellow ball,blue,yellow,green,grey,Bad,Good,1|6|2|8|3|7|5|4,-21.71095085144043,-23.87110710144043,-21.71095085144043,-23.87110710144043
Deganoetal_2024,Exp_1,19,Test,Test,Good,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AC-B,a yellow ball,a blue ball and a green ball,a blue ball,blue,yellow,green,grey,Bad,Good,8|1|5|2|3|6|7|4,-22.039079666137695,-22.679704666137695,-22.039079666137695,-22.679704666137695
Deganoetal_2024,Exp_1,20,Test,Test,Bad,Sam,`The mystery box contains a grey ball or a yellow ball.',A-CD-C,a grey ball,a green ball and a blue ball,a green ball,grey,yellow,green,blue,Bad,Good,4|6|2|7|1|8|5|3,-21.890640258789062,-23.917984008789062,-21.890640258789062,-23.917984008789062
Deganoetal_2024,Exp_1,21,Test,Control_4,Good,Mia,`The mystery box does not contain a blue ball or a yellow ball.',C-CD-C,a grey ball and a green ball,a grey ball,a grey ball,blue,yellow,grey,green,Bad,Good,5|8|2|6|1|7|4|3,-22.589860916137695,-24.757829666137695,-22.589860916137695,-24.757829666137695
Deganoetal_2024,Exp_1,22,Test,Test,Target_2,Sam,`The mystery box contains a blue ball or a grey ball.',A-AC-A,a blue ball,a blue ball,a blue ball and a green ball,blue,grey,green,yellow,Bad,Good,7|6|2|8|5|1|3|4,-21.70313835144043,-23.90626335144043,-21.70313835144043,-23.90626335144043
Deganoetal_2024,Exp_1,23,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-AB,a blue ball,a blue ball and a grey ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,1|8|7|6|4|2|5|3,-22.609392166137695,-23.378923416137695,-22.609392166137695,-23.378923416137695
Deganoetal_2024,Exp_1,24,Test,Control_2,Bad,Sam,`The mystery box does not contain a blue ball.',A-CD-A,a blue ball,a blue ball,a grey ball and a yellow ball,blue,green,grey,yellow,Bad,Good,8|3|7|6|4|2|5|1,-21.984386444091797,-24.253917694091797,-21.984386444091797,-24.253917694091797
Deganoetal_2024,Exp_1,25,Test,Control_3,Good,Mia,`The mystery box contains a yellow ball and a blue ball.',AB-AB-AB,a yellow ball and a blue ball,a yellow ball and a blue ball,a yellow ball and a blue ball,yellow,blue,green,grey,Bad,Good,7|6|4|8|3|1|2|5,-22.531272888183594,-23.386741638183594,-22.531272888183594,-23.386741638183594
Deganoetal_2024,Exp_1,26,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a green ball.',A-AB-AB,a blue ball and a green ball,a blue ball,a blue ball and a green ball,blue,green,yellow,grey,Bad,Good,2|6|5|3|1|4|7|8,-22.644548416137695,-23.441423416137695,-22.644548416137695,-23.441423416137695
Deganoetal_2024,Exp_1,27,Test,Test,Bad,Mia,`The mystery box contains a grey ball or a green ball.',A-CD-C,a blue ball and a yellow ball,a grey ball,a blue ball,grey,green,blue,yellow,Bad,Good,6|1|4|7|2|5|8|3,-22.496110916137695,-23.320329666137695,-22.496110916137695,-23.320329666137695
Deganoetal_2024,Exp_1,28,Test,Test,Bad,Mia,`The mystery box contains a yellow ball or a green ball.',A-CD-C,a grey ball and a blue ball,a yellow ball,a grey ball,yellow,green,grey,blue,Bad,Good,3|8|6|7|5|2|4|1,-22.484390258789062,-23.312515258789062,-22.484390258789062,-23.312515258789062
Deganoetal_2024,Exp_1,29,Test,Test,Bad,Sam,`The mystery box contains a blue ball or a grey ball.',A-CD-C,a green ball,a green ball and a yellow ball,a blue ball,blue,grey,green,yellow,Bad,Good,5|2|1|7|3|6|8|4,-22.007827758789062,-22.511734008789062,-22.007827758789062,-22.511734008789062
Deganoetal_2024,Exp_1,30,Test,Control_1,Bad,Mia,`The mystery box contains a green ball.',A-CD-C,a grey ball,a green ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,6|1|7|8|5|3|2|4,-22.39454460144043,-23.38673210144043,-22.39454460144043,-23.38673210144043
Deganoetal_2024,Exp_1,31,Test,Control_2,Good,Mia,`The mystery box does not contain a yellow ball.',C-CD-C,a grey ball and a blue ball,a grey ball,a grey ball,yellow,green,grey,blue,Bad,Good,4|6|5|7|8|1|3|2,-22.328140258789062,-24.882827758789062,-22.328140258789062,-24.882827758789062
Deganoetal_2024,Exp_1,32,Test,Control_1,Bad,Sam,`The mystery box contains a blue ball.',A-CD-C,a green ball and a yellow ball,a green ball,a blue ball,blue,grey,green,yellow,Bad,Good,5|2|6|3|7|1|8|4,-22.140640258789062,-23.976577758789062,-22.140640258789062,-23.976577758789062
Deganoetal_2024,Exp_1,33,Test,Test,Good-Excl,Mia,`The mystery box contains a green ball or a yellow ball.',A-AB-B,a green ball and a yellow ball,a green ball,a yellow ball,green,yellow,grey,blue,Bad,Good,5|3|1|2|4|8|6|7,-22.296890258789062,-24.343765258789062,-22.296890258789062,-24.343765258789062
Deganoetal_2024,Exp_1,34,Test,Control_3,Bad,Mia,`The mystery box contains a yellow ball and a green ball.',AB-CD-C,a grey ball,a grey ball and a blue ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,4|1|5|6|7|8|3|2,-22.55080223083496,-24.67970848083496,-22.55080223083496,-24.67970848083496
Deganoetal_2024,Exp_1,35,Test,Control_1,Bad,Mia,`The mystery box contains a grey ball.',A-CD-C,a blue ball,a blue ball and a yellow ball,a grey ball,grey,green,blue,yellow,Bad,Good,8|7|5|3|1|4|2|6,-22.492204666137695,-23.531267166137695,-22.492204666137695,-23.531267166137695
Deganoetal_2024,Exp_1,36,Test,Test,Target_1,Mia,`The mystery box contains a yellow ball or a grey ball.',A-AB-AB,a yellow ball and a grey ball,a yellow ball,a yellow ball and a grey ball,yellow,grey,green,blue,Bad,Good,6|8|2|3|5|7|4|1,-22.589860916137695,-23.312517166137695,-22.589860916137695,-23.312517166137695
Deganoetal_2024,Exp_1,37,Test,Control_3,Good,Sam,`The mystery box contains a grey ball and a green ball.',AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,blue,yellow,Bad,Good,1|4|3|5|2|7|6|8,-22.519556045532227,-23.082056045532227,-22.519556045532227,-23.082056045532227
Deganoetal_2024,Exp_1,38,Test,Control_4,Bad,Mia,`The mystery box does not contain a yellow ball or a green ball.',A-CD-A,a blue ball and a grey ball,a yellow ball,a yellow ball,yellow,green,blue,grey,Bad,Good,4|7|6|1|2|8|5|3,-22.472675323486328,-24.734394073486328,-22.472675323486328,-24.734394073486328
Deganoetal_2024,Exp_1,39,Test,Control_4,Bad,Sam,`The mystery box does not contain a green ball or a grey ball.',A-CD-A,a green ball,a green ball,a yellow ball and a blue ball,green,grey,yellow,blue,Bad,Good,3|5|2|7|6|4|1|8,-21.867202758789062,-24.031265258789062,-21.867202758789062,-24.031265258789062
Deganoetal_2024,Exp_1,40,Test,Control_2,Bad,Sam,`The mystery box does not contain a blue ball.',A-CD-A,a blue ball,a blue ball,a grey ball and a green ball,blue,yellow,grey,green,Bad,Good,8|6|1|3|5|7|2|4,-22.31641960144043,-23.18360710144043,-22.31641960144043,-23.18360710144043
Deganoetal_2024,Exp_1,41,Test,Test,Good,Sam,`The mystery box contains a green ball or a yellow ball.',A-AC-B,a yellow ball,a green ball,a green ball and a grey ball,green,yellow,grey,blue,Bad,Good,2|3|1|7|4|8|6|5,-21.75782585144043,-23.78516960144043,-21.75782585144043,-23.78516960144043
Deganoetal_2024,Exp_1,42,Test,Control_4,Good,Sam,`The mystery box does not contain a blue ball or a green ball.',C-CD-C,a grey ball,a grey ball and a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,6|7|2|3|4|5|8|1,-22.062517166137695,-24.316423416137695,-22.062517166137695,-24.316423416137695
Deganoetal_2024,Exp_1,43,Test,Test,Bad,Sam,`The mystery box contains a blue ball or a grey ball.',A-CD-C,a yellow ball,a yellow and a green ball,a blue ball,blue,grey,yellow,green,Bad,Good,1|3|8|4|2|6|7|5,-21.945327758789062,-23.750015258789062,-21.945327758789062,-23.750015258789062
Deganoetal_2024,Exp_1,44,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a green ball.',A-AC-AC,a yellow ball and a blue ball,a yellow ball,a yellow ball and a blue ball,yellow,green,blue,grey,Bad,Good,2|5|1|3|6|4|7|8,-22.242204666137695,-22.792985916137695,-22.242204666137695,-22.792985916137695
Deganoetal_2024,Exp_1,45,Test,Test,Target_1,Sam,`The mystery box contains a grey ball or a blue ball.',A-AB-A,a grey ball,a grey ball,a grey ball and a blue ball,grey,blue,yellow,green,Bad,Good,3|5|6|1|4|2|7|8,-21.898452758789062,-22.652359008789062,-21.898452758789062,-22.652359008789062
Deganoetal_2024,Exp_1,46,Test,Control_4,Good,Mia,`The mystery box does not contain a grey ball or a blue ball.',C-CD-C,a yellow ball,a yellow and a green ball,a yellow ball,grey,blue,yellow,green,Bad,Good,4|7|3|2|1|8|6|5,-22.761737823486328,-23.496112823486328,-22.761737823486328,-23.496112823486328
Deganoetal_2024,Exp_1,47,Test,Test,Bad,Sam,`The mystery box contains a yellow ball or a grey ball.',A-CD-C,a green ball,a green ball and a blue ball,a yellow ball,yellow,grey,green,blue,Bad,Good,5|3|7|2|6|4|1|8,-22.015640258789062,-22.500015258789062,-22.015640258789062,-22.500015258789062
Deganoetal_2024,Exp_1,48,Test,Test,Target_1,Mia,`The mystery box contains a green ball or a yellow ball.',A-AB-A,a green ball,a green ball and a yellow ball,a green ball,green,yellow,blue,grey,Bad,Good,3|6|4|2|8|7|5|1,-22.421892166137695,-23.148454666137695,-22.421892166137695,-23.148454666137695
Deganoetal_2024,Exp_1,49,Test,Test,Good,Sam,`The mystery box contains a yellow ball or a grey ball.',A-AC-B,a yellow ball,a grey ball,a yellow and a green ball,yellow,grey,green,blue,Bad,Good,7|4|3|5|1|6|8|2,-21.937517166137695,-22.480485916137695,-21.937517166137695,-22.480485916137695
Deganoetal_2024,Exp_1,50,Test,Control_3,Good,Sam,`The mystery box contains a green ball and a yellow ball.',AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,6|7|4|2|8|3|5|1,-22.347681045532227,-22.750024795532227,-22.347681045532227,-22.750024795532227
Deganoetal_2024,Exp_1,51,Test,Test,Good-Excl,Mia,`The mystery box contains a yellow ball or a grey ball.',A-AB-B,a yellow ball,a grey ball,a yellow ball and a grey ball,yellow,grey,blue,green,Bad,Good,8|2|4|5|6|1|3|7,-22.203142166137695,-24.308610916137695,-22.203142166137695,-24.308610916137695
Deganoetal_2024,Exp_1,52,Test,Control_2,Good,Sam,`The mystery box does not contain a blue ball.',C-CD-C,a grey ball,a grey ball and a green ball,a grey ball,blue,yellow,grey,green,Bad,Good,1|4|7|8|2|3|5|6,-22.226577758789062,-24.339859008789062,-22.226577758789062,-24.339859008789062
Deganoetal_2024,Exp_1,53,Test,Control_2,Good,Mia,`The mystery box does not contain a green ball.',C-CD-C,a grey ball and a blue ball,a grey ball,a grey ball,green,yellow,grey,blue,Bad,Good,7|5|2|4|8|3|1|6,-22.578140258789062,-23.789077758789062,-22.578140258789062,-23.789077758789062
