Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_1,9,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-A,a blue ball,a blue ball and a grey ball,a blue ball,blue,grey,green,yellow,Bad,Good,7|8|3|2|6|4|1|5,-3.6790740489959717,-3.7103240489959717,-11.037221908569336,-11.130971908569336
Deganoetal_2024,Exp_1,10,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a blue ball.',A-AC-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,blue,grey,green,Bad,Good,6|5|8|4|3|7|1|2,-3.497544288635254,-3.497544288635254,-10.492632865905762,-10.492632865905762
Deganoetal_2024,Exp_1,11,Test,Test,Target_2,Mia,`The mystery box contains a grey ball or a blue ball.',A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good,8|3|1|7|4|6|2|5,-3.7374558448791504,-3.562976598739624,-11.212367057800293,-10.688929557800293
Deganoetal_2024,Exp_1,12,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a blue ball.',A-AC-AC,a green ball and a yellow ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good,7|1|4|6|8|3|5|2,-3.7305545806884766,-3.7696170806884766,-11.19166374206543,-11.30885124206543
Deganoetal_2024,Exp_1,13,Test,Control_2,Bad,Mia,`The mystery box does not contain a yellow ball.',A-CD-A,a yellow ball,a yellow ball,a grey ball and a green ball,yellow,blue,grey,green,Bad,Good,3|7|6|5|2|8|1|4,-3.887089729309082,-3.793339729309082,-11.661269187927246,-11.380019187927246
Deganoetal_2024,Exp_1,14,Test,Control_4,Bad,Sam,`The mystery box does not contain a grey ball or a blue ball.',A-CD-A,a grey ball,a yellow and a green ball,a grey ball,grey,blue,yellow,green,Bad,Good,2|8|3|6|1|7|4|5,-3.8896584510803223,-3.840179204940796,-11.668974876403809,-11.520537376403809
Deganoetal_2024,Exp_1,15,Test,Control_1,Good,Sam,`The mystery box contains a grey ball.',A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,green,yellow,Bad,Good,8|1|5|4|3|6|2|7,-3.592618703842163,-3.6212644577026367,-10.77785587310791,-10.86379337310791
Deganoetal_2024,Exp_1,16,Test,Control_1,Good,Sam,`The mystery box contains a yellow ball.',A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,7|5|2|1|8|6|3|4,-3.464914083480835,-3.7904348373413086,-10.394742012023926,-11.371304512023926
Deganoetal_2024,Exp_1,17,Test,Test,Target_2,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AC-AD,a blue ball and a grey ball,a blue ball,a blue ball and a green ball,blue,yellow,green,grey,Bad,Good,4|5|8|7|3|1|2|6,-3.685460090637207,-3.8000435829162598,-11.056380271911621,-11.400130271911621
Deganoetal_2024,Exp_1,18,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AB-B,a blue ball,a yellow ball,a blue ball and a yellow ball,blue,yellow,green,grey,Bad,Good,2|3|8|5|1|6|7|4,-3.7117135524749756,-3.8523385524749756,-11.135140419006348,-11.557015419006348
