Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_5,25,Test,Intermediate,Negative,SI,Bad,Mia,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,24|11|19|23|3|5|13|7|17|9|4|6|18|16|2|22|10|1|20|8|12|14|21|15,-0.9861730933189392,-0.4861730933189392,-0.9861730933189392,-0.4861730933189392
Martyetal_2022,Exp_5,26,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a grey ball.,A-C-B,a blue ball,a green ball,a grey ball,blue,grey,green,yellow,Bad,Good,21|24|17|15|5|1|22|13|9|4|19|23|8|18|16|12|7|20|11|14|2|3|10|6,-0.9554202556610107,-0.5179202556610107,-0.9554202556610107,-0.5179202556610107
Martyetal_2022,Exp_5,27,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a yellow ball or a blue ball.,A-B-A,a yellow ball,a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,5|14|3|7|22|9|21|1|17|20|15|24|6|8|18|4|13|10|19|16|11|23|12|2,-0.7850794196128845,-0.6444544196128845,-0.7850794196128845,-0.6444544196128845
Martyetal_2022,Exp_5,28,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,6|18|13|11|2|15|1|22|7|19|16|8|14|23|24|20|9|10|12|3|21|5|4|17,-0.7623944878578186,-0.6530194878578186,-0.7623944878578186,-0.6530194878578186
Martyetal_2022,Exp_5,29,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,21|16|3|10|11|17|8|15|7|24|23|6|14|19|1|5|18|2|12|4|22|9|20|13,-1.0598465204238892,-0.45047152042388916,-1.0598465204238892,-0.45047152042388916
Martyetal_2022,Exp_5,30,Test,Intermediate,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a grey ball.,A-D-A,a grey ball,a blue ball,a grey ball,grey,green,yellow,blue,Bad,Good,12|2|22|19|24|14|21|6|8|15|7|5|13|10|1|11|9|17|4|18|16|20|3|23,-0.8252166509628296,-0.6064666509628296,-0.8252166509628296,-0.6064666509628296
Martyetal_2022,Exp_5,31,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,2|18|12|3|11|15|7|6|10|5|9|4|16|23|20|13|8|17|1|22|14|21|19|24,-0.778860330581665,-0.638235330581665,-0.778860330581665,-0.638235330581665
Martyetal_2022,Exp_5,32,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a yellow ball.,A-AB-B,a grey ball,a grey ball and a yellow ball,a yellow ball,grey,yellow,blue,green,Bad,Good,4|23|20|11|24|9|12|7|1|13|16|14|18|6|22|3|8|2|21|15|17|5|19|10,-0.7883880734443665,-0.6321380734443665,-0.7883880734443665,-0.6321380734443665
Martyetal_2022,Exp_5,33,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a blue ball.,A-D-C,a blue ball,a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,19|3|20|15|23|12|24|9|7|16|13|22|8|21|4|1|2|17|5|11|18|14|6|10,-0.7711982727050781,-0.6461982727050781,-0.7711982727050781,-0.6461982727050781
Martyetal_2022,Exp_5,34,Test,Intermediate,Positive,SI,Target,Mia,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,17|1|5|21|16|2|6|11|19|18|15|22|20|9|13|10|14|7|23|3|8|12|4|24,-0.4351959228515625,-1.0758209228515625,-0.4351959228515625,-1.0758209228515625
