Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_2,Deontic,9,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a yellow ball or a green ball.,A-CD-C,a grey ball and a blue ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,7|5|63|6|2|64|57|61|3|60|62|8|4|1|59|58,-1.9499034881591797,-0.2936534285545349,-1.9499034881591797,-0.2936534285545349
Martyetal_2023,Exp_2,Deontic,10,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a green ball or a grey ball.,A-CD-A,a green ball,a yellow ball and a blue ball,a green ball,green,grey,yellow,blue,Bad,Good,58|60|6|63|7|57|8|64|62|3|5|61|4|2|59|1,-1.3062071800231934,-0.5405821800231934,-1.3062071800231934,-0.5405821800231934
Martyetal_2023,Exp_2,Deontic,11,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a yellow ball or a grey ball.,A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,green,blue,Bad,Good,62|64|58|5|59|8|61|2|3|60|57|7|4|63|1|6,-0.6411322355270386,-1.2348822355270386,-0.6411322355270386,-1.2348822355270386
Martyetal_2023,Exp_2,Deontic,12,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a green ball or a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,yellow,blue,Bad,Good,60|7|59|58|57|63|4|61|2|3|64|1|6|5|8|62,-0.7085042595863342,-1.0991291999816895,-0.7085042595863342,-1.0991291999816895
Martyetal_2023,Exp_2,Deontic,13,Test,Block_A,Nominal,Test,Target_2,Sam,Every box contains a grey ball or a green ball.,A-AC-AC,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball,grey,green,yellow,blue,Bad,Good,63|58|1|6|3|5|2|59|61|64|7|62|57|4|8|60,-0.7215255498886108,-1.0652755498886108,-0.7215255498886108,-1.0652755498886108
Martyetal_2023,Exp_2,Deontic,14,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a green ball or a blue ball.,A-CD-C,a grey ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,63|64|59|62|5|7|57|3|8|61|58|60|4|6|1|2,-1.3223252296447754,-0.478575199842453,-1.3223252296447754,-0.478575199842453
Martyetal_2023,Exp_2,Deontic,15,Test,Block_A,Nominal,Control_2,Good,Mia,Every box contains a grey ball and a yellow ball.,AB-AB-AB,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball and a yellow ball,grey,yellow,blue,green,Bad,Good,58|63|62|4|6|61|64|1|2|8|7|59|57|60|5|3,-0.4731574058532715,-2.4887824058532715,-0.4731574058532715,-2.4887824058532715
Martyetal_2023,Exp_2,Deontic,16,Test,Block_A,Nominal,Control_4,Good,Mia,No box contains a blue ball or a yellow ball.,C-CD-C,a green ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,60|1|4|2|3|58|59|7|62|8|64|57|63|61|6|5,-0.7766789197921753,-0.9641789197921753,-0.7766789197921753,-0.9641789197921753
Martyetal_2023,Exp_2,Deontic,17,Test,Block_A,Nominal,Control_2,Bad,Mia,Every box contains a grey ball and a green ball.,AB-CD-C,a grey ball and a green ball,a blue ball,a blue ball and a yellow ball,grey,green,blue,yellow,Bad,Good,61|64|7|6|62|59|3|57|60|2|5|8|63|58|4|1,-1.4076108932495117,-0.5169859528541565,-1.4076108932495117,-0.5169859528541565
Martyetal_2023,Exp_2,Deontic,18,Test,Block_A,Nominal,Control_3,Bad,Mia,No box contains a grey ball.,A-CD-A,a yellow ball and a blue ball,a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,61|4|59|58|8|3|60|62|6|1|7|57|64|5|63|2,-1.1925926208496094,-0.5363426804542542,-1.1925926208496094,-0.5363426804542542
