Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_2,Deontic,9,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a yellow ball or a green ball.,A-CD-C,a grey ball and a blue ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,2|58|57|3|4|64|6|63|1|7|59|61|60|5|8|62,-7.8046875,-10.5859375,-7.8046875,-10.5859375
Martyetal_2023,Exp_2,Deontic,10,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a green ball or a grey ball.,A-CD-A,a green ball,a yellow ball and a blue ball,a green ball,green,grey,yellow,blue,Bad,Good,64|58|5|61|8|60|62|1|6|7|4|59|2|3|63|57,-7.89453125,-9.8984375,-7.89453125,-9.8984375
Martyetal_2023,Exp_2,Deontic,11,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a yellow ball or a grey ball.,A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,green,blue,Bad,Good,4|2|64|7|5|63|62|59|60|1|57|61|8|3|58|6,-7.60546875,-10.28125,-7.60546875,-10.28125
Martyetal_2023,Exp_2,Deontic,12,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a green ball or a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,yellow,blue,Bad,Good,4|3|7|1|59|64|62|57|60|61|63|8|6|2|58|5,-7.48046875,-10.1015625,-7.48046875,-10.1015625
Martyetal_2023,Exp_2,Deontic,13,Test,Block_A,Nominal,Test,Target_2,Sam,Every box contains a grey ball or a green ball.,A-AC-AC,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball,grey,green,yellow,blue,Bad,Good,62|58|3|57|8|64|63|6|61|59|7|4|60|2|5|1,-6.80859375,-9.375,-6.80859375,-9.375
Martyetal_2023,Exp_2,Deontic,14,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a green ball or a blue ball.,A-CD-C,a grey ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,5|2|6|60|63|3|61|4|62|58|59|64|57|7|1|8,-7.55859375,-9.5078125,-7.55859375,-9.5078125
Martyetal_2023,Exp_2,Deontic,15,Test,Block_A,Nominal,Control_2,Good,Mia,Every box contains a grey ball and a yellow ball.,AB-AB-AB,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball and a yellow ball,grey,yellow,blue,green,Bad,Good,57|4|1|58|59|7|60|62|3|8|64|63|6|2|61|5,-8.5390625,-10.4453125,-8.5390625,-10.4453125
Martyetal_2023,Exp_2,Deontic,16,Test,Block_A,Nominal,Control_4,Good,Mia,No box contains a blue ball or a yellow ball.,C-CD-C,a green ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,57|2|8|60|61|59|58|5|64|3|7|6|4|1|62|63,-7.41796875,-10.0546875,-7.41796875,-10.0546875
Martyetal_2023,Exp_2,Deontic,17,Test,Block_A,Nominal,Control_2,Bad,Mia,Every box contains a grey ball and a green ball.,AB-CD-C,a grey ball and a green ball,a blue ball,a blue ball and a yellow ball,grey,green,blue,yellow,Bad,Good,5|60|58|62|61|2|6|57|64|3|7|1|59|4|8|63,-7.73828125,-10.4296875,-7.73828125,-10.4296875
Martyetal_2023,Exp_2,Deontic,18,Test,Block_A,Nominal,Control_3,Bad,Mia,No box contains a grey ball.,A-CD-A,a yellow ball and a blue ball,a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,8|4|60|1|61|63|62|57|59|64|7|6|5|58|2|3,-7.484375,-10.3046875,-7.484375,-10.3046875
Martyetal_2023,Exp_2,Deontic,19,Test,Block_A,Nominal,Control_1,Good,Sam,Every box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,58|5|8|4|61|59|2|6|57|3|62|64|60|7|1|63,-7.69921875,-11.390625,-7.69921875,-11.390625
Martyetal_2023,Exp_2,Deontic,20,Test,Block_A,Nominal,Control_2,Good,Sam,Every box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,8|3|62|2|57|6|7|4|61|5|64|1|58|60|59|63,-6.8828125,-9.3984375,-6.8828125,-9.3984375
Martyetal_2023,Exp_2,Deontic,21,Test,Block_A,Nominal,Control_4,Bad,Mia,No box contains a blue ball or a green ball.,A-CD-A,a blue ball,a blue ball,a grey ball and a yellow ball,blue,green,grey,yellow,Bad,Good,6|60|2|59|57|61|58|4|64|5|8|62|1|7|3|63,-8.0,-10.5390625,-8.0,-10.5390625
Martyetal_2023,Exp_2,Deontic,22,Test,Block_A,Nominal,Test,Target_2,Mia,Every box contains a yellow ball or a green ball.,A-AC-AD,a yellow ball,a yellow ball and a grey ball,a yellow ball and a blue ball,yellow,green,blue,grey,Bad,Good,8|2|4|63|62|59|60|64|7|58|61|1|57|5|6|3,-7.49609375,-10.0625,-7.49609375,-10.0625
Martyetal_2023,Exp_2,Deontic,23,Test,Block_A,Nominal,Test,Bad,Mia,Every box contains a green ball or a blue ball.,A-CD-C,a green ball,a grey ball and a yellow ball,a grey ball,green,blue,grey,yellow,Bad,Good,8|61|3|2|63|62|5|64|59|60|6|58|4|7|57|1,-7.51953125,-10.1015625,-7.51953125,-10.1015625
Martyetal_2023,Exp_2,Deontic,24,Test,Block_A,Nominal,Test,Good,Sam,Every box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball,a green ball and a grey ball,green,grey,blue,yellow,Bad,Good,61|8|58|4|60|64|59|1|63|62|5|6|7|3|2|57,-8.0625,-10.28125,-8.0625,-10.28125
Martyetal_2023,Exp_2,Deontic,25,Test,Block_A,Nominal,Control_1,Bad,Sam,Every box contains a blue ball.,A-CD-C,a blue ball,a yellow ball,a yellow ball and a grey ball,blue,green,yellow,grey,Bad,Good,58|61|4|7|8|6|60|64|63|57|62|59|2|5|3|1,-7.73828125,-11.4609375,-7.73828125,-11.4609375
Martyetal_2023,Exp_2,Deontic,26,Test,Block_A,Nominal,Control_2,Good,Sam,Every box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,58|6|60|59|63|57|4|61|7|62|3|1|5|2|8|64,-6.96875,-9.2109375,-6.96875,-9.2109375
Martyetal_2023,Exp_2,Deontic,27,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a grey ball or a blue ball.,A-CD-A,a yellow and a green ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,63|64|4|59|3|6|7|2|60|5|8|61|58|57|62|1,-7.78515625,-9.7109375,-7.78515625,-9.7109375
Martyetal_2023,Exp_2,Deontic,28,Test,Block_A,Nominal,Test,Target_1,Mia,Every box contains a blue ball or a grey ball.,A-AB-A,a blue ball,a blue ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,64|63|2|57|6|60|7|62|4|3|5|1|8|58|59|61,-8.0625,-10.515625,-8.0625,-10.515625
Martyetal_2023,Exp_2,Deontic,29,Test,Block_A,Nominal,Test,Target_2,Mia,Every box contains a green ball or a yellow ball.,A-AC-A,a green ball and a blue ball,a green ball,a green ball,green,yellow,blue,grey,Bad,Good,61|57|5|62|3|58|60|4|63|8|1|7|59|2|6|64,-7.74609375,-10.1796875,-7.74609375,-10.1796875
Martyetal_2023,Exp_2,Deontic,30,Test,Block_A,Nominal,Control_1,Bad,Sam,Every box contains a yellow ball.,A-CD-C,a grey ball,a grey ball and a blue ball,a yellow ball,yellow,green,grey,blue,Bad,Good,6|1|60|59|61|8|58|3|57|62|4|2|64|5|7|63,-7.9609375,-10.3515625,-7.9609375,-10.3515625
Martyetal_2023,Exp_2,Deontic,31,Test,Block_A,Nominal,Test,Target_2,Mia,Every box contains a yellow ball or a green ball.,A-AC-A,a yellow ball,a yellow ball,a yellow ball and a blue ball,yellow,green,blue,grey,Bad,Good,59|8|63|1|5|4|2|64|62|57|3|6|61|60|58|7,-8.0390625,-10.234375,-8.0390625,-10.234375
Martyetal_2023,Exp_2,Deontic,32,Test,Block_A,Nominal,Test,Bad,Mia,Every box contains a blue ball or a green ball.,A-CD-C,a yellow ball and a grey ball,a blue ball,a yellow ball,blue,green,yellow,grey,Bad,Good,3|6|7|58|1|2|59|60|61|63|8|62|4|64|5|57,-7.84375,-10.1875,-7.84375,-10.1875
Martyetal_2023,Exp_2,Deontic,33,Test,Block_A,Nominal,Control_3,Bad,Sam,No box contains a grey ball.,A-CD-A,a grey ball,a green ball and a blue ball,a grey ball,grey,yellow,green,blue,Bad,Good,59|64|63|4|2|6|57|62|60|61|58|1|8|3|5|7,-8.171875,-10.2578125,-8.171875,-10.2578125
Martyetal_2023,Exp_2,Deontic,34,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a grey ball or a green ball.,A-AB-B,a green ball,a grey ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,7|58|63|5|2|61|4|1|59|64|60|8|6|62|57|3,-7.91015625,-10.53125,-7.91015625,-10.53125
Martyetal_2023,Exp_2,Deontic,35,Test,Block_A,Nominal,Control_2,Bad,Mia,Every box contains a blue ball and a grey ball.,AB-CD-C,a yellow ball,a yellow and a green ball,a blue ball and a grey ball,blue,grey,yellow,green,Bad,Good,3|5|61|60|8|6|63|2|4|57|62|58|7|64|59|1,-7.66796875,-9.578125,-7.66796875,-9.578125
Martyetal_2023,Exp_2,Deontic,36,Test,Block_A,Nominal,Control_4,Good,Mia,No box contains a blue ball or a yellow ball.,C-CD-C,a green ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,4|1|6|59|3|62|5|7|63|58|2|64|57|8|61|60,-7.54296875,-10.1796875,-7.54296875,-10.1796875
Martyetal_2023,Exp_2,Deontic,37,Test,Block_A,Nominal,Control_3,Good,Mia,No box contains a green ball.,C-CD-C,a grey ball and a yellow ball,a grey ball,a grey ball,green,blue,grey,yellow,Bad,Good,8|60|2|4|64|6|1|3|59|62|7|63|58|5|61|57,-7.484375,-10.046875,-7.484375,-10.046875
